Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
analcatdata_asbestos,Adaboost,0,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.5555555555555556,0.55,0.45,0.55,0.575,0.5477579365079365,5.344210386276245,1.7363230387369792
analcatdata_asbestos,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.5555555555555556,0.525,0.475,0.5357142857142857,0.55,0.5325793650793651,0.5469014644622803,0.0
analcatdata_asbestos,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.5555555555555556,0.55,0.45,0.55,0.5499999999999999,0.6611111111111111,4.969178676605225,1.736270056830512
analcatdata_asbestos,XBART,0,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.4444444444444444,0.425,0.575,0.41666666666666663,0.6,0.5962301587301587,5.187951564788818,0.0
analcatdata_asbestos,Adaboost,1,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.6666666666666666,0.675,0.325,0.675,0.725,0.7562500000000001,5.391090393066406,0.0
analcatdata_asbestos,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.8888888888888888,0.875,0.125,0.9166666666666667,1.0,1.0,0.5312929153442383,0.0
analcatdata_asbestos,Provably Robust Boosting,1,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",1.0,1.0,0.0,1.0,1.0,1.0,3.8284549713134766,0.0
analcatdata_asbestos,XBART,1,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",1.0,1.0,0.0,1.0,1.0,1.0,5.281705617904663,0.0
analcatdata_asbestos,Adaboost,2,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",1.0,1.0,0.0,1.0,1.0,1.0,5.3754637241363525,1.736270056830512
analcatdata_asbestos,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.8888888888888888,0.875,0.125,0.9166666666666667,1.0,1.0,0.5312960147857666,1.736270056830512
analcatdata_asbestos,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",1.0,1.0,0.0,1.0,1.0,1.0,3.8597068786621094,1.7362965477837458
analcatdata_asbestos,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,5.172343969345093,1.737091276380751
analcatdata_asbestos,Adaboost,3,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.75,0.75,0.25,0.75,0.8125,0.825297619047619,5.641114234924316,5.85860013961792
analcatdata_asbestos,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.625,0.625,0.375,0.6333333333333333,0.78125,0.7875,0.5468928813934326,13.67291808128357
analcatdata_asbestos,Provably Robust Boosting,3,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.625,0.625,0.375,0.6333333333333333,0.625,0.7229166666666667,4.641026020050049,1.9532442092895508
