Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
analcatdata_boxing1,Adaboost,0,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.8333333333333334,0.8125,0.1875,0.8125,0.9375,0.9384176587301587,5.484851360321045,0.0
analcatdata_boxing1,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.640625,0.6096015963203463,0.5781512260437012,0.0
analcatdata_boxing1,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6666666666666666,0.625,0.375,0.625,0.625,0.7083333333333333,5.984891414642334,1.302182674407959
analcatdata_boxing1,XBART,0,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.8333333333333334,0.8125,0.1875,0.8125,0.9375,0.9222222222222223,8.031975746154785,1.3021230697631836
analcatdata_boxing1,Adaboost,1,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.6666666666666666,0.625,0.375,0.625,0.78125,0.8068204365079366,5.672363758087158,2.6044845581054688
analcatdata_boxing1,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.5833333333333334,0.5,0.5,0.5,0.421875,0.4923430735930736,0.578141450881958,0.0
analcatdata_boxing1,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5833333333333334,0.5,0.5,0.5,0.453125,0.5145833333333333,6.016143798828125,1.302182674407959
analcatdata_boxing1,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.6666666666666666,0.5625,0.4375,0.6,0.59375,0.6560482052669552,7.688186168670654,0.0
analcatdata_boxing1,Adaboost,2,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.8333333333333334,0.8125,0.1875,0.8125,0.890625,0.898139880952381,5.359837293624878,0.0
analcatdata_boxing1,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.75,0.625,0.375,0.8636363636363636,0.453125,0.530766369047619,0.5625169277191162,0.0
