Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
analcatdata_germangss,Adaboost,0,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.375,0.37500000000000006,0.20833333333333337,0.3803571428571429,0.7233333333333334,0.4348033338827603,5.797483921051025,0.39070844650268555
analcatdata_germangss,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.425,0.425,0.19166666666666665,0.43214285714285716,0.7883333333333333,0.5020250076918327,1.7657685279846191,0.0
analcatdata_germangss,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.35,0.35000000000000003,0.21666666666666667,0.4720394736842105,0.6316666666666667,0.48347702096596157,69.61631870269775,1.1719822883605957
analcatdata_germangss,XBART,0,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.2,0.2,0.26666666666666666,0.13596491228070176,0.48083333333333333,0.24255178718817905,21.970945119857788,0.0
analcatdata_germangss,Adaboost,1,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.425,0.42500000000000004,0.19166666666666665,0.4267676767676768,0.745,0.4509775714460666,5.734946012496948,0.0
analcatdata_germangss,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.35,0.35,0.21666666666666667,0.31997863247863245,0.7000000000000001,0.39945132745742806,1.812676191329956,0.0
analcatdata_germangss,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.375,0.375,0.20833333333333331,0.34689608636977054,0.6666666666666667,0.3947657883703143,72.08531832695007,1.1719942092895508
analcatdata_germangss,XBART,1,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.2,0.2,0.26666666666666666,0.17936507936507937,0.44499999999999995,0.2628143011862023,22.08035969734192,0.0
analcatdata_germangss,Adaboost,2,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.475,0.475,0.175,0.5003968253968254,0.7608333333333333,0.41703894618175547,5.750576019287109,0.0
analcatdata_germangss,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.35,0.35000000000000003,0.21666666666666667,0.34063852813852813,0.7391666666666667,0.4411337614044457,1.8126440048217773,0.0
analcatdata_germangss,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.325,0.325,0.22499999999999998,0.37424450549450544,0.6983333333333334,0.4093501723970474,69.38192582130432,0.781327486038208
analcatdata_germangss,XBART,2,"{'alpha': 0.1594952556655613, 'beta': 1.7003410717304972, 'burnin': 2, 'max_depth_num': 4, 'num_sweeps': 80, 'num_trees': 100}",0.25,0.25,0.25,0.18518518518518517,0.4741666666666666,0.36023164615313713,21.892839908599854,0.0
analcatdata_germangss,Adaboost,3,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.375,0.375,0.20833333333333331,0.3943722943722944,0.7608333333333333,0.4661774320195673,5.813076972961426,0.3906726837158203
analcatdata_germangss,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 100}",0.375,0.37500000000000006,0.20833333333333331,0.38541666666666663,0.7116666666666667,0.4306468012595184,1.8439035415649414,0.39069056510925293
analcatdata_germangss,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.3,0.3,0.2333333333333333,0.33777777777777773,0.6675,0.41591432147471014,72.1640944480896,1.1719942092895508
analcatdata_germangss,XBART,3,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.25,0.25,0.25,0.24561403508771928,0.4558333333333333,0.27761767642708257,21.98658800125122,0.39070844650268555
analcatdata_germangss,Adaboost,4,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.325,0.325,0.225,0.3645833333333333,0.7266666666666667,0.434721961159924,5.797455787658691,0.0
