Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
ar4,Adaboost,0,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.888888888888889,0.8417438271604938,5.844479560852051,0.0
ar4,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.9090909090909091,0.75,0.25,0.95,1.0,1.0,0.6094214916229248,1.4206712896173652
ar4,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.5,0.75,7.750985860824585,0.0
ar4,XBART,0,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.9090909090909091,0.75,0.25,0.95,1.0,1.0,54.92838931083679,0.0
ar4,Adaboost,1,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.6111111111111112,0.5496562850729518,5.985081911087036,1.4197826385498047
ar4,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.6666666666666667,0.5770482603815938,0.703178882598877,1.420584591952237
ar4,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.5,0.75,7.891583204269409,0.0
ar4,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.6666666666666667,0.5699605178771847,52.80291724205017,0.0
ar4,Adaboost,2,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.8181818181818182,0.8888888888888888,0.1111111111111111,0.75,0.9444444444444444,0.8899691358024691,5.985043525695801,1.4205412431196733
ar4,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.8181818181818182,0.8888888888888888,0.1111111111111111,0.75,0.8611111111111112,0.7769710998877666,0.6094207763671875,0.0
ar4,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.5,0.75,8.532229661941528,0.0
ar4,XBART,2,"{'alpha': 0.3647297633711638, 'beta': 1.2483930206278528, 'burnin': 5, 'max_depth_num': 3, 'num_sweeps': 80, 'num_trees': 100}",0.9090909090909091,0.75,0.25,0.95,0.9444444444444444,0.8899691358024691,54.84984612464905,0.0
ar4,Adaboost,3,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.2222222222222222,0.44612894821228155,5.953788995742798,1.4206496152010832
ar4,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 50}",0.6363636363636364,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.11111111111111116,0.4074715408048741,0.6250674724578857,0.0
ar4,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.5,0.75,7.313342809677124,0.0
ar4,XBART,3,"{'alpha': 0.1594952556655613, 'beta': 1.7003410717304972, 'burnin': 2, 'max_depth_num': 4, 'num_sweeps': 80, 'num_trees': 100}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.4444444444444444,0.5098524931858265,54.66214942932129,1.4200644059614702
ar4,Adaboost,4,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.8181818181818182,0.5,0.5,0.8181818181818182,1.0,1.0,6.0318591594696045,2.8422312303022905
ar4,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",0.9090909090909091,0.75,0.25,0.95,0.9444444444444444,0.8899691358024691,0.6250507831573486,1.420606266368519
ar4,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.5,0.75,7.71956205368042,0.0
ar4,XBART,4,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.9090909090909091,0.75,0.25,0.95,0.8333333333333334,0.811386684303351,54.84951949119568,0.0
ar4,Adaboost,5,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",1.0,1.0,0.0,1.0,1.0,1.0,5.938129663467407,0.0
ar4,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.8181818181818182,0.5,0.5,0.8181818181818182,1.0,1.0,0.6562886238098145,0.0
ar4,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.5,0.75,8.172762393951416,0.0
ar4,XBART,5,"{'alpha': 0.3647297633711638, 'beta': 1.2483930206278528, 'burnin': 5, 'max_depth_num': 3, 'num_sweeps': 80, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,54.84951877593994,1.420194452459162
ar4,Adaboost,6,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.7272727272727273,0.4444444444444444,0.5555555555555556,0.4,0.4444444444444444,0.46082050665383995,5.875624656677246,1.4210831035267222
ar4,LightGBM,6,"{'n_estimators': 50, 'num_leaves': 100}",0.7272727272727273,0.4444444444444444,0.5555555555555556,0.4,0.5,0.5078077400994068,0.6094071865081787,1.420584591952237
ar4,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8181818181818182,0.5,0.5,0.8181818181818182,0.5,0.75,6.922623872756958,0.0
ar4,XBART,6,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.7272727272727273,0.4444444444444444,0.5555555555555556,0.4,0.6666666666666667,0.5699605178771847,54.47447657585144,0.0
ar4,Adaboost,7,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.7,0.8125,0.1875,0.7,0.875,0.6951388888888889,6.2350242137908936,1.5625715255737305
ar4,LightGBM,7,"{'n_estimators': 50, 'num_leaves': 100}",0.8,0.5,0.5,0.8,0.875,0.6951388888888889,1.7501566410064697,1.5626192092895508
ar4,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8,0.5,0.5,0.8,0.5,0.75,7.094496965408325,0.0
ar4,XBART,7,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.9,0.9375,0.0625,0.8333333333333333,1.0,1.0,57.19351124763489,0.0
ar4,Adaboost,8,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.9,0.75,0.25,0.9444444444444444,1.0,1.0,6.172525405883789,1.5625953674316406
ar4,LightGBM,8,"{'n_estimators': 20, 'num_leaves': 5}",0.8,0.5,0.5,0.8,0.875,0.8384176587301587,0.8281900882720947,1.5627145767211914
ar4,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8,0.5,0.5,0.8,0.5,0.75,7.891481637954712,0.0
ar4,XBART,8,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.8,0.5,0.5,0.8,0.9375,0.8884548611111112,59.443747758865356,0.0
ar4,Adaboost,9,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.9,0.75,0.25,0.9444444444444444,0.6875,0.7556051587301588,5.969366073608398,0.0
ar4,LightGBM,9,"{'n_estimators': 20, 'num_leaves': 5}",0.9,0.75,0.25,0.9444444444444444,0.5625,0.6981894841269841,1.422034502029419,1.5626192092895508
ar4,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.8,0.5,0.5,0.8,0.5,0.75,7.172676086425781,0.0
ar4,XBART,9,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.9,0.75,0.25,0.9444444444444444,0.75,0.7797867063492063,56.74046850204468,1.563405990600586
