Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
arrhythmia,Adaboost,0,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.6739130434782609,0.3592592592592593,0.07389230063648669,0.7649122807017543,0.6890237531842751,0.3424280550203021,16.564242362976074,0.33953915471616
arrhythmia,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 5}",0.7608695652173914,0.6288888888888889,0.05003245775603499,0.8095238095238094,0.8620116674219528,0.716973121980737,13.782673835754395,0.0
arrhythmia,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.6304347826086957,0.30666666666666664,0.08177848950206673,0.42631578947368426,0.8547373099859393,0.5172112100191869,2376.916687965393,2.038214517676312
arrhythmia,XBART,0,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.0,0.0,0.0,0.0,0.5,0.5555555555555556,939.2664039134979,0.33969464509383496
arrhythmia,Adaboost,1,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.5652173913043478,0.15111111111111108,0.09278916709432876,0.3162393162393162,0.644442904087922,0.3409910913746191,16.407965421676636,0.3397153771441916
arrhythmia,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.782608695652174,0.6511111111111111,0.037054634615610225,0.7238095238095238,0.9422805888886434,0.7989255183576064,13.610784769058228,0.3397101941316024
arrhythmia,Provably Robust Boosting,1,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.6304347826086957,0.3066666666666667,0.07422032950488236,0.5285714285714286,0.8067234984331788,0.40083441397479386,2361.254222393036,2.0376962164173955
arrhythmia,XBART,1,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.021739130434782608,0.1111111111111111,0.11465193944868741,0.011363636363636364,0.6689718166821589,0.16947279314020908,908.3084588050842,0.0
arrhythmia,Adaboost,2,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.5777777777777777,0.13333333333333333,0.09980620155038761,0.3650793650793651,0.8352656092113456,0.5059408317512454,17.532963275909424,1.3890690273708768
arrhythmia,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 10}",0.7555555555555555,0.6577777777777778,0.04638830162085976,0.7775862068965517,0.9119909765801238,0.7240699977409263,15.657752752304077,0.0
arrhythmia,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.6222222222222222,0.32,0.07146464646464647,0.448252688172043,0.6506260314477369,0.3491322630872974,2352.506285429001,2.0835293663872614
arrhythmia,XBART,2,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.0,0.0,0.0,0.0,0.5,0.5555555555555556,939.8620209693909,0.0
arrhythmia,Adaboost,3,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.6,0.3125925925925926,0.07738095238095238,0.5075000000000001,0.7638949685112476,0.37359165660805627,17.56418490409851,1.0419368743896484
arrhythmia,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.6666666666666666,0.41333333333333333,0.07758397932816538,0.7611111111111111,0.9223505374900723,0.5855256066376379,12.67306923866272,0.34727520412868923
arrhythmia,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6666666666666666,0.27555555555555555,0.06628186628186629,0.4047926267281106,0.8015023956806904,0.3821090888977822,2504.56942653656,2.4307674831814237
arrhythmia,XBART,3,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.0,0.0,0.002777777777777778,0.0,0.48140261977471277,0.4733164983164983,939.3242983818054,0.34724871317545575
arrhythmia,Adaboost,4,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.6,0.4018518518518518,0.07486127242224803,0.5923611111111111,0.8074523203384991,0.48920880845712694,17.51747488975525,1.0417726304796007
arrhythmia,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 100}",0.6888888888888889,0.637037037037037,0.06092933767352372,0.7345430107526882,0.877181596370479,0.650123055455769,12.501277923583984,0.34727520412868923
arrhythmia,Provably Robust Boosting,4,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.5555555555555556,0.25740740740740736,0.09318621757646148,0.481981981981982,0.7323672610555764,0.36819360584914973,2338.0884251594543,2.0835452609592013
arrhythmia,XBART,4,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.0,0.0,0.0027100271002710027,0.0,0.45361882949092247,0.44556677890011226,946.0458645820618,0.3472699059380426
arrhythmia,Adaboost,5,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.5777777777777777,0.25740740740740736,0.09511784511784512,0.5128205128205128,0.5902119030385243,0.20915753668679646,16.92353892326355,0.6945027245415583
arrhythmia,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 100}",0.7333333333333333,0.6361111111111111,0.053051126831614635,0.7582101806239737,0.894094976086846,0.6258441390618787,13.798215866088867,0.0
