Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
audiology-std,Adaboost,0,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.6,0.65,0.057967836257309946,0.7503401360544217,0.9311111111111111,0.8233661477411478,6.1881186962127686,1.5626907348632812
audiology-std,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 50}",0.7,0.7375,0.04269005847953216,0.70625,0.9606944444444444,0.8412026515151515,2.172089099884033,0.7813334465026855
audiology-std,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.75,0.625,0.038157894736842106,0.826388888888889,0.9058442982456141,0.658306623931624,178.32721638679504,3.906643390655518
audiology-std,XBART,0,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.35,0.35,0.09576023391812866,0.3277777777777778,0.7001608187134503,0.2511933100439292,186.78750157356262,0.7813334465026855
audiology-std,Adaboost,1,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.6,0.45,0.059722222222222225,0.5476190476190477,0.8802960526315791,0.6089886675824175,6.28157114982605,2.3437023162841797
audiology-std,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.7,0.7375,0.04444444444444444,0.7523809523809524,0.93625,0.8361656746031746,2.109454393386841,0.0
audiology-std,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.65,0.5,0.058333333333333334,0.7951388888888888,0.9287682748538011,0.7153521825396825,167.86617827415466,3.9065122604370113
audiology-std,XBART,1,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.2,0.1375,0.1162280701754386,0.17708333333333331,0.6415716374269006,0.29911414426217053,178.74830842018127,0.0
audiology-std,Adaboost,2,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.5,0.46875,0.07026143790849673,0.5700000000000001,0.89285247624269,0.6547007761437909,6.172411680221558,2.343881130218506
audiology-std,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.75,0.65625,0.037951496388028895,0.8023809523809525,0.9652777777777778,0.8702256944444444,2.093907356262207,0.0
