Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
autos,Adaboost,0,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.6666666666666666,0.5666666666666667,0.09587301587301586,0.75,0.8939133548156104,0.6717501546072974,6.06308913230896,0.7426057543073382
autos,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.7142857142857143,0.6333333333333333,0.08158730158730158,0.8206060606060607,0.9146588693957115,0.7919841269841269,1.5626168251037598,0.0
autos,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5238095238095238,0.3333333333333333,0.13587301587301587,0.36111111111111116,0.7071297290846162,0.40881313131313124,85.98718905448914,2.2323131561279297
autos,XBART,0,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.6666666666666666,0.5666666666666667,0.08857142857142856,0.7388888888888888,0.827936507936508,0.6803231292517007,84.6797444820404,0.0
autos,Adaboost,1,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.42857142857142855,0.26666666666666666,0.1657142857142857,0.3942307692307692,0.7370258980785297,0.6216117216117215,6.031808376312256,0.7442633310953776
autos,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 50}",0.8095238095238095,0.7666666666666667,0.053015873015873,0.8402777777777778,0.9437037037037037,0.8550631313131312,1.5782508850097656,0.0
autos,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5714285714285714,0.4666666666666666,0.12571428571428572,0.6461538461538462,0.8075927915025659,0.6471017871017871,84.73580813407898,2.9764402480352494
autos,XBART,1,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.5238095238095238,0.44761904761904764,0.1257644110275689,0.4930555555555555,0.8759271193857661,0.62930426716141,85.3048038482666,0.0
autos,Adaboost,2,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.42857142857142855,0.34285714285714286,0.15660818713450292,0.35,0.8007614273779687,0.5089564163906268,5.891181707382202,0.0
autos,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.7142857142857143,0.7428571428571429,0.07370091896407685,0.7,0.9180172653856864,0.8145059191017838,1.484482765197754,0.744093032110305
autos,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.47619047619047616,0.34285714285714286,0.15015873015873016,0.48484848484848486,0.7285849544496161,0.5418778954963165,86.92394423484802,2.232324509393601
autos,XBART,2,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.5238095238095238,0.5238095238095238,0.12857142857142856,0.6799999999999999,0.8936205593348451,0.7504955163883735,85.30478405952454,0.0
autos,Adaboost,3,"{'learning_rate': 0.6550748322169144, 'n_estimators': 50}",0.5714285714285714,0.5,0.11555555555555555,0.6145833333333334,0.8437037037037036,0.6323447848447847,6.01618218421936,0.7441157386416482
autos,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,1.656402349472046,0.0
autos,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.38095238095238093,0.3,0.17333333333333334,0.5555555555555556,0.7703703703703705,0.5117899638487874,85.15172529220581,2.232347215924944
autos,XBART,3,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.5714285714285714,0.5333333333333333,0.11555555555555555,0.7090909090909091,0.8911111111111112,0.6390842953342954,87.03620028495789,0.0
autos,Adaboost,4,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.5714285714285714,0.47000000000000003,0.11527777777777777,0.5113636363636364,0.8901960784313726,0.6631248473748473,6.266006946563721,2.2322904495965865
autos,LightGBM,4,"{'n_estimators': 100, 'num_leaves': 50}",0.8095238095238095,0.86,0.04583333333333333,0.86,0.9902777777777778,0.9787698412698413,1.5469367504119873,0.7441611517043342
autos,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.42857142857142855,0.3466666666666666,0.1552777777777778,0.44285714285714284,0.6939133986928103,0.41785171261487053,89.23193955421448,2.2323131561279297
autos,XBART,4,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.47619047619047616,0.4033333333333333,0.13779411764705882,0.5625,0.7219117647058824,0.5021488277804067,87.0690803527832,0.7441157386416482
autos,Adaboost,5,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.55,0.6066666666666666,0.11299486461251167,0.5838095238095238,0.8795021008403362,0.6974557387057386,6.281750679016113,2.3444771766662598
autos,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.7,0.72,0.07781512605042018,0.7392857142857143,0.8777440476190476,0.7456764346764346,1.5157139301300049,0.0
autos,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5,0.42000000000000004,0.13714285714285715,0.6296296296296297,0.7768380018674137,0.42798759525075314,85.25267291069031,2.343916893005371
autos,XBART,5,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.3,0.22999999999999998,0.18535714285714286,0.3055555555555555,0.6162379785247432,0.3346865125901503,84.44480538368225,0.0
autos,Adaboost,6,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.55,0.42000000000000004,0.12284565108094521,0.4340909090909091,0.8546076276664513,0.5913522588522588,5.98489236831665,0.7813215255737305
autos,LightGBM,6,"{'n_estimators': 20, 'num_leaves': 5}",0.7,0.62,0.08236299648064353,0.7233333333333334,0.8855225166989873,0.7382168787770291,1.515735149383545,0.0
autos,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5,0.3466666666666666,0.1461236802413273,0.5,0.6798629605688429,0.46832458849486713,87.33036017417908,3.125286102294922
autos,XBART,6,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.35,0.26095238095238094,0.17321266968325794,0.34047619047619043,0.7458791927027221,0.5111714293618318,85.81992626190186,0.0
autos,Adaboost,7,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.55,0.44666666666666666,0.1266365007541478,0.6174242424242424,0.7683260791496085,0.45225360353931776,6.0317699909210205,1.5626072883605957
autos,LightGBM,7,"{'n_estimators': 100, 'num_leaves': 50}",0.85,0.8647619047619048,0.038431372549019606,0.8833333333333332,0.9427416505063565,0.848620387548959,1.5938680171966553,0.0
autos,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.5,0.38476190476190475,0.13634992458521872,0.48412698412698413,0.8172316311139841,0.47297402597402594,87.34200811386108,2.343916893005371
autos,XBART,7,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.5,0.440952380952381,0.1291101055806938,0.6111111111111112,0.7326635064282123,0.48204219415652416,85.05482482910156,0.0
autos,Adaboost,8,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.6,0.4866666666666667,0.11125188536953243,0.6571428571428571,0.7577137829490771,0.4638316128316129,5.953689098358154,0.0
autos,LightGBM,8,"{'n_estimators': 200, 'num_leaves': 5}",0.8,0.7647619047619048,0.055384615384615386,0.8857142857142858,0.8800044530632766,0.7273784958427816,1.6563889980316162,0.0
autos,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.45,0.3180952380952381,0.15221719457013577,0.39848484848484844,0.7047629102923221,0.5129675324675326,87.3778727054596,3.125298023223877
autos,XBART,8,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.55,0.4247619047619048,0.1209653092006033,0.6145833333333333,0.6349449112978525,0.4248670259826827,84.46115231513977,0.0
autos,Adaboost,9,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.55,0.44666666666666666,0.1307390648567119,0.6346153846153846,0.8823879910938734,0.5817853535353535,5.906809568405151,0.0
autos,LightGBM,9,"{'n_estimators': 200, 'num_leaves': 5}",0.9,0.8714285714285716,0.026495726495726495,0.8714285714285716,0.9202686202686202,0.8628159935302792,1.640758752822876,0.7813453674316406
autos,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5,0.3580952380952381,0.14045248868778282,0.45959595959595956,0.7439650219061984,0.44423677158263625,86.4399766921997,2.3440957069396973
autos,XBART,9,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.55,0.44761904761904764,0.1209653092006033,0.625,0.8045179918121095,0.6684148523434238,85.21539354324341,0.0
