Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
balance-scale,Adaboost,0,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.8412698412698413,0.6091954022988505,0.09803921568627451,0.8424242424242425,0.7759296822177145,0.6659996960802804,5.7195351123809814,0.248046148390997
balance-scale,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 100}",0.8253968253968254,0.6528735632183907,0.08755916159567277,0.6520251778872469,0.9045977011494252,0.7530507222810939,1.4845786094665527,0.0
balance-scale,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6984126984126984,0.5057471264367815,0.18627450980392157,0.7035714285714285,0.7531440162271806,0.6154777198224191,60.445430278778076,0.496092296781994
balance-scale,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.8571428571428571,0.6206896551724138,0.08823529411764706,0.8726611226611227,0.921501014198783,0.7109135138729802,20.580710887908936,0.0
balance-scale,Adaboost,1,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.9047619047619048,0.6551724137931035,0.0588235294117647,0.906060606060606,0.7530764029749831,0.6782221892470873,5.7038352489471436,0.0
balance-scale,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.873015873015873,0.6873563218390805,0.0662609871534821,0.6936781609195402,0.9533468559837729,0.73933222846836,1.4220507144927979,0.248046148390997
balance-scale,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6190476190476191,0.44827586206896547,0.2352941176470588,0.6362179487179487,0.711291413116971,0.5655426669838776,60.49356484413147,0.496084727938213
balance-scale,XBART,1,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.7936507936507936,0.5747126436781609,0.11764705882352942,0.5691056910569106,0.9500338066260987,0.7356816044062163,20.689963340759277,0.0
balance-scale,Adaboost,2,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.9047619047619048,0.6551724137931035,0.05882352941176471,0.9047379032258065,0.8547667342799188,0.7631203819163889,5.70379114151001,0.0
balance-scale,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 100}",0.8571428571428571,0.6206896551724138,0.07606490872210954,0.599925843529848,0.9352265043948614,0.7189470247600985,1.484529733657837,0.0
balance-scale,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.6825396825396826,0.4942528735632184,0.19607843137254902,0.6833333333333333,0.8195402298850576,0.6862734967749041,60.973028898239136,0.49608851236010354
balance-scale,XBART,2,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.8253968253968254,0.5977011494252874,0.10784313725490197,0.8625,0.946788370520622,0.7306211795084144,20.549168825149536,0.0
