Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
blood,Adaboost,0,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.8,0.5833333333333334,0.4166666666666667,0.8958333333333333,0.7285575048732943,0.725076208679176,5.844292640686035,0.0
blood,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.8133333333333334,0.6301169590643274,0.3698830409356725,0.8224637681159421,0.7358674463937621,0.705650509635893,0.7500495910644531,0.0
blood,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.76,0.5,0.5,0.76,0.5,0.75,22.23728036880493,0.0
blood,XBART,0,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.8133333333333334,0.6491228070175439,0.3508771929824561,0.7854477611940298,0.7344054580896686,0.7388055748209008,18.783042430877686,0.20835558573404947
blood,Adaboost,1,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7866666666666666,0.5555555555555556,0.4444444444444444,0.8904109589041096,0.7397660818713451,0.7375339097689437,5.859935760498047,0.0
blood,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.7733333333333333,0.5847953216374269,0.41520467836257313,0.6827731092436975,0.746588693957115,0.6637772202182216,0.750054121017456,0.0
blood,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.76,0.5,0.5,0.76,0.5,0.75,22.417930364608765,0.20870208740234375
blood,XBART,1,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.7466666666666667,0.5292397660818713,0.4707602339181286,0.5857142857142857,0.7261208576998052,0.641210433680166,18.34553575515747,0.0
blood,Adaboost,2,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7733333333333333,0.5657894736842105,0.4342105263157895,0.6928571428571428,0.7660818713450293,0.7261767199742564,5.906829833984375,0.20834922790527344
blood,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.8,0.6403508771929824,0.35964912280701755,0.7424242424242424,0.7831384015594541,0.7219853605131634,0.750054121017456,0.2083587646484375
blood,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.76,0.5,0.5,0.76,0.5,0.75,22.005826234817505,0.0
blood,XBART,2,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.7866666666666666,0.5935672514619883,0.4064327485380117,0.7318840579710144,0.8148148148148148,0.7712174340150548,18.06426453590393,0.0
blood,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.76,0.5570175438596491,0.4429824561403509,0.6413043478260869,0.7889863547758285,0.7117694471587457,5.875574827194214,0.0
blood,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.8133333333333334,0.6681286549707602,0.33187134502923976,0.7653846153846153,0.7992202729044835,0.729365775253143,0.7344162464141846,0.0
blood,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.76,0.5,0.5,0.76,0.5,0.75,22.691663026809692,0.0
blood,XBART,3,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.7866666666666666,0.6125730994152047,0.38742690058479534,0.7154850746268657,0.7904483430799222,0.7263293401782707,18.76745319366455,0.20843505859375
blood,Adaboost,4,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.8133333333333334,0.6491228070175439,0.3508771929824561,0.7854477611940298,0.6842105263157894,0.6980799385576182,6.219353914260864,0.6250603993733723
blood,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.8,0.6213450292397661,0.3786549707602339,0.7615546218487395,0.712475633528265,0.6993028242188872,0.7813074588775635,0.0
blood,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.76,0.5,0.5,0.76,0.5,0.75,22.60196280479431,0.0
blood,XBART,4,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.8,0.6213450292397661,0.3786549707602339,0.7615546218487395,0.7217348927875243,0.7076944392681149,18.736143350601196,0.2083619435628255
blood,Adaboost,5,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7466666666666667,0.5292397660818713,0.4707602339181286,0.5857142857142857,0.638401559454191,0.6022393762535649,5.938037633895874,0.2083460489908854
blood,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.7466666666666667,0.5482456140350878,0.4517543859649123,0.6039915966386554,0.6588693957115009,0.6151868232353964,0.7813022136688232,0.0
blood,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.76,0.5,0.5,0.76,0.5,0.75,22.14600968360901,0.0
blood,XBART,5,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.76,0.5570175438596491,0.4429824561403509,0.6413043478260869,0.6150097465886941,0.5520754526546343,19.111138582229614,0.2084223429361979
blood,Adaboost,6,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7466666666666667,0.5482456140350878,0.4517543859649123,0.6039915966386554,0.7387914230019493,0.6941636383657513,5.922418594360352,0.2083428700764974
blood,LightGBM,6,"{'n_estimators': 20, 'num_leaves': 5}",0.7733333333333333,0.6418128654970761,0.358187134502924,0.6805210918114144,0.7071150097465887,0.6766064890318366,0.7500495910644531,0.20835240681966147
blood,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.76,0.5,0.5,0.76,0.5,0.75,21.926812648773193,0.0
blood,XBART,6,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.76,0.6140350877192983,0.38596491228070173,0.6547619047619048,0.7344054580896686,0.6495716073035006,18.220443725585938,0.2082347869873047
blood,Adaboost,7,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7733333333333333,0.5277777777777778,0.4722222222222222,0.8851351351351351,0.8323586744639376,0.8177493342205302,5.859907150268555,0.0
blood,LightGBM,7,"{'n_estimators': 20, 'num_leaves': 5}",0.8133333333333334,0.6111111111111112,0.3888888888888889,0.9014084507042254,0.7977582846003899,0.792017275489509,0.7656760215759277,0.0
blood,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.76,0.5,0.5,0.76,0.5,0.75,22.569072484970093,0.0
blood,XBART,7,"{'alpha': 0.3647297633711638, 'beta': 1.2483930206278528, 'burnin': 5, 'max_depth_num': 3, 'num_sweeps': 80, 'num_trees': 100}",0.7866666666666666,0.5555555555555556,0.4444444444444444,0.8904109589041096,0.8226120857699806,0.7944127194784203,18.59546709060669,0.2083460489908854
blood,Adaboost,8,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7702702702702703,0.5206398348813209,0.47936016511867907,0.6388888888888888,0.8111455108359134,0.7032386357872498,5.859924793243408,0.21108421119483742
blood,LightGBM,8,"{'n_estimators': 20, 'num_leaves': 5}",0.8108108108108109,0.6501547987616099,0.34984520123839014,0.7487179487179487,0.8116615067079463,0.718268015244574,0.750049352645874,0.0
blood,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7702702702702703,0.5,0.5,0.7702702702702703,0.5,0.75,21.949785232543945,0.0
blood,XBART,8,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.8108108108108109,0.6501547987616099,0.34984520123839014,0.7487179487179487,0.826625386996904,0.7439734926126473,18.095522165298462,0.0
blood,Adaboost,9,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7702702702702703,0.5412796697626419,0.4587203302373581,0.6428571428571428,0.674406604747162,0.6428537159789223,5.87556266784668,0.0
blood,LightGBM,9,"{'n_estimators': 20, 'num_leaves': 5}",0.7702702702702703,0.5825593395252838,0.4174406604747162,0.6515151515151515,0.6568627450980392,0.6244986063670909,0.7500503063201904,0.0
blood,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7702702702702703,0.5,0.5,0.7702702702702703,0.5,0.75,22.6478168964386,0.0
blood,XBART,9,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.7702702702702703,0.5619195046439628,0.4380804953560371,0.6470588235294117,0.6568627450980392,0.6524363512251157,18.329917192459106,0.0
