Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
bodyfat,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,0.23439788818359375,0.0
bodyfat,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,0.60943603515625,0.0
bodyfat,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,16.457379579544067,0.0
bodyfat,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,0.9999999999999998,42.426032304763794,0.0
bodyfat,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,0.23440146446228027,0.0
bodyfat,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,0.9999999999999998,0.6094040870666504,0.0
bodyfat,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,16.45097064971924,0.0
bodyfat,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,0.9999999999999998,42.55102896690369,0.0
bodyfat,Adaboost,2,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.96,0.9615384615384616,0.038461538461538464,0.9615384615384616,0.9615384615384616,0.9715384615384616,0.23439598083496094,0.0
bodyfat,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.96,0.9615384615384616,0.038461538461538464,0.9615384615384616,0.9871794871794872,0.9754578754578755,0.6406674385070801,0.6250572204589844
bodyfat,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.48,0.5,0.5,0.48,0.5,0.75,16.484594106674194,0.0
bodyfat,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,0.9999999999999999,42.42604899406433,0.0
bodyfat,Adaboost,3,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,0.25003790855407715,0.0
bodyfat,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 50}",1.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.6250252723693848,0.0
bodyfat,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.48,0.5,0.5,0.48,0.5,0.75,16.466752529144287,0.6250667572021484
bodyfat,XBART,3,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,0.9999999999999999,42.45729899406433,0.0
bodyfat,Adaboost,4,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,0.2500340938568115,0.0
bodyfat,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,0.6250288486480713,0.0
