Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
breast-cancer,Adaboost,0,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7241379310344828,0.6160714285714286,0.3839285714285714,0.6413043478260869,0.5357142857142857,0.5142021955793781,5.46932578086853,0.0
breast-cancer,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.7241379310344828,0.5773809523809523,0.4226190476190476,0.63,0.5535714285714286,0.6018641445053103,0.6094038486480713,0.0
breast-cancer,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7241379310344828,0.5,0.5,0.7241379310344828,0.5,0.75,12.38616394996643,0.5397714417556237
breast-cancer,XBART,0,"{'alpha': 0.2812792213317815, 'beta': 0.8045546791767061, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.0,0.0,0.0,0.0,0.25297619047619047,0.44814299945015834,40.816789865493774,0.0
breast-cancer,Adaboost,1,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6896551724137931,0.5,0.5,0.6896551724137931,0.6861111111111111,0.6408835520746397,5.438074350357056,0.0
breast-cancer,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.6896551724137931,0.5,0.5,0.6896551724137931,0.7444444444444445,0.7366156272979603,0.6094183921813965,0.0
breast-cancer,Provably Robust Boosting,1,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.6896551724137931,0.5,0.5,0.6896551724137931,0.6555555555555554,0.6605830021936343,13.838065385818481,0.5388506527604727
breast-cancer,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.0,0.0,0.0,0.0,0.3972222222222222,0.5464723337185023,40.53703045845032,0.538834210099845
breast-cancer,Adaboost,2,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6896551724137931,0.5916666666666667,0.4083333333333333,0.6195652173913043,0.7388888888888888,0.6976643053269487,5.54742956161499,0.0
breast-cancer,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 100}",0.7931034482758621,0.6972222222222222,0.3027777777777778,0.7958333333333334,0.6944444444444444,0.7344279638997553,0.6250267028808594,0.0
breast-cancer,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6896551724137931,0.5,0.5,0.6896551724137931,0.5,0.75,12.486243486404419,0.0
breast-cancer,XBART,2,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.2413793103448276,0.2972222222222222,0.3555555555555555,0.25,0.4166666666666667,0.5335120296515596,41.55099296569824,0.0
breast-cancer,Adaboost,3,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.6551724137931034,0.5666666666666667,0.43333333333333335,0.577922077922078,0.6194444444444444,0.6333186972363174,5.53179144859314,0.5388670954211005
breast-cancer,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.7241379310344828,0.6166666666666667,0.3833333333333333,0.675,0.5527777777777777,0.6005362854067563,0.6250410079956055,0.0
breast-cancer,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6896551724137931,0.5,0.5,0.6896551724137931,0.5,0.75,12.559187412261963,0.0
breast-cancer,XBART,3,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.6896551724137931,0.6833333333333333,0.31666666666666665,0.6617647058823529,0.7277777777777777,0.6695000755435097,40.160205364227295,0.0
breast-cancer,Adaboost,4,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6206896551724138,0.4805555555555555,0.5194444444444444,0.465,0.3638888888888889,0.41325878042367165,5.516171455383301,0.0
breast-cancer,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 100}",0.6551724137931034,0.475,0.525,0.3392857142857143,0.5055555555555555,0.5231549427815225,0.6094346046447754,0.5388588740907867
breast-cancer,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6896551724137931,0.5,0.5,0.6896551724137931,0.5,0.75,12.40151309967041,0.0
breast-cancer,XBART,4,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.034482758620689655,0.05555555555555555,0.05,0.1111111111111111,0.4666666666666667,0.5061180943052139,41.59787940979004,0.5388835380817282
breast-cancer,Adaboost,5,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7241379310344828,0.586111111111111,0.4138888888888889,0.6987179487179487,0.6166666666666667,0.6295882829109998,5.4536519050598145,0.5388670954211005
breast-cancer,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.7586206896551724,0.6111111111111112,0.3888888888888889,0.8703703703703703,0.6388888888888888,0.6447841504862318,0.6094152927398682,0.0
breast-cancer,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6896551724137931,0.5,0.5,0.6896551724137931,0.5,0.75,12.440809726715088,0.0
breast-cancer,XBART,5,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.13793103448275862,0.1611111111111111,0.26666666666666666,0.24444444444444446,0.3916666666666667,0.4638108388891018,42.6292200088501,0.539163063312399
breast-cancer,Adaboost,6,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.8214285714285714,0.725,0.275,0.8130434782608695,0.765625,0.7758993692773054,5.4536497592926025,0.0
breast-cancer,LightGBM,6,"{'n_estimators': 50, 'num_leaves': 5}",0.8214285714285714,0.725,0.275,0.8130434782608695,0.78125,0.7922529994431243,0.6094155311584473,0.0
breast-cancer,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7142857142857143,0.5,0.5,0.7142857142857143,0.5,0.75,12.505587577819824,0.0
breast-cancer,XBART,6,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.0,0.0,0.0,0.0,0.17500000000000002,0.3859835770583768,40.95719289779663,0.0
breast-cancer,Adaboost,7,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7142857142857143,0.575,0.425,0.625,0.6718749999999999,0.6135521294960654,5.547418594360352,0.0
breast-cancer,LightGBM,7,"{'n_estimators': 20, 'num_leaves': 5}",0.7142857142857143,0.5375,0.4625,0.6153846153846154,0.7218749999999999,0.6716837608260159,0.6250283718109131,0.0
breast-cancer,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7142857142857143,0.5,0.5,0.7142857142857143,0.5,0.75,12.365427494049072,0.5580953189304897
breast-cancer,XBART,7,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.2857142857142857,0.4625,0.475,0.4230769230769231,0.6656249999999999,0.6362000976579781,41.86352491378784,0.0
breast-cancer,Adaboost,8,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.75,0.675,0.325,0.6904761904761905,0.8156249999999999,0.7924937345688331,5.516165494918823,0.0
breast-cancer,LightGBM,8,"{'n_estimators': 100, 'num_leaves': 50}",0.75,0.675,0.325,0.6904761904761905,0.7375,0.7320898442265509,0.6250424385070801,0.5581038338797433
breast-cancer,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7142857142857143,0.5,0.5,0.7142857142857143,0.5,0.75,12.367548704147339,0.0
breast-cancer,XBART,8,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.21428571428571427,0.3,0.1375,0.41269841269841273,0.671875,0.6173895170851693,41.84789967536926,0.0
breast-cancer,Adaboost,9,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.75,0.675,0.325,0.6904761904761905,0.7781250000000001,0.7541055187032524,5.469281911849976,0.0
breast-cancer,LightGBM,9,"{'n_estimators': 20, 'num_leaves': 100}",0.7142857142857143,0.65,0.35,0.65,0.734375,0.739872350683547,0.6094155311584473,0.0
breast-cancer,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7142857142857143,0.5,0.5,0.7142857142857143,0.5,0.75,12.974971055984497,0.5591341427394322
breast-cancer,XBART,9,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.2857142857142857,0.35,0.05,0.5555555555555555,0.70625,0.6697802036932473,43.91056680679321,0.0
