Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
cardiotocography-10clases,Adaboost,0,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.6009389671361502,0.3757054400707652,0.049430660790152375,0.6316137566137566,0.8994240853132827,0.544241231760504,11.657327651977539,0.07336576220015405
cardiotocography-10clases,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.8262910798122066,0.7616755659201478,0.021632309678266393,0.8986784511784511,0.9809397985576153,0.8868299980774065,12.594895601272583,0.0
cardiotocography-10clases,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 200}",0.6197183098591549,0.42649713856834603,0.045444988342032464,0.6309018567639257,0.9284909798839877,0.58943589165686,1285.6776068210602,0.5135446646963486
cardiotocography-10clases,XBART,0,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.09859154929577464,0.14386171310629517,0.07871512053922239,0.09385742462665539,0.7178032469000231,0.2054591404424419,164.70278787612915,0.0733568075117371
cardiotocography-10clases,Adaboost,1,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.6713615023474179,0.41030891492053023,0.03997784474676449,0.6688142925914665,0.9150323943046029,0.5940973184990177,11.672954082489014,0.07336352352804981
cardiotocography-10clases,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.8309859154929577,0.7563720743865935,0.020545108364432435,0.8174668958492488,0.989048439778011,0.860972568676545,12.641766786575317,0.0
cardiotocography-10clases,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6525821596244131,0.42199466534675245,0.04176756431820131,0.6585992864186162,0.9410356055069087,0.6013159204914782,1290.696106672287,0.5135446646963486
cardiotocography-10clases,XBART,1,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.3427230046948357,0.2821225320354177,0.0525869271193473,0.30160226247182764,0.7590911949552143,0.3039738848323594,166.18823504447937,0.07336352352804981
cardiotocography-10clases,Adaboost,2,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.49765258215962443,0.46129959695476935,0.05748613975726424,0.44560011138958505,0.8312828621560397,0.43580766653676106,11.6886465549469,0.07336464286410192
cardiotocography-10clases,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.8450704225352113,0.7875710946645611,0.018618367460546216,0.833504389873972,0.9478037906456553,0.8656797473162008,12.641845464706421,0.07336352352804981
cardiotocography-10clases,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.6713615023474179,0.45814453060551064,0.03952857784606193,0.6839202999779429,0.8565796504034136,0.5416864237383918,1250.5775582790375,0.440164351127517
cardiotocography-10clases,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.3333333333333333,0.21710553814002087,0.055970617176061686,0.33020041686708346,0.7900343811750521,0.40739125219459327,160.04494500160217,0.0733971036096134
cardiotocography-10clases,Adaboost,3,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.6666666666666666,0.6791303611693811,0.03959966387633914,0.6467628544610642,0.9452101461736803,0.6638960595154073,12.454273700714111,0.29345633278430344
cardiotocography-10clases,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.863849765258216,0.8168057722676597,0.016606564761272823,0.8763290327785697,0.9869969743862909,0.9045607290007105,12.860547304153442,0.0
cardiotocography-10clases,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6431924882629108,0.45073926194797337,0.0428104036742028,0.6670519898780768,0.940308677688224,0.6347471829099566,1287.6905195713043,0.5135435453602966
cardiotocography-10clases,XBART,3,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.3145539906103286,0.19346012759170655,0.04616121915551731,0.1806248762131115,0.7603622437574742,0.29451422963662127,161.4837396144867,0.07336576220015405
cardiotocography-10clases,Adaboost,4,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.43661971830985913,0.4869472013165298,0.06412373784011491,0.48647107014848945,0.873595112591706,0.49231154742825795,12.39176321029663,0.2200883319120452
