Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
chess-krvkp,Adaboost,0,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.971875,0.9716840828147626,0.02831591718523737,0.9719611528822055,0.9966341826151619,0.9966585394330182,10.782217979431152,0.04883036017417908
chess-krvkp,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 100}",0.99375,0.9940119760479043,0.005988023952095809,0.9935483870967742,0.9999217251770968,0.9999218386145301,3.937845468521118,0.0
chess-krvkp,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 250, 'min_samples_split': 500}",0.75625,0.7612617901451998,0.2387382098548002,0.7723471094610583,0.8546632225744588,0.8663482060874392,219.48549032211304,0.0
chess-krvkp,XBART,0,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.0,0.0,0.09580838323353294,0.0,0.5670228171108763,0.46677769510523076,329.92120242118835,0.048836320638656616
chess-krvkp,Adaboost,1,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.96875,0.9681421470783922,0.03185785292160776,0.9694650496487303,0.995420922860162,0.9955350527371394,10.454092979431152,0.04883110523223877
chess-krvkp,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 10}",0.996875,0.9970059880239521,0.0029940119760479044,0.9967532467532467,1.0,1.0,1.5469985008239746,0.04883483052253723
chess-krvkp,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.853125,0.8538021995225236,0.14619780047747644,0.853125,0.9267739031740442,0.92439512365342,223.34940886497498,0.0
chess-krvkp,XBART,1,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.5375,0.5163398692810458,0.48366013071895425,0.765079365079365,0.6214042503228837,0.7302151356740414,331.2347822189331,0.04882141947746277
chess-krvkp,Adaboost,2,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.975,0.9746780947908105,0.025321905209189463,0.9752733257572789,0.9976517553129036,0.9976937512428965,10.641656160354614,0.09766370058059692
chess-krvkp,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,1.7345199584960938,0.0
chess-krvkp,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 250, 'min_samples_split': 500}",0.828125,0.8293021799538178,0.17069782004618214,0.8288774233896186,0.9089272435521114,0.9127217312068656,216.40720224380493,0.04883110523223877
chess-krvkp,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.5375,0.5163398692810458,0.48366013071895425,0.765079365079365,0.5423075417791866,0.5626260308477198,338.6414861679077,0.0
chess-krvkp,Adaboost,3,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.965625,0.9659700207428281,0.03402997925717193,0.9653689806128831,0.9948338616883879,0.9949598562708046,10.547910213470459,0.048816949129104614
chess-krvkp,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 100}",0.990625,0.9907440021916951,0.00925599780830496,0.9904944453137224,0.9998434503541936,0.9998439114188342,1.7657661437988281,0.0
