Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
conn-bench-sonar-mines-rocks,Adaboost,0,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.9523809523809523,0.95,0.05,0.9583333333333333,1.0,1.0,8.063190937042236,0.744024912516276
conn-bench-sonar-mines-rocks,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 50}",1.0,1.0,0.0,1.0,1.0,1.0,0.7812860012054443,0.0
conn-bench-sonar-mines-rocks,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.6666666666666666,0.6590909090909092,0.34090909090909094,0.6785714285714286,0.8090909090909091,0.8066910929979112,49.33111214637756,0.7441384451729911
conn-bench-sonar-mines-rocks,XBART,0,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",1.0,1.0,0.0,1.0,1.0,1.0,192.31350374221802,0.0
conn-bench-sonar-mines-rocks,Adaboost,1,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.5714285714285714,0.5681818181818181,0.4318181818181818,0.5694444444444444,0.7818181818181819,0.8091477599198188,8.37572193145752,1.4882314772832963
conn-bench-sonar-mines-rocks,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 50}",0.7619047619047619,0.7636363636363637,0.23636363636363636,0.7636363636363637,0.8999999999999999,0.9066029614325068,0.7812855243682861,0.0
conn-bench-sonar-mines-rocks,Provably Robust Boosting,1,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7142857142857143,0.7090909090909091,0.2909090909090909,0.7211538461538461,0.6727272727272727,0.674515762015762,54.26491093635559,0.0
conn-bench-sonar-mines-rocks,XBART,1,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.5238095238095238,0.5,0.5,0.5238095238095238,0.55,0.7696428571428572,200.14254355430603,0.7441497984386626
conn-bench-sonar-mines-rocks,Adaboost,2,"{'learning_rate': 1.254335218612733, 'n_estimators': 20}",0.8095238095238095,0.8045454545454545,0.19545454545454544,0.8221153846153846,0.9272727272727272,0.9227206171724889,7.79759669303894,0.0
conn-bench-sonar-mines-rocks,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.9047619047619048,0.9,0.1,0.9230769230769231,0.9909090909090909,0.9912672176308539,0.7500503063201904,0.0
conn-bench-sonar-mines-rocks,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.7142857142857143,0.7090909090909091,0.2909090909090909,0.7211538461538461,0.7727272727272727,0.7949043740721549,50.61243987083435,0.744093032110305
conn-bench-sonar-mines-rocks,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.6666666666666666,0.6545454545454545,0.34545454545454546,0.7125,0.8454545454545455,0.852575080890589,189.53550791740417,0.0
conn-bench-sonar-mines-rocks,Adaboost,3,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.8571428571428571,0.8590909090909091,0.14090909090909093,0.8590909090909091,0.9363636363636363,0.9410097541347542,8.048314571380615,0.7447628747849236
conn-bench-sonar-mines-rocks,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 5}",0.9047619047619048,0.9045454545454545,0.09545454545454546,0.9045454545454545,0.9909090909090909,0.9912672176308539,0.7657287120819092,0.0
conn-bench-sonar-mines-rocks,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5238095238095238,0.5,0.5,0.5238095238095238,0.5,0.75,40.950146198272705,0.0
conn-bench-sonar-mines-rocks,XBART,3,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.9047619047619048,0.9045454545454545,0.09545454545454546,0.9045454545454545,0.9727272727272727,0.9743868757505121,189.6369984149933,0.0
conn-bench-sonar-mines-rocks,Adaboost,4,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.6666666666666666,0.6681818181818182,0.3318181818181818,0.6681818181818182,0.6909090909090909,0.7011295066537115,8.032300472259521,0.7441497984386626
conn-bench-sonar-mines-rocks,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",0.7619047619047619,0.759090909090909,0.2409090909090909,0.7638888888888888,0.8090909090909091,0.820406388026709,0.7657012939453125,0.0
conn-bench-sonar-mines-rocks,Provably Robust Boosting,4,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7142857142857143,0.7045454545454546,0.29545454545454547,0.75,0.7727272727272727,0.7850505019068558,55.225913524627686,0.7441270919073195
conn-bench-sonar-mines-rocks,XBART,4,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.6666666666666666,0.6681818181818182,0.3318181818181818,0.6681818181818182,0.7363636363636364,0.7531815245532527,190.70962190628052,0.0
conn-bench-sonar-mines-rocks,Adaboost,5,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.7619047619047619,0.7681818181818182,0.2318181818181818,0.7836538461538461,0.9090909090909091,0.9123786735768687,7.797752380371094,0.7438319069998605
conn-bench-sonar-mines-rocks,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 5}",0.9047619047619048,0.9090909090909092,0.09090909090909091,0.9166666666666667,0.9545454545454545,0.9565179391315755,0.7656786441802979,0.0
conn-bench-sonar-mines-rocks,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8571428571428571,0.85,0.15,0.8928571428571428,0.9090909090909091,0.9205197580197579,55.62754011154175,0.0
conn-bench-sonar-mines-rocks,XBART,5,"{'alpha': 0.3647297633711638, 'beta': 1.2483930206278528, 'burnin': 5, 'max_depth_num': 3, 'num_sweeps': 80, 'num_trees': 100}",0.8571428571428571,0.8636363636363636,0.13636363636363635,0.8846153846153846,0.9454545454545454,0.9510304089849544,195.27057552337646,0.0
conn-bench-sonar-mines-rocks,Adaboost,6,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.9047619047619048,0.9045454545454545,0.09545454545454546,0.9045454545454545,0.9545454545454545,0.9581873934146661,8.047726392745972,0.7441725049700055
conn-bench-sonar-mines-rocks,LightGBM,6,"{'n_estimators': 200, 'num_leaves': 100}",0.9047619047619048,0.9045454545454545,0.09545454545454546,0.9045454545454545,0.9636363636363636,0.9647961760461761,0.8125534057617188,0.0
conn-bench-sonar-mines-rocks,Provably Robust Boosting,6,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.8571428571428571,0.8545454545454545,0.14545454545454545,0.8611111111111112,0.8590909090909091,0.8580407541804601,53.49945402145386,0.7441497984386626
conn-bench-sonar-mines-rocks,XBART,6,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.8095238095238095,0.8045454545454545,0.19545454545454544,0.8221153846153846,0.9363636363636364,0.9422971283766739,191.50315523147583,0.0
conn-bench-sonar-mines-rocks,Adaboost,7,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8095238095238095,0.7916666666666666,0.20833333333333331,0.8214285714285714,0.8333333333333333,0.8282965437602952,8.407068729400635,1.4882655370803106
conn-bench-sonar-mines-rocks,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 5}",0.9047619047619048,0.8888888888888888,0.1111111111111111,0.9285714285714286,0.962962962962963,0.9651325140908475,0.7813074588775635,0.0
conn-bench-sonar-mines-rocks,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.7142857142857143,0.6944444444444444,0.3055555555555555,0.7142857142857143,0.861111111111111,0.8756255318755319,52.32948088645935,0.0
conn-bench-sonar-mines-rocks,XBART,7,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.8095238095238095,0.7777777777777778,0.2222222222222222,0.875,0.8425925925925926,0.8612717529384195,189.84690594673157,0.0
conn-bench-sonar-mines-rocks,Adaboost,8,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8,0.797979797979798,0.20202020202020202,0.797979797979798,0.7878787878787878,0.7675728017035832,8.42271089553833,1.5628695487976074
conn-bench-sonar-mines-rocks,LightGBM,8,"{'n_estimators': 200, 'num_leaves': 100}",0.9,0.898989898989899,0.10101010101010101,0.898989898989899,0.9696969696969697,0.9700217991884659,0.7969231605529785,0.7813215255737305
conn-bench-sonar-mines-rocks,Provably Robust Boosting,8,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.65,0.6212121212121212,0.3787878787878788,0.6875,0.6818181818181818,0.7672348484848486,54.482982873916626,0.0
conn-bench-sonar-mines-rocks,XBART,8,"{'alpha': 0.3647297633711638, 'beta': 1.2483930206278528, 'burnin': 5, 'max_depth_num': 3, 'num_sweeps': 80, 'num_trees': 100}",0.8,0.7878787878787878,0.2121212121212121,0.8131868131868132,0.8888888888888888,0.8973963116008571,194.44114637374878,0.0
conn-bench-sonar-mines-rocks,Adaboost,9,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.9,0.898989898989899,0.10101010101010101,0.898989898989899,0.9191919191919191,0.9145166706106993,8.344576835632324,1.5628933906555176
conn-bench-sonar-mines-rocks,LightGBM,9,"{'n_estimators': 20, 'num_leaves': 5}",0.9,0.898989898989899,0.10101010101010101,0.898989898989899,0.9898989898989898,0.9901757473727171,0.7500462532043457,0.7813096046447754
conn-bench-sonar-mines-rocks,Provably Robust Boosting,9,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.45,0.4494949494949495,0.5505050505050505,0.45,0.5606060606060606,0.6429292929292929,53.88136315345764,0.7813215255737305
conn-bench-sonar-mines-rocks,XBART,9,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.95,0.9444444444444444,0.05555555555555555,0.9583333333333333,0.9898989898989898,0.9901757473727171,189.39374113082886,0.0
