Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
contrac,Adaboost,0,"{'learning_rate': 1.254335218612733, 'n_estimators': 20}",0.5337837837837838,0.48692810457516345,0.23956003815886998,0.4820983630305664,0.6624318908246966,0.46397378115719135,6.82878303527832,0.0
contrac,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 5}",0.527027027027027,0.48412698412698413,0.24062536571872373,0.49265898420828,0.7236874782468603,0.5624076895558126,2.4533421993255615,0.0
contrac,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5,0.47587924058512293,0.2588948113157363,0.5087245886703881,0.6206842446389541,0.4447408486854368,175.51017594337463,0.21116636894844673
contrac,XBART,0,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.22972972972972974,0.3333333333333333,0.3284829721362229,0.05862068965517241,0.49523563811489507,0.4971835043529569,62.4269585609436,0.21117603456651843
contrac,Adaboost,1,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.5675675675675675,0.545751633986928,0.22189276506406505,0.548076923076923,0.7200898656924637,0.5181438549009526,6.875592947006226,0.0
contrac,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 5}",0.5743243243243243,0.5658263305322129,0.21646115490869888,0.561988324700189,0.7549416336137155,0.6115990511524404,2.4845685958862305,0.0
contrac,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4594594594594595,0.452536570183629,0.28185715957571306,0.41111111111111115,0.650661384105098,0.46966306268958674,174.26705145835876,0.21116636894844673
contrac,XBART,1,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.22972972972972974,0.3333333333333333,0.3309218062337975,0.0776255707762557,0.505093641725093,0.4982722448475873,61.552600145339966,0.3167616354452597
contrac,Adaboost,2,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.5743243243243243,0.5573685573685574,0.22097719522591644,0.5766290928609769,0.741051168079221,0.5649977333865804,6.938133239746094,0.0
contrac,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.5945945945945946,0.5732415732415732,0.21215721795964762,0.6003938329342792,0.7606477631993137,0.5937363435583247,2.4377055168151855,0.0
contrac,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5135135135135135,0.49105524105524107,0.2568254475703325,0.5214646464646465,0.7029307879531664,0.5190025987411905,177.9330062866211,0.21116797988479202
contrac,XBART,2,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.22297297297297297,0.3333333333333333,0.3333333333333333,0.22297297297297297,0.5,0.6666666666666666,62.95896053314209,0.3167535807635333
contrac,Adaboost,3,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.6122448979591837,0.5846136434371729,0.19773391812865496,0.5989046690801078,0.725049151549686,0.539356699377257,6.985013723373413,0.0
contrac,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 5}",0.5918367346938775,0.5698158051099228,0.21068295739348372,0.5851851851851851,0.7612959579986524,0.5937509627580493,2.468954086303711,0.0
contrac,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.46258503401360546,0.44597232832526945,0.2760286131996659,0.4428746928746929,0.6685124120532494,0.46348850603361774,179.40542101860046,0.212594765384181
