Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
dermatology,Adaboost,0,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.972972972972973,0.9666666666666667,0.005555555555555556,0.9791666666666666,0.9981646825396826,0.9907001133786849,6.578779220581055,1.2670336542902765
dermatology,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 50}",0.972972972972973,0.9666666666666667,0.005555555555555556,0.9791666666666666,1.0,1.0,2.2501919269561768,0.0
dermatology,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",1.0,1.0,0.0,1.0,0.9979166666666667,0.9896825396825397,185.92595553398132,1.6893567265690985
dermatology,XBART,0,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.8648648648648649,0.8714285714285714,0.027777777777777776,0.9305555555555557,0.9712301587301587,0.9406065759637188,145.65493416786194,0.0
dermatology,Adaboost,1,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.918918918918919,0.7999999999999999,0.016129032258064516,0.9333333333333332,0.9971662186379927,0.9864484126984125,6.563143253326416,0.8446783632845493
dermatology,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,2.312727451324463,0.0
dermatology,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.972972972972973,0.9666666666666667,0.005376344086021505,0.9761904761904763,0.9982078853046595,0.9925595238095237,180.7875919342041,1.6893438390783362
dermatology,XBART,1,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.7837837837837838,0.7527777777777778,0.04355958781362007,0.8401875901875901,0.9123921530977984,0.7145098988892613,145.34243416786194,0.0
dermatology,Adaboost,2,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.918918918918919,0.9095238095238095,0.015961021505376344,0.9305555555555555,0.9921762992831541,0.9639880952380953,6.344374895095825,0.42233595976958405
dermatology,LightGBM,2,"{'n_estimators': 100, 'num_leaves': 50}",0.9459459459459459,0.942857142857143,0.010584677419354838,0.9484126984126985,0.9936411930363543,0.9684193121693121,2.2814390659332275,0.4223552910057274
dermatology,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.9459459459459459,0.942857142857143,0.010584677419354838,0.9484126984126985,0.97992431515617,0.9265003779289493,182.2905502319336,1.6893631703144794
dermatology,XBART,2,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.8108108108108109,0.7873015873015873,0.03854166666666667,0.8888888888888888,0.8839285714285715,0.7649521464568734,152.32676196098328,0.42234240351496516
dermatology,Adaboost,3,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.918918918918919,0.9292929292929294,0.015793010752688172,0.919047619047619,0.9870183691756272,0.9102946127946128,6.563116550445557,0.8446654757937869
dermatology,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,2.172043800354004,0.42234240351496516
dermatology,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",1.0,1.0,0.0,1.0,1.0,1.0,186.3599214553833,1.6893438390783362
dermatology,XBART,3,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.8648648648648649,0.8863636363636364,0.027994067482387835,0.8878787878787878,0.9619948090470892,0.9254951821527908,142.49819469451904,0.0
dermatology,Adaboost,4,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,6.563145875930786,0.8446912507753115
dermatology,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",0.972972972972973,0.9722222222222223,0.005208333333333333,0.9722222222222223,0.9971662186379927,0.9864484126984127,2.265822410583496,0.0
dermatology,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.9459459459459459,0.938888888888889,0.010584677419354838,0.938888888888889,0.996051747311828,0.981580687830688,180.51995944976807,1.6893631703144794
dermatology,XBART,4,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.7567567567567568,0.7333333333333334,0.05118534482758621,0.85,0.9648444259053269,0.9129842289353158,144.96737909317017,0.0
dermatology,Adaboost,5,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.8918918918918919,0.8817460317460318,0.020722926267281106,0.8551587301587302,0.9858310931899642,0.9415588115588115,6.406878471374512,0.4223166285334407
dermatology,LightGBM,5,"{'n_estimators': 100, 'num_leaves': 50}",1.0,1.0,0.0,1.0,1.0,1.0,2.2658300399780273,0.0
dermatology,Provably Robust Boosting,5,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.9459459459459459,0.888888888888889,0.010138248847926266,0.888888888888889,0.9886904761904761,0.9208928571428571,182.59594440460205,1.6893567265690985
dermatology,XBART,5,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.8378378378378378,0.7222222222222222,0.031933243727598565,0.8333333333333334,0.9333029313876088,0.7879196202881483,148.5769238471985,0.0
dermatology,Adaboost,6,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.9166666666666666,0.8055555555555557,0.016319444444444445,0.9028571428571428,0.9875868055555556,0.9125496031746033,6.65690279006958,0.8681284056769477
dermatology,LightGBM,6,"{'n_estimators': 100, 'num_leaves': 50}",0.9722222222222222,0.9583333333333334,0.005555555555555556,0.9761904761904763,0.9955439814814815,0.9753306878306877,3.3127946853637695,0.0
dermatology,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.9722222222222222,0.9583333333333334,0.005555555555555556,0.9761904761904763,0.989597800925926,0.95536541005291,181.84823894500732,1.3022224108378093
dermatology,XBART,6,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.9166666666666666,0.9027777777777777,0.017241379310344827,0.9500000000000001,0.9802301416256158,0.9303553176321033,148.74900102615356,0.4342264599270291
dermatology,Adaboost,7,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.9722222222222222,0.9666666666666667,0.005555555555555556,0.9761904761904763,0.9979988052568697,0.9895899470899471,6.61002254486084,0.8681416511535645
dermatology,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,2.406458616256714,0.0
dermatology,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.9444444444444444,0.942857142857143,0.010931899641577059,0.9484126984126985,1.0,1.0,185.43529343605042,1.7362965477837458
dermatology,XBART,7,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.8333333333333334,0.8388167388167389,0.03483994561858856,0.8681818181818182,0.9541868817953357,0.8518273895817186,140.76384472846985,0.0
dermatology,Adaboost,8,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.9166666666666666,0.8681818181818182,0.016666666666666666,0.9444444444444443,0.9935185185185186,0.9407076719576719,6.516254901885986,0.8681284056769477
dermatology,LightGBM,8,"{'n_estimators': 50, 'num_leaves': 100}",0.9722222222222222,0.9666666666666667,0.005555555555555556,0.9761904761904763,0.9961469534050179,0.9782473544973543,2.2502026557922363,0.0
dermatology,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.9722222222222222,0.9666666666666667,0.005555555555555556,0.9761904761904763,0.9864396654719236,0.9331084656084655,186.526460647583,1.7362634340922039
dermatology,XBART,8,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.7222222222222222,0.6515151515151515,0.05690891113582993,0.8100000000000002,0.9376271989453303,0.8058668447954163,148.29726791381836,0.43407413694593644
dermatology,Adaboost,9,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.8611111111111112,0.8095238095238096,0.028351254480286737,0.8819444444444443,0.9901433691756273,0.9420701058201058,6.6412763595581055,1.3022422790527344
dermatology,LightGBM,9,"{'n_estimators': 100, 'num_leaves': 5}",0.9444444444444444,0.9444444444444443,0.012043010752688174,0.9583333333333334,1.0,1.0,2.2345759868621826,0.0
dermatology,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.9444444444444444,0.9444444444444443,0.012043010752688174,0.9583333333333334,0.9947643097643097,0.9818589939802062,181.8297562599182,1.7362568113538954
dermatology,XBART,9,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.8333333333333334,0.7722222222222221,0.03503151649981461,0.8977272727272726,0.9738583494655603,0.8410134856725766,140.70138239860535,0.0
