Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
diabetes,Adaboost,0,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.7532467532467533,0.7333333333333334,0.26666666666666666,0.7295918367346939,0.8466666666666667,0.8348649687224791,7.00066876411438,0.6088838948831929
diabetes,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 5}",0.7662337662337663,0.7518518518518519,0.24814814814814815,0.7442528735632183,0.8874074074074074,0.8821500516095218,0.9531927108764648,0.20294375233835987
diabetes,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6493506493506493,0.5,0.5,0.6493506493506493,0.5,0.75,35.12877178192139,0.0
diabetes,XBART,0,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.7792207792207793,0.7362962962962962,0.26370370370370366,0.7636363636363637,0.8629629629629629,0.8590718596696674,37.941259145736694,0.0
diabetes,Adaboost,1,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.7792207792207793,0.7277777777777779,0.2722222222222222,0.7697368421052632,0.8970370370370371,0.8328998233510732,6.61002254486084,0.2029375596479936
diabetes,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 100}",0.7662337662337663,0.7007407407407408,0.2992592592592592,0.7656862745098039,0.8577777777777778,0.7923381336959423,0.9219448566436768,0.0
diabetes,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6493506493506493,0.5,0.5,0.6493506493506493,0.5,0.75,37.41350722312927,0.0
diabetes,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.7402597402597403,0.6722222222222223,0.3277777777777778,0.7279411764705883,0.8288888888888888,0.7748739958506288,38.12874436378479,0.0
diabetes,Adaboost,2,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7662337662337663,0.7348148148148148,0.2651851851851852,0.7438461538461538,0.802962962962963,0.7785855097253978,7.0163116455078125,0.6088188716343471
diabetes,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 5}",0.7402597402597403,0.6977777777777778,0.3022222222222222,0.7149758454106281,0.8125925925925925,0.7805156198285627,0.9375731945037842,0.0
diabetes,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6493506493506493,0.5,0.5,0.6493506493506493,0.5,0.75,35.03214716911316,0.0
diabetes,XBART,2,"{'alpha': 0.2812792213317815, 'beta': 0.8045546791767061, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.7402597402597403,0.6892592592592592,0.31074074074074076,0.7172619047619048,0.7985185185185184,0.7830333757310546,38.23816537857056,0.20294994502872615
diabetes,Adaboost,3,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.8441558441558441,0.8033333333333332,0.19666666666666666,0.8482142857142857,0.8492592592592593,0.8538183090698512,6.547517538070679,0.0
diabetes,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 5}",0.8441558441558441,0.7948148148148149,0.20518518518518516,0.8611615245009074,0.9177777777777778,0.9125529704178565,0.921943187713623,0.20294065599317676
diabetes,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6493506493506493,0.5,0.5,0.6493506493506493,0.5,0.75,36.276323556900024,0.0
diabetes,XBART,3,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.8441558441558441,0.8118518518518518,0.18814814814814815,0.8389694041867954,0.9340740740740741,0.9251684982339258,39.222601890563965,0.0
diabetes,Adaboost,4,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.7922077922077922,0.7462962962962962,0.2537037037037037,0.7827380952380952,0.8714814814814815,0.8336614217776335,6.688157558441162,0.0
diabetes,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.8571428571428571,0.8218518518518518,0.17814814814814814,0.8590909090909091,0.8744444444444445,0.8701619431788605,0.9375705718994141,0.20294375233835987
diabetes,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6493506493506493,0.5,0.5,0.6493506493506493,0.5,0.75,35.111546993255615,0.0
diabetes,XBART,4,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.8051948051948052,0.7477777777777778,0.25222222222222224,0.8149717514124294,0.8474074074074074,0.8402324262406267,38.206860065460205,0.0
diabetes,Adaboost,5,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7532467532467533,0.7077777777777778,0.2922222222222222,0.7318181818181818,0.8011111111111111,0.7766799412961457,6.5787293910980225,0.0
diabetes,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 5}",0.7272727272727273,0.6792592592592592,0.3207407407407407,0.7,0.8229629629629629,0.8010074364464173,0.9219293594360352,0.0
diabetes,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6493506493506493,0.5,0.5,0.6493506493506493,0.5,0.75,37.57861042022705,0.0
diabetes,XBART,5,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.7402597402597403,0.6807407407407408,0.31925925925925924,0.721415607985481,0.802962962962963,0.7468067373750491,39.503697633743286,0.0
diabetes,Adaboost,6,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7402597402597403,0.6807407407407408,0.31925925925925924,0.721415607985481,0.8422222222222222,0.813447843180596,7.03193211555481,0.4058658302604378
diabetes,LightGBM,6,"{'n_estimators': 50, 'num_leaves': 5}",0.7402597402597403,0.6892592592592592,0.31074074074074076,0.7172619047619048,0.8303703703703703,0.793224862199184,0.9219415187835693,0.0
diabetes,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6493506493506493,0.5,0.5,0.6493506493506493,0.5,0.75,38.330453395843506,0.0
diabetes,XBART,6,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.7272727272727273,0.6451851851851852,0.3548148148148148,0.7222222222222222,0.7911111111111111,0.7673777151925258,38.128756046295166,0.0
diabetes,Adaboost,7,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7272727272727273,0.6877777777777778,0.3122222222222222,0.6992924528301887,0.7933333333333332,0.7509202084747181,6.609987258911133,0.20294375233835987
