Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
echocardiogram,Adaboost,0,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.7857142857142857,0.8333333333333333,0.16666666666666666,0.8125,0.9888888888888888,0.9888888888888889,5.391124486923218,0.0
echocardiogram,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.8571428571428571,0.8,0.2,0.9090909090909092,1.0,1.0,0.5156505107879639,0.0
echocardiogram,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6428571428571429,0.5,0.5,0.6428571428571429,0.5,0.75,6.96461296081543,0.0
echocardiogram,XBART,0,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.8571428571428571,0.8,0.2,0.9090909090909092,0.8444444444444444,0.8619975549142217,22.237018585205078,1.116173607962472
echocardiogram,Adaboost,1,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",1.0,1.0,0.0,1.0,1.0,1.0,5.375527381896973,1.201959756704477
echocardiogram,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.9230769230769231,0.875,0.125,0.95,1.0,1.0,0.5312833786010742,0.0
echocardiogram,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6923076923076923,0.5,0.5,0.6923076923076923,0.5,0.75,6.7808544635772705,0.0
echocardiogram,XBART,1,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.9230769230769231,0.875,0.125,0.95,0.9444444444444444,0.9417438271604939,22.486576318740845,0.0
echocardiogram,Adaboost,2,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7692307692307693,0.625,0.375,0.875,0.6527777777777778,0.7164730138688472,5.406780004501343,0.0
echocardiogram,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.7692307692307693,0.625,0.375,0.875,0.6527777777777777,0.7053218386551721,0.5312824249267578,0.0
echocardiogram,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6923076923076923,0.5,0.5,0.6923076923076923,0.5,0.75,7.259652376174927,0.0
echocardiogram,XBART,2,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7692307692307693,0.625,0.375,0.875,0.6388888888888888,0.6784384211467545,22.424068450927734,0.0
echocardiogram,Adaboost,3,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.6923076923076923,0.6388888888888888,0.3611111111111111,0.6388888888888888,0.7777777777777778,0.765409802388969,5.469286203384399,1.202546633206881
echocardiogram,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 100}",0.8461538461538461,0.75,0.25,0.9090909090909092,0.8333333333333334,0.8696869488536156,0.5312762260437012,1.2020514561579776
echocardiogram,Provably Robust Boosting,3,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.6153846153846154,0.5138888888888888,0.4861111111111111,0.5166666666666666,0.4722222222222223,0.5809918091168091,8.558055400848389,0.0
echocardiogram,XBART,3,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.8461538461538461,0.75,0.25,0.9090909090909092,0.8055555555555556,0.8202360910694245,22.564730882644653,0.0
echocardiogram,Adaboost,4,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.6923076923076923,0.6388888888888888,0.3611111111111111,0.6388888888888888,0.6666666666666667,0.7231281064614398,5.406787633895874,0.0
echocardiogram,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.7692307692307693,0.625,0.375,0.875,0.8333333333333335,0.7999418791085459,0.5156421661376953,0.0
echocardiogram,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6923076923076923,0.5,0.5,0.6923076923076923,0.5,0.75,7.0072243213653564,0.0
echocardiogram,XBART,4,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7692307692307693,0.625,0.375,0.875,0.8611111111111112,0.819584736251403,22.470953941345215,0.0
echocardiogram,Adaboost,5,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.8461538461538461,0.8194444444444444,0.18055555555555555,0.8194444444444444,0.8888888888888888,0.9045745149911817,5.391156911849976,0.0
echocardiogram,LightGBM,5,"{'n_estimators': 200, 'num_leaves': 5}",0.8461538461538461,0.8194444444444444,0.18055555555555555,0.8194444444444444,0.9166666666666667,0.9221009700176367,0.5312793254852295,0.0
echocardiogram,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6923076923076923,0.5,0.5,0.6923076923076923,0.5,0.75,7.182563066482544,0.0
