Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
elusage,Adaboost,0,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6666666666666666,0.75,0.25,0.75,0.75,0.7604166666666666,3.484708309173584,0.0
elusage,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.75,0.25,0.75,0.75,0.7604166666666666,0.3593902587890625,0.0
elusage,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.75,2.626683473587036,2.6045640309651694
elusage,XBART,0,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.6666666666666666,0.75,0.25,0.75,0.875,0.8677083333333333,2.8909196853637695,2.603928248087565
elusage,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,5.422415018081665,5.208929379781087
elusage,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.8333333333333334,0.8333333333333333,0.16666666666666666,0.875,0.8888888888888888,0.925,0.3437497615814209,0.0
elusage,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,2.6259043216705322,0.0
elusage,XBART,1,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.8333333333333334,0.8333333333333333,0.16666666666666666,0.875,1.0,1.0,2.890892744064331,2.6057958602905273
elusage,Adaboost,2,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,1.0,1.0,5.438030958175659,5.209883054097493
elusage,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,0.3593909740447998,0.0
elusage,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,2.625274419784546,0.0
elusage,XBART,2,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,1.0,1.0,2.906538248062134,0.0
elusage,Adaboost,3,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,5.406789302825928,5.207419395446777
elusage,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,0.3593909740447998,0.0
elusage,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,2.610412120819092,2.604325612386068
elusage,XBART,3,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",1.0,1.0,0.0,1.0,1.0,1.0,2.859647750854492,0.0
elusage,Adaboost,4,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,5.438043594360352,7.813135782877604
elusage,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,0.3593783378601074,0.0
