Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
flags,Adaboost,0,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.2,0.15277777777777776,0.17476851851851852,0.15625,0.7086261405146854,0.28263840306055216,5.859942674636841,1.5622973442077637
flags,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 50}",0.65,0.48611111111111116,0.06846978557504874,0.5833333333333334,0.8988164344685243,0.6595293209876543,1.6876442432403564,0.0
flags,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.45,0.5138888888888888,0.11491402116402116,0.5761904761904761,0.8003253384687209,0.6970482551074656,119.76989078521729,3.125286102294922
flags,XBART,0,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.35,0.34722222222222227,0.12852443609022557,0.3412698412698412,0.6775761657001982,0.3254241261094331,86.41464114189148,0.0
flags,Adaboost,1,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.35,0.4444444444444444,0.13490988500663423,0.3371428571428571,0.7963844711861352,0.36757657851407854,5.656794309616089,0.0
flags,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 50}",0.8,0.8055555555555557,0.044642857142857144,0.8857142857142858,0.9168733465608466,0.8322941424044364,1.672015905380249,0.0
flags,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.35,0.2638888888888889,0.1351346093993153,0.26904761904761904,0.7976992880485527,0.508883901592235,110.682049036026,3.125321865081787
flags,XBART,1,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.25,0.15277777777777776,0.15100250626566414,0.19791666666666666,0.6238775298130949,0.21817950773784753,90.9471287727356,0.7810235023498535
flags,Adaboost,2,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.45,0.4444444444444444,0.11706349206349205,0.5583333333333333,0.7455150462962963,0.4266295047545048,5.703688859939575,0.0
flags,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.55,0.4861111111111111,0.0906084656084656,0.6166666666666667,0.7898478835978836,0.559100521189337,1.6095006465911865,0.0
flags,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.35,0.25,0.13525132275132276,0.26666666666666666,0.6675760582010583,0.3291846656429989,122.22394561767578,3.125298023223877
flags,XBART,2,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.2,0.19444444444444442,0.16683201058201058,0.1962962962962963,0.7261491402116403,0.4413496535642433,86.58657908439636,0.0
flags,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.3,0.20833333333333334,0.1380621693121693,0.20833333333333334,0.5962714947089948,0.31384571788338556,5.672430515289307,0.7813215255737305
flags,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 50}",0.6,0.4583333333333333,0.08432539682539682,0.5138888888888888,0.8161789021164022,0.5333132145632146,1.687558650970459,0.0
flags,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.55,0.4305555555555556,0.1011904761904762,0.6625,0.6611276455026456,0.34238635592802263,121.15236568450928,2.3439764976501465
flags,XBART,3,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.15,0.08333333333333333,0.17609126984126985,0.14285714285714285,0.5517939814814815,0.1853946329226902,87.82108855247498,0.0
flags,Adaboost,4,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.21052631578947367,0.16666666666666666,0.17521367521367523,0.18055555555555555,0.6273148148148148,0.27310934554065364,6.109947204589844,2.467356230083265
flags,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",0.7368421052631579,0.625,0.05334338863750628,0.7314285714285714,0.9445408077761019,0.7143518518518518,1.6563830375671387,0.0
flags,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5263157894736842,0.3888888888888889,0.1106586224233283,0.6458333333333334,0.8643916540975364,0.6879308667911609,111.57404112815857,3.289812489559776
flags,XBART,4,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.2631578947368421,0.2916666666666667,0.15128205128205127,0.2571428571428571,0.7224149488855373,0.35449960918710915,86.89911031723022,0.0
flags,Adaboost,5,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.21052631578947367,0.15277777777777776,0.1641559829059829,0.15277777777777776,0.7460292022792023,0.3001608050627659,5.813063621520996,1.6448874222604852
flags,LightGBM,5,"{'n_estimators': 100, 'num_leaves': 50}",0.5789473684210527,0.5555555555555556,0.085505698005698,0.55,0.9228098290598291,0.8007618538868538,1.687645673751831,0.0
flags,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.47368421052631576,0.3333333333333333,0.11068376068376069,0.3476190476190476,0.8100783475783476,0.5383118810202143,122.30616068840027,3.289799941213507
flags,XBART,5,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.21052631578947367,0.2638888888888889,0.16068376068376067,0.22857142857142856,0.6564458689458689,0.23989771169853727,86.69584727287292,0.0
