Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
haberman-survival,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.7419354838709677,0.6222826086956521,0.37771739130434784,0.65,0.5869565217391304,0.5976456421395211,5.70365309715271,1.5126505205708167
haberman-survival,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.8387096774193549,0.7282608695652174,0.2717391304347826,0.823076923076923,0.7989130434782609,0.7908557754331527,0.5937747955322266,0.0
haberman-survival,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7419354838709677,0.5,0.5,0.7419354838709677,0.5,0.75,9.657105684280396,0.0
haberman-survival,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.7096774193548387,0.5190217391304348,0.4809782608695652,0.5416666666666666,0.7989130434782609,0.7440098932218968,11.657356262207031,0.0
haberman-survival,Adaboost,1,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7096774193548387,0.5597826086956521,0.44021739130434784,0.5846153846153846,0.4809782608695652,0.5647677826427965,5.453662157058716,0.0
haberman-survival,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 100}",0.7419354838709677,0.6222826086956521,0.37771739130434784,0.65,0.6576086956521738,0.6742414526262398,0.5781588554382324,0.0
haberman-survival,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7419354838709677,0.5,0.5,0.7419354838709677,0.5,0.75,9.842497825622559,0.0
haberman-survival,XBART,1,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.7419354838709677,0.6222826086956521,0.37771739130434784,0.65,0.6413043478260869,0.6564005646968183,11.735477447509766,0.5040630217521421
haberman-survival,Adaboost,2,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.8064516129032258,0.6657608695652174,0.3342391304347826,0.7824074074074074,0.5380434782608696,0.604996003668141,5.469268560409546,0.5040937854397682
haberman-survival,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 100}",0.7419354838709677,0.5407608695652174,0.4592391304347826,0.6293103448275862,0.6440217391304348,0.6023761034652537,0.5937862396240234,0.5040784035959552
haberman-survival,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7419354838709677,0.5,0.5,0.7419354838709677,0.5,0.75,9.4131441116333,0.0
haberman-survival,XBART,2,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7419354838709677,0.5,0.5,0.7419354838709677,0.782608695652174,0.731003566445912,11.391732454299927,0.0
haberman-survival,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6774193548387096,0.5380434782608696,0.46195652173913043,0.5466666666666666,0.513586956521739,0.5242341681771776,5.391126394271851,0.5041014763616747
haberman-survival,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 100}",0.6774193548387096,0.5380434782608696,0.46195652173913043,0.5466666666666666,0.516304347826087,0.5170387918260326,0.593785285949707,0.0
haberman-survival,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7419354838709677,0.5,0.5,0.7419354838709677,0.5,0.75,9.43759799003601,0.0
haberman-survival,XBART,3,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.7096774193548387,0.6005434782608696,0.39945652173913043,0.6101190476190476,0.6141304347826086,0.5769730382586802,11.516733646392822,0.0
haberman-survival,Adaboost,4,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.6774193548387096,0.49728260869565216,0.5027173913043478,0.49537037037037035,0.7065217391304348,0.6347820975406155,5.4223902225494385,0.0
haberman-survival,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.8387096774193549,0.6875,0.3125,0.9107142857142857,0.8722826086956522,0.8638300136190801,0.593785285949707,0.0
haberman-survival,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7419354838709677,0.5,0.5,0.7419354838709677,0.5,0.75,9.542790412902832,0.0
haberman-survival,XBART,4,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.7741935483870968,0.6440217391304348,0.3559782608695652,0.7038461538461538,0.8315217391304348,0.7701913189974191,11.73549222946167,0.0
haberman-survival,Adaboost,5,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6774193548387096,0.4772727272727273,0.5227272727272727,0.35,0.5732323232323232,0.5551885999300821,5.422378301620483,0.5040784035959552
haberman-survival,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.7419354838709677,0.5883838383838385,0.4116161616161616,0.7083333333333333,0.6237373737373737,0.5675593183641299,0.5937857627868652,0.0
haberman-survival,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7096774193548387,0.5,0.5,0.7096774193548387,0.5,0.75,9.308602094650269,0.0
