Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
hayes-roth,Adaboost,0,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.875,0.8888888888888888,0.07407407407407407,0.9259259259259259,0.9412698412698414,0.8592970521541949,5.563050985336304,1.95331871509552
hayes-roth,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.8125,0.6666666666666666,0.1074074074074074,0.8174603174603174,0.9426129426129425,0.8673185941043083,0.9219460487365723,0.0
hayes-roth,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.25,0.27777777777777773,0.4034188034188034,0.25757575757575757,0.6416768416768416,0.605640589569161,18.352803468704224,1.9532889127731323
hayes-roth,XBART,0,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.75,0.6190476190476191,0.13703703703703704,0.7619047619047619,0.8373829873829873,0.7294813211479877,9.625946760177612,0.9759366512298584
hayes-roth,Adaboost,1,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8125,0.8492063492063492,0.1037037037037037,0.8492063492063492,0.9285714285714285,0.8456724272200463,5.5630269050598145,2.9304027557373047
hayes-roth,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.6875,0.619047619047619,0.17407407407407405,0.7738095238095237,0.9061864061864062,0.8541446208112875,0.8906824588775635,0.9766519069671631
hayes-roth,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.25,0.2698412698412698,0.38404558404558403,0.24444444444444446,0.6088013838013837,0.5265703542489256,18.54047727584839,1.9533038139343262
hayes-roth,XBART,1,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.6875,0.6984126984126985,0.16666666666666666,0.8484848484848485,0.9507936507936509,0.9324499244142102,9.500920534133911,0.0
hayes-roth,Adaboost,2,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8125,0.8492063492063492,0.1037037037037037,0.8492063492063492,0.9136243386243387,0.7937890812890812,5.56302285194397,1.9543170928955078
hayes-roth,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.75,0.7301587301587301,0.14074074074074075,0.8055555555555555,0.898036223036223,0.8347222222222221,0.9063072204589844,0.0
hayes-roth,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.375,0.4444444444444444,0.313960113960114,0.26666666666666666,0.6741961741961742,0.5850078162578163,18.729889631271362,1.95331871509552
hayes-roth,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.5625,0.4761904761904762,0.2333333333333333,0.7307692307692308,0.6288665038665039,0.6050285362785363,9.297775983810425,0.0
hayes-roth,Adaboost,3,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8125,0.8571428571428571,0.09999999999999999,0.8888888888888888,0.9835978835978835,0.9801587301587301,5.578654050827026,1.9533038139343262
hayes-roth,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 5}",0.6875,0.6984126984126985,0.16666666666666666,0.8484848484848485,0.9835978835978837,0.9801587301587302,0.89068603515625,0.0
hayes-roth,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.125,0.2222222222222222,0.4467236467236468,0.09523809523809523,0.6278998778998779,0.5400167953739382,18.519543647766113,1.9532889127731323
hayes-roth,XBART,3,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.5,0.42857142857142855,0.26666666666666666,0.7142857142857143,0.8227513227513228,0.7515573822121441,9.766568899154663,0.0
hayes-roth,Adaboost,4,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.75,0.7777777777777777,0.14814814814814814,0.8787878787878788,0.9677248677248677,0.963800419157562,5.578660249710083,1.9533336162567139
hayes-roth,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 5}",0.75,0.7222222222222222,0.14444444444444446,0.8166666666666668,0.9455026455026455,0.9263888888888889,0.9063148498535156,0.0
