Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
heart-cleveland,Adaboost,0,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.6774193548387096,0.4549019607843137,0.1014679802955665,0.45999999999999996,0.7502285327924273,0.3812760238909546,5.828694105148315,0.5041014763616747
heart-cleveland,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 5}",0.6129032258064516,0.38823529411764707,0.13114285714285712,0.4318181818181818,0.8006042692939245,0.44743321292610305,1.750152349472046,0.0
heart-cleveland,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.6129032258064516,0.3,0.13657142857142857,0.3854166666666667,0.7246600985221674,0.41145278763395765,85.11955189704895,1.5122352107878654
heart-cleveland,XBART,0,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.5806451612903226,0.4627450980392157,0.10771428571428569,0.6560897435897436,0.8227642229305514,0.4860106017470308,47.598260164260864,0.5040937854397682
heart-cleveland,Adaboost,1,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.5806451612903226,0.5176470588235295,0.10685714285714284,0.6567599067599068,0.8227306094851734,0.44794703266658364,6.12557578086853,1.008164498113817
heart-cleveland,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.6129032258064516,0.3,0.12857142857142856,0.5181159420289855,0.8620610451076981,0.41517246187411,1.6876404285430908,0.0
heart-cleveland,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6129032258064516,0.3,0.10800000000000001,0.3875,0.832066067806433,0.5263944217652009,91.90655946731567,2.0164059054466987
heart-cleveland,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.4838709677419355,0.3843137254901961,0.12114285714285715,0.375,0.6965965420651019,0.32420248270754903,45.81868529319763,0.0
heart-cleveland,Adaboost,2,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.5161290322580645,0.23137254901960783,0.12718226600985222,0.21944444444444447,0.5674247078141601,0.25311542549218174,5.766368627548218,0.0
heart-cleveland,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 100}",0.4838709677419355,0.1764705882352941,0.1497142857142857,0.19736842105263158,0.7187553366174055,0.30690589407508095,1.7033286094665527,0.5040860945178617
heart-cleveland,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6451612903225806,0.4215686274509804,0.11514285714285713,0.4988095238095238,0.7828051772433111,0.3690988649727139,88.36868500709534,1.5123044290850238
