Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
heart-switzerland,Adaboost,0,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.38461538461538464,0.425,0.21250000000000002,0.49583333333333335,0.6045454545454545,0.4753362840862841,5.641139507293701,2.4041212522066555
heart-switzerland,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.38461538461538464,0.35,0.23125,0.42857142857142855,0.6310606060606061,0.459840367965368,0.9688191413879395,1.202069796048678
heart-switzerland,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.3076923076923077,0.23333333333333334,0.2625,0.29166666666666663,0.44356060606060604,0.2269790857290857,31.81361746788025,3.6061360285832333
heart-switzerland,XBART,0,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.15384615384615385,0.25,0.2585227272727273,0.08333333333333333,0.4665719696969697,0.4639423076923077,30.51867651939392,0.0
heart-switzerland,Adaboost,1,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.23076923076923078,0.18333333333333335,0.275,0.16666666666666666,0.3736742424242424,0.2111207311207311,5.375570774078369,0.0
heart-switzerland,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.07692307692307693,0.08333333333333333,0.31420454545454546,0.041666666666666664,0.4484848484848485,0.2777106227106227,1.0469639301300049,0.0
heart-switzerland,Provably Robust Boosting,1,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.38461538461538464,0.25,0.25,0.38461538461538464,0.6635416666666667,0.5366298747548748,30.327249765396118,3.6061360285832333
heart-switzerland,XBART,1,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.23076923076923078,0.25,0.25,0.23076923076923078,0.4354166666666667,0.2276011951011951,27.1435124874115,0.0
heart-switzerland,Adaboost,2,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.38461538461538464,0.2833333333333333,0.24375,0.4545454545454546,0.7793560606060606,0.40309884559884557,5.3303000926971436,0.0
heart-switzerland,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.3076923076923077,0.26666666666666666,0.25625,0.22857142857142856,0.662689393939394,0.4037611231361231,0.9688136577606201,1.2020514561579776
heart-switzerland,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.23076923076923078,0.15,0.29375,0.15,0.546875,0.3475046943796944,31.38703417778015,2.404102912315955
heart-switzerland,XBART,2,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.23076923076923078,0.25,0.25,0.23076923076923078,0.5,0.625,27.924660682678223,0.0
