Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
heart-va,Adaboost,0,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.35,0.3,0.1683333333333333,0.41666666666666663,0.6102127192982456,0.31202611964918464,5.875577449798584,1.562666893005371
heart-va,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.4,0.33999999999999997,0.15385964912280703,0.3333333333333333,0.656546052631579,0.337140608875129,1.4845023155212402,0.7813572883605957
heart-va,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.35,0.29000000000000004,0.16999999999999998,0.45476190476190476,0.6376754385964912,0.34014209474735785,72.0466845035553,2.3439526557922363
heart-va,XBART,0,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.35,0.27999999999999997,0.17333333333333334,0.5444444444444444,0.7370416666666666,0.5494610024478445,39.6601824760437,0.0
heart-va,Adaboost,1,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.2,0.17333333333333334,0.2095238095238095,0.26041666666666663,0.4797438909774436,0.18134413956356682,5.813076496124268,1.5625834465026855
heart-va,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.4,0.32333333333333336,0.15607142857142858,0.37499999999999994,0.5878753132832081,0.3050572906625538,1.3907427787780762,0.7813334465026855
heart-va,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.3,0.22999999999999998,0.1880952380952381,0.22767857142857142,0.5386636904761904,0.24027186175251192,70.00879406929016,2.3439884185791016
heart-va,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.2,0.18,0.20833333333333331,0.20833333333333331,0.4459624060150375,0.20483400884174877,38.61321806907654,0.0
heart-va,Adaboost,2,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.4,0.3466666666666667,0.15166666666666667,0.5305555555555556,0.6046976817042606,0.34237664777602855,5.719313859939575,0.7812976837158203
heart-va,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.55,0.47000000000000003,0.1186904761904762,0.5625,0.7738963032581454,0.5022455050396226,1.3751049041748047,0.0
heart-va,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.35,0.2533333333333333,0.17833333333333332,0.26406926406926406,0.7627028508771929,0.37120056250938605,71.62548971176147,3.125309944152832
heart-va,XBART,2,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.3,0.25,0.18571428571428572,0.303030303030303,0.6164050751879699,0.3085892721399687,39.28514504432678,0.0
heart-va,Adaboost,3,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.4,0.31,0.15595238095238095,0.3486111111111111,0.5865068922305765,0.26569809405993616,5.516174077987671,0.7813930511474609
heart-va,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.15,0.10666666666666666,0.2255952380952381,0.11309523809523808,0.6214824561403509,0.2733702342334308,1.3751146793365479,0.0
heart-va,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.3,0.24333333333333335,0.18464285714285716,0.24285714285714283,0.7143065476190477,0.5215867486271898,68.77062582969666,3.1252503395080566
heart-va,XBART,3,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.45,0.38666666666666666,0.14273809523809525,0.4583333333333333,0.5712346491228071,0.2952190871993504,38.98874759674072,0.0
heart-va,Adaboost,4,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.1,0.07333333333333333,0.24345238095238092,0.06944444444444445,0.40437014411027566,0.15592101415669526,5.516239881515503,0.0
heart-va,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.2,0.17333333333333334,0.2138095238095238,0.2652777777777778,0.5308079573934836,0.20706994261328626,1.3907582759857178,0.0
heart-va,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.1,0.09,0.2369047619047619,0.07792207792207792,0.3766763784461153,0.21399609888735277,66.8186092376709,3.1253576278686523
heart-va,XBART,4,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.2,0.15666666666666668,0.17035714285714285,0.16333333333333333,0.4733909774436089,0.2661638948713252,39.238529205322266,0.0
heart-va,Adaboost,5,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.3,0.24,0.18821428571428572,0.3208333333333333,0.6409907581453634,0.31353726608931715,5.5005669593811035,0.0
heart-va,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.35,0.2966666666666667,0.16921679197994988,0.2966666666666667,0.6714592731829574,0.3059872846451794,1.375124216079712,0.7813572883605957
heart-va,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.1,0.1,0.24440476190476193,0.16666666666666666,0.46671052631578946,0.23693781384880458,68.81014585494995,2.3439645767211914
heart-va,XBART,5,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.25,0.18333333333333332,0.20357142857142857,0.22527472527472528,0.47639880952380953,0.22585035773193668,37.83212161064148,0.0
heart-va,Adaboost,6,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.25,0.2033333333333333,0.1889786967418546,0.24222222222222226,0.517078320802005,0.23695968102102002,5.828748941421509,1.562798023223877
heart-va,LightGBM,6,"{'n_estimators': 20, 'num_leaves': 5}",0.4,0.31,0.1542857142857143,0.38035714285714284,0.6367380952380952,0.575823269523734,1.3594868183135986,0.0
heart-va,Provably Robust Boosting,6,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.35,0.26,0.1748809523809524,0.25,0.5110977443609023,0.291161812044165,71.60200095176697,3.125309944152832
heart-va,XBART,6,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.3,0.24,0.18297619047619046,0.37012987012987014,0.5362531328320802,0.32985643793054786,38.91015601158142,0.0
heart-va,Adaboost,7,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.55,0.43,0.12226190476190477,0.5707070707070706,0.671202380952381,0.44522100870978576,5.641179084777832,1.5631675720214844
heart-va,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 100}",0.5,0.41,0.1280764411027569,0.4333333333333333,0.7027706766917292,0.43176443613575965,1.515744686126709,0.0
heart-va,Provably Robust Boosting,7,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.45,0.37,0.14535714285714285,0.43333333333333335,0.7416998746867168,0.3980953866395042,70.83992505073547,2.3439764976501465
heart-va,XBART,7,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.3,0.2333333333333333,0.1910714285714286,0.2967032967032967,0.5394288847117794,0.24311652739245618,38.25383448600769,0.0
heart-va,Adaboost,8,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.25,0.2,0.19666666666666663,0.15277777777777776,0.521530701754386,0.2433491542427301,5.625546932220459,0.7812738418579102
heart-va,LightGBM,8,"{'n_estimators': 20, 'num_leaves': 5}",0.15,0.12,0.225,0.075,0.573515350877193,0.2662330752537796,1.3594791889190674,0.7813334465026855
heart-va,Provably Robust Boosting,8,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.25,0.2,0.2,0.31666666666666665,0.5191074561403509,0.2110929988054601,73.32012486457825,3.125309944152832
heart-va,XBART,8,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.25,0.22000000000000003,0.1925,0.25757575757575757,0.6298333333333334,0.43429652906433097,39.28518867492676,0.0
heart-va,Adaboost,9,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.1,0.08,0.23833333333333334,0.11458333333333333,0.6429166666666667,0.4676439785704492,5.516181945800781,0.7808566093444824
heart-va,LightGBM,9,"{'n_estimators': 50, 'num_leaves': 100}",0.35,0.28,0.17083333333333334,0.3194444444444444,0.6691820175438596,0.4330190471722979,1.4532537460327148,0.0
heart-va,Provably Robust Boosting,9,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.45,0.36,0.145,0.4826388888888889,0.6090438596491228,0.3273041370394312,68.7868013381958,2.3439884185791016
heart-va,XBART,9,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.2,0.16,0.20916666666666667,0.13333333333333333,0.36470394736842104,0.18053157854357546,38.285088777542114,0.0
