Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
hill-valley,Adaboost,0,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.5081967213114754,0.5081967213114754,0.4918032786885246,0.5082321187584345,0.5639613007256115,0.5724533978537795,32.33133029937744,0.1281441235151447
hill-valley,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.5491803278688525,0.5491803278688525,0.45081967213114754,0.5491935483870968,0.5525396398817523,0.5473620482250379,6.531877517700195,0.0
hill-valley,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5327868852459017,0.5327868852459017,0.4672131147540983,0.5328663793103448,0.5327868852459017,0.6496299109666478,325.891553401947,0.12807767899310002
hill-valley,XBART,0,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.5,0.5,0.5,0.5,0.5290244557914539,0.5450196892445442,398.98679184913635,0.0
hill-valley,Adaboost,1,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.5163934426229508,0.5163934426229508,0.48360655737704916,0.5163978494623656,0.5403117441547971,0.5304872202326678,32.34571433067322,0.1280737704918033
hill-valley,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 100}",0.5901639344262295,0.5901639344262295,0.4098360655737705,0.59055330634278,0.6346412254770224,0.6333254838973708,7.813006401062012,0.0
hill-valley,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,293.7825436592102,0.0
hill-valley,XBART,1,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.6229508196721312,0.6229508196721312,0.3770491803278688,0.6230831315577079,0.6213383499059393,0.6097437884896912,406.73947930336,0.12812262675801261
hill-valley,Adaboost,2,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.5041322314049587,0.5032786885245901,0.4967213114754098,0.5034246575342466,0.5337431693989071,0.5460007667170799,34.909706115722656,0.5165801560583193
hill-valley,LightGBM,2,"{'n_estimators': 100, 'num_leaves': 50}",0.5537190082644629,0.5539617486338798,0.4460382513661202,0.5541392543859649,0.5957650273224043,0.575235009158379,6.813145399093628,0.0
