Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
horse-colic,Adaboost,0,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.8108108108108109,0.7779503105590062,0.2220496894409938,0.8129370629370629,0.908385093167702,0.9112457088485854,6.188100337982178,0.0
horse-colic,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.8378378378378378,0.8416149068322981,0.15838509316770186,0.8273809523809523,0.9208074534161491,0.9237557647527476,0.7187979221343994,0.0
horse-colic,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7837837837837838,0.7422360248447204,0.2577639751552795,0.788888888888889,0.7748447204968942,0.7735627517505486,32.914414405822754,0.4223552910057274
horse-colic,XBART,0,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.8378378378378378,0.827639751552795,0.17236024844720496,0.827639751552795,0.8944099378881987,0.8958343519966228,102.38483142852783,0.0
horse-colic,Adaboost,1,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.8108108108108109,0.7919254658385093,0.2080745341614907,0.8012820512820513,0.7826086956521738,0.7860271959337384,6.5943603515625,0.8446719195391681
horse-colic,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 5}",0.7837837837837838,0.7562111801242236,0.24378881987577639,0.775,0.8695652173913044,0.8827853155337891,0.7344236373901367,0.0
horse-colic,Provably Robust Boosting,1,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.8378378378378378,0.7857142857142857,0.21428571428571427,0.896551724137931,0.8447204968944099,0.8522345273934291,32.75983667373657,0.0
horse-colic,XBART,1,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.7567567567567568,0.7204968944099379,0.2795031055900621,0.7482517482517483,0.8198757763975154,0.8135285391644926,103.24396538734436,0.0
horse-colic,Adaboost,2,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.8378378378378378,0.7996894409937889,0.2003105590062112,0.8574074074074074,0.7903726708074533,0.8127373552269496,6.2193262577056885,0.0
horse-colic,LightGBM,2,"{'n_estimators': 100, 'num_leaves': 50}",0.8108108108108109,0.7779503105590062,0.2220496894409938,0.8129370629370629,0.8229813664596273,0.8317662740135408,0.7187972068786621,0.0
