Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
ilpd-indian-liver,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.7796610169491526,0.7051820728291316,0.29481792717086835,0.7325396825396826,0.7030812324929971,0.6983524432041205,6.6568708419799805,0.5297014268778139
ilpd-indian-liver,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.711864406779661,0.5175070028011204,0.48249299719887956,0.6096491228070176,0.7668067226890756,0.7039857570802135,0.7813029289245605,0.0
ilpd-indian-liver,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.711864406779661,0.5,0.5,0.711864406779661,0.5,0.75,24.873307704925537,0.0
ilpd-indian-liver,XBART,0,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.6779661016949152,0.47619047619047616,0.5238095238095238,0.3508771929824561,0.7703081232492996,0.6732270957987654,33.8469820022583,0.2648668774103714
ilpd-indian-liver,Adaboost,1,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.7966101694915254,0.7170868347338936,0.28291316526610644,0.7591973244147157,0.8487394957983193,0.8270893978828896,6.438112020492554,0.5296933448920816
ilpd-indian-liver,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.6949152542372882,0.5056022408963585,0.4943977591036415,0.5238095238095238,0.7759103641456583,0.7115214781445325,0.7813076972961426,0.0
ilpd-indian-liver,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.711864406779661,0.5,0.5,0.711864406779661,0.5,0.75,24.85725688934326,0.0
ilpd-indian-liver,XBART,1,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.7288135593220338,0.5294117647058824,0.47058823529411764,0.8620689655172413,0.76890756302521,0.7424575458712389,35.84720230102539,0.0
ilpd-indian-liver,Adaboost,2,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.7627118644067796,0.6932773109243697,0.3067226890756303,0.7090909090909091,0.8704481792717086,0.8108948163199763,6.266236305236816,0.2643415483377748
ilpd-indian-liver,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 100}",0.711864406779661,0.5875350140056023,0.4124649859943978,0.6275510204081632,0.7857142857142857,0.6968799243121279,0.7813270092010498,0.0
ilpd-indian-liver,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.711864406779661,0.5,0.5,0.711864406779661,0.5,0.75,24.86074209213257,0.0
ilpd-indian-liver,XBART,2,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.711864406779661,0.5175070028011204,0.48249299719887956,0.6096491228070176,0.84593837535014,0.7608102284870087,33.90951752662659,0.0
ilpd-indian-liver,Adaboost,3,"{'learning_rate': 0.6550748322169144, 'n_estimators': 50}",0.6551724137931034,0.5104166666666667,0.4895833333333333,0.5145833333333333,0.6116071428571428,0.6248448076176983,6.313104152679443,0.0
ilpd-indian-liver,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.7068965517241379,0.5267857142857143,0.4732142857142857,0.5679245283018868,0.6049107142857143,0.6171554366974831,0.7813022136688232,0.0
ilpd-indian-liver,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7241379310344828,0.5,0.5,0.7241379310344828,0.5,0.75,24.61894130706787,0.0
ilpd-indian-liver,XBART,3,"{'alpha': 0.2812792213317815, 'beta': 0.8045546791767061, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.7413793103448276,0.5505952380952381,0.4494047619047619,0.706060606060606,0.5922619047619048,0.6124996971829431,33.92510938644409,0.26954453566978714
ilpd-indian-liver,Adaboost,4,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7241379310344828,0.5580357142857143,0.4419642857142857,0.625,0.7552083333333333,0.6880138936319417,6.266232490539551,0.0
ilpd-indian-liver,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.7068965517241379,0.5074404761904762,0.49255952380952384,0.5303030303030303,0.738095238095238,0.6530902768455418,0.7656722068786621,0.0
ilpd-indian-liver,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7241379310344828,0.5,0.5,0.7241379310344828,0.5,0.75,25.40911555290222,0.0
ilpd-indian-liver,XBART,4,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.7241379310344828,0.5193452380952381,0.4806547619047619,0.6160714285714286,0.7202380952380952,0.6576116736851465,36.19096565246582,0.26942943704539335
ilpd-indian-liver,Adaboost,5,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.7586206896551724,0.6592261904761905,0.34077380952380953,0.693840579710145,0.7142857142857143,0.6657281423985459,6.688138008117676,0.8082636471452384
ilpd-indian-liver,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.6896551724137931,0.4955357142857143,0.5044642857142857,0.4861111111111111,0.6770833333333334,0.6066562835070113,0.781322717666626,0.0
