Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
image-segmentation,Adaboost,0,"{'learning_rate': 0.6550748322169144, 'n_estimators': 50}",0.8354978354978355,0.8354978354978355,0.02741702741702742,0.8459899812315779,0.9479644934190389,0.7966885619736409,15.079569101333618,0.06764585321599788
image-segmentation,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.9783549783549783,0.9783549783549784,0.003607503607503608,0.9788642729819201,0.9994534085443176,0.9971677696493723,13.751313209533691,0.0
image-segmentation,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.5844155844155844,0.5844155844155844,0.06926406926406926,0.6706399765405975,0.8484192575101666,0.5310794101626338,2857.2001297473907,0.3382323624251725
image-segmentation,XBART,0,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.47619047619047616,0.4761904761904762,0.08585858585858586,0.5017629713281887,0.8389522934977481,0.53634238975665,151.09119606018066,0.0
image-segmentation,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.7662337662337663,0.7662337662337663,0.03896103896103896,0.7555718501531309,0.9023131750404477,0.6301935575751063,15.860732793807983,0.27058547709411357
image-segmentation,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 50}",0.9783549783549783,0.9783549783549784,0.003607503607503608,0.9784743442831678,0.9982290436835891,0.9925276529026777,14.61061716079712,0.06764482110093682
image-segmentation,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6147186147186147,0.6147186147186147,0.06421356421356421,0.6452935952935953,0.8600725873453146,0.6272518441135959,2852.674645423889,0.3382282339649283
image-segmentation,XBART,1,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.0,0.0,0.05339105339105339,0.0,0.3149459967641786,0.10730454618410366,146.98146319389343,0.06764688533105892
image-segmentation,Adaboost,2,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",0.6796536796536796,0.6796536796536797,0.053391053391053385,0.7682093365205319,0.9435480344571253,0.7713766964025514,15.110676288604736,0.13529170643199576
image-segmentation,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 100}",0.9826839826839827,0.9826839826839827,0.0028860028860028864,0.9836734693877551,0.9996064541519087,0.9977908554806557,16.141986846923828,0.06764378898587578
image-segmentation,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5670995670995671,0.5670995670995671,0.07215007215007216,0.6129185726014544,0.8436748436748436,0.607012487119925,2849.0566623210907,0.3382364908854167
image-segmentation,XBART,2,"{'alpha': 0.2406848382947717, 'beta': 0.7810848842341179, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 50}",0.03463203463203463,0.03463203463203463,0.09379509379509379,0.1082051282051282,0.47448511084874717,0.16118963116823412,148.43664813041687,0.06764998167624205
image-segmentation,Adaboost,3,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.7662337662337663,0.7662337662337663,0.03896103896103896,0.8316062859252228,0.9538458174821811,0.8177429534953452,15.017119407653809,0.13529686700730098
image-segmentation,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 5}",0.9567099567099567,0.9567099567099567,0.007215007215007216,0.9590194698569083,0.9979010888101797,0.988801916976767,13.454457521438599,0.0
image-segmentation,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.5670995670995671,0.5670995670995671,0.07215007215007214,0.6320404505888376,0.8413791595609776,0.5933332905067462,2856.0503249168396,0.27058960555435774
image-segmentation,XBART,3,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07173913043478261,0.5007215007215007,0.21618536742760347,156.624835729599,0.135297899122362
image-segmentation,Adaboost,4,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.7316017316017316,0.7316017316017316,0.044733044733044736,0.7867832483669555,0.8842537933447023,0.6650415527774608,15.845313787460327,0.27058960555435774
