Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
kc3,Adaboost,0,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.9130434782608695,0.7261904761904762,0.27380952380952384,0.7261904761904762,0.7857142857142858,0.6094333590210853,8.031724691390991,0.6791664206463357
kc3,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.8913043478260869,0.4880952380952381,0.5119047619047619,0.45555555555555555,0.8809523809523809,0.6512235679623257,2.24943208694458,0.0
kc3,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.9130434782608695,0.5,0.5,0.9130434782608695,0.5,0.75,59.214614152908325,0.0
kc3,XBART,0,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.9130434782608695,0.5,0.5,0.9130434782608695,0.8392857142857143,0.7168857388000813,169.40987992286682,0.0
kc3,Adaboost,1,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.9130434782608695,0.6130952380952381,0.3869047619047619,0.7159090909090908,0.6517857142857143,0.5540995940939812,7.638835430145264,0.33958580182946246
kc3,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.8913043478260869,0.6011904761904762,0.39880952380952384,0.6317829457364341,0.6636904761904763,0.5558209024124852,2.140122175216675,0.3396117168924083
kc3,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.9130434782608695,0.5,0.5,0.9130434782608695,0.5,0.75,54.99408030509949,0.0
kc3,XBART,1,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.9347826086956522,0.625,0.375,0.9666666666666667,0.6309523809523809,0.6399382758828099,175.41458177566528,0.3395961678546408
kc3,Adaboost,2,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.9347826086956522,0.625,0.375,0.9666666666666667,0.863095238095238,0.7158222053935239,8.245084524154663,1.0186122811358906
kc3,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 5}",0.8913043478260869,0.6011904761904762,0.39880952380952384,0.6317829457364341,0.8869047619047619,0.6710108830589991,2.343165397644043,0.3395961678546408
kc3,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.9130434782608695,0.5,0.5,0.9130434782608695,0.5,0.75,58.8343620300293,0.3404928290325662
kc3,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.9347826086956522,0.7380952380952381,0.2619047619047619,0.810077519379845,0.8630952380952381,0.684325609638399,178.39170598983765,0.3394406774769658
kc3,Adaboost,3,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.8695652173913043,0.47619047619047616,0.5238095238095238,0.45454545454545453,0.8184523809523809,0.5883170340419075,7.830101251602173,0.0
kc3,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 100}",0.8695652173913043,0.47619047619047616,0.5238095238095238,0.45454545454545453,0.7440476190476191,0.5636125174750377,2.6087284088134766,0.33959098484205164
