Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
kidney,Adaboost,0,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.875,0.875,0.125,0.9,0.9375,0.94375,6.163539886474609,0.74806809425354
kidney,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.625,0.625,0.375,0.6333333333333333,0.6875,0.6163690476190475,1.0272529125213623,0.7480084896087646
kidney,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,3.401944875717163,0.12466311454772949
kidney,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.75,0.75,0.25,0.75,0.8125,0.825297619047619,9.903523921966553,0.1245737075805664
kidney,Adaboost,1,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.75,0.75,0.25,0.75,0.875,0.8895833333333334,5.892248153686523,2.618074417114258
kidney,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.625,0.625,0.375,0.6333333333333333,0.875,0.8895833333333334,0.9913451671600342,0.6233453750610352
kidney,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,3.227372407913208,0.24995207786560059
kidney,XBART,1,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.625,0.625,0.375,0.6333333333333333,0.875,0.8895833333333334,10.080053091049194,0.24452805519104004
kidney,Adaboost,2,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.75,0.75,0.25,0.8333333333333333,0.9375,0.94375,5.797500848770142,0.7480084896087646
kidney,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.75,0.75,0.25,0.75,0.90625,0.9197916666666666,0.9733972549438477,0.747978687286377
kidney,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,3.2604265213012695,0.12469291687011719
kidney,XBART,2,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.75,0.75,0.25,0.75,0.9375,0.94375,10.351327657699585,0.37404894828796387
