Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
labor,Adaboost,0,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,6.832733869552612,7.4799855550130205
labor,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,1.0,0.786895751953125,0.9973049163818359
labor,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.75,3.106792449951172,0.16721089680989584
labor,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,17.517170667648315,0.1662174860636393
labor,Adaboost,1,"{'learning_rate': 1.254335218612733, 'n_estimators': 20}",1.0,1.0,0.0,1.0,1.0,1.0,5.823431491851807,0.9973843892415364
labor,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.8333333333333334,0.75,0.25,0.9,1.0,1.0,0.7739310264587402,0.9973446528116863
labor,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.75,3.109757900238037,0.3323554992675781
labor,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.8333333333333334,0.75,0.25,0.9,0.875,0.8677083333333333,17.40048336982727,0.3324349721272786
labor,Adaboost,2,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.8333333333333334,0.875,0.125,0.8333333333333333,1.0,1.0,5.9580724239349365,3.4906466801961265
labor,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,0.7828993797302246,0.9973049163818359
labor,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.75,3.205430507659912,0.3324747085571289
labor,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,17.47528314590454,0.3323554992675781
labor,Adaboost,3,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.8333333333333334,0.75,0.25,0.9,1.0,1.0,6.035864591598511,0.9973049163818359
labor,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 100}",0.8333333333333334,0.75,0.25,0.9,0.9375,0.9458333333333333,0.7948744297027588,0.9973446528116863
labor,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.75,3.1156718730926514,0.1662174860636393
labor,XBART,3,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.8333333333333334,0.75,0.25,0.9,1.0,1.0,17.441373825073242,0.33231576283772785
labor,Adaboost,4,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.8333333333333334,0.875,0.125,0.8333333333333333,1.0,1.0,5.8284337520599365,0.9972651799519856
labor,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.625,0.375,0.625,0.625,0.709375,0.7789175510406494,0.9973446528116863
labor,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.75,3.1077418327331543,0.3324747085571289
