Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
lenses,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.75,0.8666666666666667,0.1111111111111111,0.8333333333333334,0.9,0.8976190476190476,5.735904932022095,5.858242511749268
lenses,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,1.7400755882263184,0.0
lenses,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.625,0.3333333333333333,0.3333333333333333,0.625,0.5,0.6666666666666666,8.720787525177002,0.0
lenses,XBART,0,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.625,0.7000000000000001,0.14285714285714285,0.75,1.0,1.0,6.732764482498169,0.0
lenses,Adaboost,1,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,5.858047723770142,5.858004093170166
lenses,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 50}",0.875,0.9333333333333332,0.047619047619047616,0.8333333333333334,1.0,1.0,1.3121922016143799,0.0
lenses,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.625,0.3333333333333333,0.3333333333333333,0.625,0.5,0.6666666666666666,8.930870532989502,0.0
lenses,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.5,0.5333333333333333,0.19047619047619047,0.6,0.9111111111111111,0.9549206349206348,6.701552867889404,0.0
lenses,Adaboost,2,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.8571428571428571,0.6666666666666666,0.16666666666666666,0.9166666666666667,1.0,1.0,5.654925346374512,2.23193849836077
lenses,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,1.322666883468628,0.0
lenses,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7142857142857143,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.5,0.6666666666666666,8.951028108596802,2.235821315220424
lenses,XBART,2,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.8571428571428571,0.6666666666666666,0.05555555555555555,0.75,1.0,1.0,6.9697425365448,0.0
lenses,Adaboost,3,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8571428571428571,0.6666666666666666,0.16666666666666666,0.9166666666666667,1.0,1.0,6.008175373077393,4.463332039969308
lenses,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 100}",0.8571428571428571,0.9333333333333332,0.05555555555555555,0.8333333333333334,1.0,1.0,1.2965426445007324,0.0
