Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
libras,Adaboost,0,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.6388888888888888,0.6444444444444444,0.025906120023767083,0.7083333333333333,0.9460982372747077,0.6582094757094757,16.15081238746643,1.3851854536268446
libras,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.75,0.7666666666666665,0.01794414735591206,0.7444444444444446,0.9772826302238067,0.8440608465608465,22.947654485702515,0.22162331475151908
libras,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5277777777777778,0.5222222222222223,0.03380867498514558,0.5352564102564102,0.95136660724896,0.6435714285714286,2167.163191795349,2.6318497127956815
libras,XBART,0,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.027777777777777776,0.02222222222222222,0.06957813428401664,0.014285714285714285,0.6158348187759953,0.12666803721550152,341.96685814857483,0.24932622909545898
libras,Adaboost,1,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.5277777777777778,0.5666666666666667,0.033749257278669044,0.6369047619047619,0.9493563081798374,0.6454737854737853,15.86259388923645,1.4682941966586645
libras,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 100}",0.8333333333333334,0.8555555555555555,0.011942959001782532,0.8933333333333332,0.9895919984155276,0.9309932659932659,17.745559215545654,0.22161669201321074
libras,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5277777777777778,0.5444444444444444,0.03380867498514558,0.5846153846153845,0.9144385026737967,0.6496139971139973,2083.854238510132,0.9419189559088813
libras,XBART,1,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.05555555555555555,0.06666666666666667,0.06726084373143197,0.13888888888888887,0.637393543275896,0.1747353493722797,341.9159572124481,0.19394026862250435
libras,Adaboost,2,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.5555555555555556,0.5666666666666667,0.03184789067142009,0.6424908424908425,0.9409685086155674,0.6170205606609116,15.630215883255005,1.3574759165445964
libras,LightGBM,2,"{'n_estimators': 100, 'num_leaves': 50}",0.6388888888888888,0.6333333333333333,0.02584670231729055,0.7202380952380952,0.9317785700138642,0.7479270257701631,16.72827935218811,0.22162331475151908
libras,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4444444444444444,0.4444444444444444,0.039512774806892456,0.5523809523809524,0.8849673202614379,0.46259417234907424,2140.5136847496033,2.5210181872049966
libras,XBART,2,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.08333333333333333,0.1,0.06535947712418301,0.10333333333333332,0.6729550406020995,0.12471127385781668,346.73706889152527,0.24933947457207575
libras,Adaboost,3,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.5555555555555556,0.5555555555555555,0.03155080213903743,0.661904761904762,0.9539512774806891,0.7528354281883693,15.565388917922974,1.3297796249389648
libras,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 100}",0.7777777777777778,0.7777777777777778,0.015686274509803925,0.8166666666666665,0.972687660922955,0.8516143317230274,17.795427799224854,0.24933947457207575
libras,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4166666666666667,0.3888888888888889,0.041770647653000606,0.4230769230769231,0.8708160031689445,0.5497686261135027,2143.4010939598083,0.9696284929911295
libras,XBART,3,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.1111111111111111,0.1111111111111111,0.06333927510398099,0.12166666666666667,0.6806199247375718,0.18591413596279102,341.14202642440796,0.19392702314588758
libras,Adaboost,4,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.4444444444444444,0.4555555555555556,0.039572192513368985,0.5363636363636364,0.9219647454941572,0.6290596886536782,15.975292682647705,1.4682941966586645
libras,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 100}",0.6944444444444444,0.6777777777777777,0.021984551396316103,0.7202380952380951,0.9786195286195286,0.8056944444444444,17.635852813720703,0.22164318296644422
libras,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4722222222222222,0.45555555555555555,0.03796791443850268,0.5615079365079365,0.9226381461675579,0.5992960579725286,2113.6797564029694,1.3574825392829046
libras,XBART,4,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.08333333333333333,0.08888888888888888,0.06559714795008913,0.375,0.6330065359477124,0.21606581727740454,341.6826424598694,0.19392702314588758
libras,Adaboost,5,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.5555555555555556,0.5444444444444445,0.031788472964943554,0.6188644688644688,0.9606753812636166,0.6854014041514042,15.573367595672607,1.3584825727674696
libras,LightGBM,5,"{'n_estimators': 200, 'num_leaves': 5}",0.75,0.7444444444444444,0.01776589423648247,0.8095238095238094,0.9712715389185977,0.7576984126984125,16.627549171447754,0.2770556343926324
libras,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5555555555555556,0.5444444444444444,0.031788472964943554,0.5893772893772894,0.9470192117250938,0.6564051689051688,2178.542783975601,0.9142226643032498
libras,XBART,5,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.08333333333333333,0.1,0.06565656565656565,0.1476190476190476,0.586007130124777,0.16724493700727877,347.66762471199036,0.22161669201321074
libras,Adaboost,6,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.5277777777777778,0.5333333333333333,0.03380867498514558,0.6398809523809523,0.9428005545652602,0.6375871813371814,15.945373058319092,1.4682941966586645
libras,LightGBM,6,"{'n_estimators': 200, 'num_leaves': 5}",0.75,0.7666666666666667,0.018062982768865126,0.8720238095238094,0.9923450188156071,0.941521164021164,16.734262943267822,0.22164318296644422
libras,Provably Robust Boosting,6,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4722222222222222,0.5222222222222223,0.037670825906120024,0.4538461538461539,0.9026936026936025,0.5326262854792267,2132.1435532569885,1.1912650532192652
libras,XBART,6,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.1111111111111111,0.1111111111111111,0.06333927510398099,0.1875,0.6215983363042187,0.15763554451251063,345.6893355846405,0.1938939094543457
libras,Adaboost,7,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.6666666666666666,0.6444444444444445,0.02388591800356506,0.7243589743589743,0.9755000990295107,0.7517195767195767,15.784801959991455,1.3295941882663305
libras,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 100}",0.9166666666666666,0.9111111111111111,0.0059417706476530005,0.9166666666666666,0.9849376114081996,0.895751633986928,18.12055802345276,0.27703576617770725
libras,Provably Robust Boosting,7,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6666666666666666,0.6777777777777777,0.023767082590612,0.7428571428571428,0.972499504852446,0.8030952380952381,2160.61461019516,1.5671518113878038
libras,XBART,7,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.08333333333333333,0.08888888888888888,0.06524064171122995,0.18,0.6619528619528618,0.21859752373983998,347.12913274765015,0.22163656022813585
libras,Adaboost,8,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.4722222222222222,0.4777777777777778,0.037611408199643495,0.5476190476190477,0.9399286987522282,0.6370436246523201,15.566386461257935,1.3575024074978297
libras,LightGBM,8,"{'n_estimators': 200, 'num_leaves': 100}",0.8333333333333334,0.8666666666666667,0.011824123588829472,0.8777777777777779,0.9812041988512576,0.9015873015873016,17.524152755737305,0.22162993748982748
libras,Provably Robust Boosting,8,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5833333333333334,0.6,0.02964943553178848,0.7014652014652014,0.9663200633788869,0.7008664021164019,2138.700894355774,1.0250276989407008
libras,XBART,8,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.08333333333333333,0.06666666666666667,0.0657159833630422,0.14509803921568626,0.6308080808080807,0.22021805966760147,349.6881790161133,0.22162993748982748
libras,Adaboost,9,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.6111111111111112,0.5999999999999999,0.02804515745692216,0.6873626373626374,0.9565755595167359,0.6785649843983177,15.681079387664795,1.329786247677273
libras,LightGBM,9,"{'n_estimators': 200, 'num_leaves': 5}",0.8055555555555556,0.8,0.013844325609031493,0.8622222222222222,0.9826005149534561,0.912977392977393,16.842973709106445,0.19392702314588758
libras,Provably Robust Boosting,9,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5555555555555556,0.5666666666666667,0.03161021984551396,0.5773809523809523,0.87893642305407,0.5780486398133459,2155.1926169395447,2.2163192431131997
libras,XBART,9,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.05555555555555555,0.04444444444444444,0.06767676767676768,0.06597222222222222,0.5617349970291147,0.15097414214699653,349.35906052589417,0.22162993748982748
