Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
lung-cancer,Adaboost,0,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.25,0.25,0.75,0.16666666666666666,0.25,0.3333333333333333,5.8267600536346436,11.715948581695557
lung-cancer,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.5,0.5,0.5,0.5,0.5,0.75,0.5936100482940674,0.0
lung-cancer,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,2.436969757080078,0.0
lung-cancer,XBART,0,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.0,0.0,0.0,0.0,0.5,0.75,28.38397455215454,0.0
lung-cancer,Adaboost,1,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.0,0.0,1.0,0.0,0.0,0.29166666666666663,5.561196804046631,3.905653953552246
lung-cancer,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.5,0.5,0.5,0.5,0.5,0.75,0.5779504776000977,0.0
lung-cancer,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,2.4682095050811768,0.0
lung-cancer,XBART,1,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.0,0.0,0.0,0.0,0.5,0.75,28.711987018585205,3.9055347442626953
lung-cancer,Adaboost,2,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",1.0,1.0,0.0,1.0,1.0,1.0,5.639303684234619,5.207141240437825
lung-cancer,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,0.5779886245727539,0.0
lung-cancer,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.75,2.577549695968628,0.0
lung-cancer,XBART,2,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.0,0.0,0.0,0.0,0.5,0.75,29.602449417114258,0.0
lung-cancer,Adaboost,3,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.6666666666666666,0.75,0.25,0.75,1.0,1.0,5.90486478805542,15.619913736979166
