Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
lupus,Adaboost,0,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.8888888888888888,0.9166666666666667,0.08333333333333333,0.875,1.0,1.0,5.514322996139526,0.0
lupus,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.8888888888888888,0.8333333333333333,0.16666666666666666,0.9285714285714286,0.9166666666666666,0.9190476190476191,0.7029311656951904,1.7357137468126085
lupus,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,4.920722961425781,0.0
lupus,XBART,0,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.8888888888888888,0.8333333333333333,0.16666666666666666,0.9285714285714286,0.9444444444444444,0.9384920634920634,5.51434326171875,0.0
lupus,Adaboost,1,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.4444444444444444,0.41666666666666663,0.5833333333333333,0.425,0.5833333333333333,0.6720238095238096,5.529956102371216,1.7358462015787761
lupus,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.5833333333333334,0.41666666666666663,0.6071428571428572,0.5,0.5126488095238095,0.7185404300689697,0.0
lupus,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,4.920745849609375,0.0
lupus,XBART,1,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.6666666666666666,0.5833333333333334,0.41666666666666663,0.6071428571428572,0.5,0.4641369047619047,5.592443227767944,0.0
lupus,Adaboost,2,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6666666666666666,0.65,0.35,0.6666666666666666,0.775,0.7844940476190476,5.529965162277222,0.0
lupus,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.65,0.35,0.6666666666666666,0.75,0.7615773809523809,0.7185428142547607,1.7356607649061415
lupus,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5555555555555556,0.5,0.5,0.5555555555555556,0.5,0.75,4.936378240585327,0.0
lupus,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.6666666666666666,0.65,0.35,0.6666666666666666,0.85,0.8642559523809523,5.5924437046051025,0.0
lupus,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6666666666666666,0.65,0.35,0.6666666666666666,0.8,0.8282142857142856,5.529942989349365,0.0
lupus,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.65,0.35,0.6666666666666666,0.7,0.6661111111111111,0.7341756820678711,1.7357402377658422
lupus,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5555555555555556,0.5,0.5,0.5555555555555556,0.5,0.75,4.920746326446533,0.0
lupus,XBART,3,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.6666666666666666,0.65,0.35,0.6666666666666666,0.8,0.8282142857142856,5.561212062835693,1.7355018191867406
lupus,Adaboost,4,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.6666666666666666,0.625,0.375,0.8125,0.525,0.6059523809523809,5.545567750930786,1.7357667287190754
lupus,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.6666666666666666,0.625,0.375,0.8125,0.375,0.4789236111111111,0.7029316425323486,0.0
lupus,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5555555555555556,0.5,0.5,0.5555555555555556,0.5,0.75,4.920746803283691,0.0
lupus,XBART,4,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.6666666666666666,0.625,0.375,0.8125,0.55,0.6233928571428571,5.561202526092529,0.0
lupus,Adaboost,5,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.8888888888888888,0.9,0.1,0.9,0.9500000000000001,0.9535416666666667,5.545576810836792,0.0
lupus,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 100}",0.8888888888888888,0.9,0.1,0.9,0.8500000000000001,0.8527777777777779,0.734163761138916,0.0
lupus,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5555555555555556,0.5,0.5,0.5555555555555556,0.5,0.75,4.920749664306641,0.0
lupus,XBART,5,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.8888888888888888,0.9,0.1,0.9,0.9500000000000001,0.9535416666666667,5.623656272888184,0.0
lupus,Adaboost,6,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",1.0,1.0,0.0,1.0,1.0,1.0,5.436227083206177,0.0
lupus,LightGBM,6,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,0.7342023849487305,1.735687255859375
lupus,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5555555555555556,0.5,0.5,0.5555555555555556,0.5,0.75,4.905125856399536,1.7356077829996746
lupus,XBART,6,"{'alpha': 0.1594952556655613, 'beta': 1.7003410717304972, 'burnin': 2, 'max_depth_num': 4, 'num_sweeps': 80, 'num_trees': 100}",0.8888888888888888,0.875,0.125,0.9166666666666667,1.0,1.0,5.733046054840088,0.0
