Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
meta,Adaboost,0,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.9056603773584906,0.5895833333333333,0.4104166666666667,0.7107843137254901,0.8270833333333334,0.6847194137287351,6.451615333557129,0.0
meta,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.9056603773584906,0.6791666666666667,0.3208333333333333,0.7193877551020409,0.9291666666666667,0.7725889491310394,1.218435525894165,0.0
meta,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.9056603773584906,0.5,0.5,0.9056603773584906,0.6229166666666668,0.5832070505169815,44.989461183547974,0.2947393453346109
meta,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.9056603773584906,0.5,0.5,0.9056603773584906,0.9375,0.724541276674544,78.66909980773926,0.2947393453346109
meta,Adaboost,1,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.8867924528301887,0.5791666666666667,0.42083333333333334,0.6266666666666667,0.7770833333333333,0.5778190704911784,6.560975074768066,0.2947438437983675
meta,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.8867924528301887,0.5791666666666667,0.42083333333333334,0.6266666666666667,0.8875,0.6423619781324429,1.2340447902679443,0.0
meta,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.9056603773584906,0.5,0.5,0.9056603773584906,0.6666666666666666,0.5201864826119127,47.05147862434387,0.2947348468708542
meta,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.9056603773584906,0.5,0.5,0.9056603773584906,0.675,0.5442504162879455,78.13795614242554,0.0
meta,Adaboost,2,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.9245283018867925,0.6,0.4,0.9615384615384616,0.7229166666666667,0.6739433963942241,6.4047534465789795,0.0
meta,LightGBM,2,"{'n_estimators': 100, 'num_leaves': 5}",0.9245283018867925,0.6,0.4,0.9615384615384616,0.8708333333333333,0.7575759926287938,1.2965378761291504,0.0
meta,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.9056603773584906,0.5,0.5,0.9056603773584906,0.7479166666666668,0.6783725154751611,46.192304611206055,0.2947348468708542
meta,XBART,2,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.9056603773584906,0.5,0.5,0.9056603773584906,0.8083333333333333,0.6350786779119683,79.95003461837769,0.0
meta,Adaboost,3,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.9622641509433962,0.8,0.2,0.98,0.9833333333333334,0.9315304350907029,6.420358419418335,0.2947573391896374
