Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
mfeat-karhunen,Adaboost,0,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.775,0.775,0.025,0.8089857972793093,0.9649444444444445,0.844934308606207,48.26991677284241,0.312427282333374
mfeat-karhunen,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 100}",0.96,0.96,0.0044444444444444444,0.9613852813852812,0.9978055555555556,0.9886119863807256,78.4503722190857,0.07810354232788086
mfeat-karhunen,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.79,0.7899999999999999,0.02333333333333333,0.7937100729619911,0.9682777777777778,0.8750438492728325,11106.351568698883,0.6248509883880615
mfeat-karhunen,XBART,0,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.3,0.3,0.06777777777777777,0.2512055373428756,0.8309722222222222,0.3784410741594108,486.04239869117737,0.15621304512023926
mfeat-karhunen,Adaboost,1,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8,0.8,0.022222222222222223,0.850373942101631,0.975611111111111,0.8448970554037114,48.14497232437134,0.312427282333374
mfeat-karhunen,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.99,0.9899999999999999,0.0011111111111111111,0.9904761904761905,0.99975,0.9978893610838693,67.89034652709961,0.0
mfeat-karhunen,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.8,0.8,0.02222222222222222,0.8038112491373361,0.9697777777777776,0.8558975998795824,11131.408200025558,0.624852180480957
mfeat-karhunen,XBART,1,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.365,0.365,0.06777777777777778,0.33045697160067367,0.8304166666666667,0.38391118270754376,474.04520988464355,0.07810115814208984
mfeat-karhunen,Adaboost,2,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.825,0.825,0.019444444444444445,0.8430321257689679,0.9792777777777777,0.8892217756928759,48.0981080532074,0.312427282333374
mfeat-karhunen,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.97,0.97,0.003333333333333333,0.9720779220779221,0.9991666666666668,0.994469702086012,67.53105568885803,0.0781095027923584
mfeat-karhunen,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.77,0.7699999999999999,0.025555555555555554,0.7644247922662581,0.9721666666666666,0.8672959432615827,11136.656969547272,0.624852180480957
mfeat-karhunen,XBART,2,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.41,0.41,0.0638888888888889,0.3850387661138536,0.8465833333333332,0.41854503817600425,515.4573836326599,0.23432612419128418
mfeat-karhunen,Adaboost,3,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.74,0.74,0.02888888888888889,0.7867762997236681,0.9742777777777778,0.8500278637799191,48.05124378204346,0.312424898147583
mfeat-karhunen,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 100}",0.93,0.93,0.007777777777777777,0.9335689928145172,0.9986944444444443,0.9909126129702672,78.32540202140808,0.07810711860656738
mfeat-karhunen,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.79,0.7899999999999999,0.023333333333333334,0.7961178055578377,0.9694722222222222,0.852996752301426,11020.871590852737,0.6248509883880615
mfeat-karhunen,XBART,3,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.39,0.39,0.06555555555555556,0.3861552185216916,0.8398611111111112,0.416752493202947,485.3550612926483,0.0781106948852539
mfeat-karhunen,Adaboost,4,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.73,0.73,0.03,0.7685570397763493,0.9708888888888889,0.8461787817690031,48.23873996734619,0.312427282333374
mfeat-karhunen,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 100}",0.975,0.975,0.002777777777777778,0.975689223057644,0.9968611111111112,0.9834138660367586,78.16915225982666,0.0781095027923584
mfeat-karhunen,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.795,0.7949999999999999,0.02277777777777778,0.805062656641604,0.9764444444444444,0.8771637733673534,11122.972675323486,0.624852180480957
mfeat-karhunen,XBART,4,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.355,0.35500000000000004,0.06833333333333333,0.39250796067585286,0.8079722222222221,0.3934544938350748,484.105352640152,0.15621423721313477
mfeat-karhunen,Adaboost,5,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.73,0.73,0.03,0.751244979277016,0.9651388888888889,0.8032106741934948,48.129350900650024,0.3124260902404785
mfeat-karhunen,LightGBM,5,"{'n_estimators': 200, 'num_leaves': 5}",0.95,0.95,0.005555555555555555,0.9533948507632717,0.9971944444444445,0.9825305158283528,67.46857070922852,0.07810473442077637
mfeat-karhunen,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.69,0.69,0.034444444444444444,0.6957011835773446,0.9394444444444444,0.7757066280524642,11157.027198076248,0.624852180480957
mfeat-karhunen,XBART,5,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.27,0.27,0.0811111111111111,0.351624972858803,0.7735277777777778,0.3314110395189326,533.515655040741,0.31241416931152344
mfeat-karhunen,Adaboost,6,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.81,0.8099999999999999,0.021111111111111112,0.8284222811931791,0.9757777777777779,0.8544859816538212,50.12888169288635,0.31227588653564453
mfeat-karhunen,LightGBM,6,"{'n_estimators': 200, 'num_leaves': 5}",0.95,0.95,0.005555555555555555,0.9552111504056583,0.9984999999999999,0.989433006866679,87.01086902618408,0.07810831069946289
mfeat-karhunen,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.755,0.7549999999999999,0.027222222222222224,0.7594458866689314,0.9630555555555557,0.8410357803353659,11111.459747314453,0.6248533725738525
mfeat-karhunen,XBART,6,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.445,0.445,0.059444444444444446,0.4186770174270174,0.8324722222222223,0.4430658050225141,491.9316453933716,0.07811307907104492
mfeat-karhunen,Adaboost,7,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8,0.8,0.02222222222222222,0.8093830722081495,0.9574166666666667,0.8407677140922589,48.26994276046753,0.3124260902404785
mfeat-karhunen,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 5}",0.945,0.945,0.006111111111111111,0.9464989177489178,0.9976111111111111,0.9836381693189737,67.17176461219788,0.0
mfeat-karhunen,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.735,0.7350000000000001,0.029444444444444447,0.7397026992615228,0.9513611111111111,0.804889762031341,11155.57441353798,0.624849796295166
mfeat-karhunen,XBART,7,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.39,0.39,0.06499999999999997,0.3738114917995372,0.8295277777777779,0.40323269586466604,490.7131803035736,0.0781106948852539
mfeat-karhunen,Adaboost,8,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.785,0.7849999999999999,0.02388888888888889,0.802185284522241,0.9784722222222222,0.852263994212751,48.332427978515625,0.312427282333374
mfeat-karhunen,LightGBM,8,"{'n_estimators': 200, 'num_leaves': 100}",0.955,0.9549999999999998,0.005,0.9561904761904761,0.9991666666666668,0.993159191414071,78.12232422828674,0.15621304512023926
mfeat-karhunen,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.8,0.8,0.02222222222222222,0.8136875043339575,0.9798333333333333,0.8837992056274,11160.16708779335,0.624852180480957
mfeat-karhunen,XBART,8,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.35,0.35000000000000003,0.07222222222222222,0.48611795861795865,0.7685833333333333,0.3268481266932138,518.6910009384155,0.3124260902404785
mfeat-karhunen,Adaboost,9,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.765,0.7649999999999999,0.026111111111111106,0.7983108041196276,0.9785555555555556,0.8494190414829064,48.22307896614075,0.3905332088470459
mfeat-karhunen,LightGBM,9,"{'n_estimators': 200, 'num_leaves': 100}",0.99,0.99,0.0011111111111111111,0.990909090909091,0.9997777777777778,0.9985449735449737,77.99735379219055,0.07810711860656738
mfeat-karhunen,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.745,0.745,0.028333333333333332,0.7532742041838152,0.9674999999999999,0.8560395737386124,11174.163808822632,0.624852180480957
mfeat-karhunen,XBART,9,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.405,0.40499999999999997,0.0638888888888889,0.3932618443647855,0.833527777777778,0.41595371830823186,492.27531456947327,0.0781095027923584
