Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
mfeat-morphological,Adaboost,0,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,6.139148712158203,0.23432016372680664
mfeat-morphological,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 10}",1.0,1.0,0.0,1.0,1.0,0.9999999999999999,1.5777544975280762,0.0
mfeat-morphological,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",1.0,1.0,0.0,1.0,1.0,1.0,67.43732833862305,0.07810592651367188
mfeat-morphological,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,50.23824214935303,0.0781106948852539
mfeat-morphological,Adaboost,1,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",1.0,1.0,0.0,1.0,1.0,1.0,8.341787099838257,0.07810592651367188
mfeat-morphological,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,1.7183187007904053,0.0
mfeat-morphological,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",1.0,1.0,0.0,1.0,1.0,1.0,73.84207820892334,0.07810592651367188
mfeat-morphological,XBART,1,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",1.0,1.0,0.0,1.0,1.0,1.0,48.48867845535278,0.0781095027923584
mfeat-morphological,Adaboost,2,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",1.0,1.0,0.0,1.0,1.0,1.0,5.623682737350464,0.0
mfeat-morphological,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,1.6402027606964111,0.0
