Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
musk-1,Adaboost,0,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.9375,0.9338624338624338,0.06613756613756613,0.9392857142857143,0.9664902998236331,0.9684919832321235,19.116724729537964,0.9764581918716431
musk-1,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 10}",0.9166666666666666,0.9206349206349206,0.07936507936507936,0.9147826086956521,0.9841269841269841,0.9843933822623042,2.2998523712158203,0.32556553681691486
musk-1,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.7708333333333334,0.7645502645502645,0.23544973544973544,0.7678571428571428,0.8712522045855379,0.8728132169302493,240.6140706539154,0.0
musk-1,XBART,0,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.4583333333333333,0.4973544973544973,0.5026455026455026,0.49572649572649574,0.5097001763668431,0.646802333855427,875.7229716777802,0.32558540503184
musk-1,Adaboost,1,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.9791666666666666,0.9814814814814814,0.018518518518518517,0.9772727272727273,0.998236331569665,0.9982183576760297,19.017484188079834,0.9766419728597004
musk-1,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 100}",0.9791666666666666,0.9761904761904762,0.023809523809523808,0.9821428571428572,0.998236331569665,0.9982183576760297,2.406486749649048,0.0
musk-1,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6875,0.664021164021164,0.335978835978836,0.6953781512605042,0.8447971781305115,0.8511497280692731,227.10466885566711,0.0
musk-1,XBART,1,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.5833333333333334,0.6190476190476191,0.38095238095238093,0.6658476658476659,0.6331569664902998,0.7619018392410204,849.0002248287201,0.0
musk-1,Adaboost,2,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.9791666666666666,0.9761904761904762,0.023809523809523808,0.9821428571428572,0.998236331569665,0.9982183576760297,18.970518827438354,0.9766767422358196
musk-1,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 100}",0.9583333333333334,0.9523809523809523,0.047619047619047616,0.9655172413793103,0.9858906525573192,0.986563633125491,2.250175952911377,0.3255705038706462
musk-1,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7916666666666666,0.783068783068783,0.21693121693121692,0.7912885662431942,0.8800705467372135,0.8845074346684874,219.83017873764038,0.325550635655721
musk-1,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.5625,0.6005291005291005,0.3994708994708995,0.65,0.6058201058201058,0.7350630722158499,844.5965278148651,0.0
musk-1,Adaboost,3,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.8333333333333334,0.8253968253968254,0.1746031746031746,0.8348457350272231,0.873015873015873,0.8685039317224204,18.84558415412903,0.9766568740208943
musk-1,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 100}",0.8541666666666666,0.8492063492063492,0.15079365079365079,0.8535714285714285,0.9171075837742504,0.9148287065319902,2.250216484069824,0.0
musk-1,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.6875,0.6904761904761905,0.30952380952380953,0.6875,0.7522045855379189,0.7491747647348856,225.83691000938416,0.325550635655721
musk-1,XBART,3,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.0,0.0,0.0,0.0,0.537037037037037,0.7628572866344605,981.4209938049316,0.325620174407959
musk-1,Adaboost,4,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.9166666666666666,0.9047619047619048,0.09523809523809523,0.935483870967742,0.9770723104056438,0.9780364714767645,19.01738476753235,0.6510913372039795
musk-1,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 100}",0.9166666666666666,0.91005291005291,0.08994708994708994,0.9219600725952812,0.9876543209876543,0.9872860169390384,2.218935251235962,0.0
musk-1,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8333333333333334,0.8412698412698413,0.15873015873015872,0.8365217391304347,0.8483245149911817,0.8585483643597818,222.43145728111267,0.0
musk-1,XBART,4,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.5208333333333334,0.5634920634920635,0.4365079365079365,0.6125,0.5652557319223985,0.7039386794248748,868.4024572372437,0.0
musk-1,Adaboost,5,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.875,0.873015873015873,0.12698412698412698,0.873015873015873,0.9417989417989419,0.9469494693909235,18.907637357711792,0.9765774011611938
musk-1,LightGBM,5,"{'n_estimators': 100, 'num_leaves': 10}",0.8958333333333334,0.8915343915343915,0.10846560846560846,0.8964285714285715,0.9594356261022927,0.9625778026501116,2.0470049381256104,0.0
musk-1,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6458333333333334,0.6481481481481481,0.35185185185185186,0.6458333333333334,0.7372134038800706,0.7639758608949034,242.83171820640564,0.3255407015482585
musk-1,XBART,5,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.6041666666666666,0.6375661375661376,0.36243386243386244,0.6805555555555556,0.6349206349206349,0.751257268923831,845.8284277915955,0.0
musk-1,Adaboost,6,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.851063829787234,0.8516483516483516,0.14835164835164835,0.8490909090909091,0.9413919413919414,0.9433128011314065,18.111624479293823,0.3326142087895819
musk-1,LightGBM,6,"{'n_estimators': 100, 'num_leaves': 10}",0.9361702127659575,0.9331501831501832,0.06684981684981685,0.9379629629629629,0.9725274725274725,0.9743143184931375,2.078352212905884,0.0
musk-1,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.7021276595744681,0.6987179487179487,0.30128205128205127,0.6987179487179487,0.7884615384615384,0.8027254135595897,230.5972878932953,0.0
musk-1,XBART,6,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.5319148936170213,0.5723443223443223,0.4276556776556777,0.660569105691057,0.5576923076923077,0.7089392401405894,860.5240068435669,0.0
musk-1,Adaboost,7,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.9361702127659575,0.9444444444444444,0.05555555555555555,0.9347826086956521,0.9851851851851853,0.9837080245391003,18.876863956451416,0.9974469529821517
