Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
newton_hema,Adaboost,0,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.5714285714285714,0.5714285714285714,0.4285714285714286,0.606060606060606,0.6326530612244898,0.7003220985363842,6.414630174636841,2.849459648132324
newton_hema,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.6428571428571429,0.6428571428571428,0.3571428571428571,0.6458333333333333,0.653061224489796,0.6342298574441432,1.1888220310211182,0.49858433859688894
newton_hema,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5714285714285714,0.5714285714285714,0.42857142857142855,0.7692307692307692,0.6632653061224489,0.748282967032967,9.848885536193848,0.14247213091169084
newton_hema,XBART,0,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7142857142857143,0.7142857142857142,0.2857142857142857,0.7333333333333334,0.8571428571428571,0.8610621521335805,9.915563106536865,0.14255728040422713
newton_hema,Adaboost,1,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.8775510204081632,0.8857374768089052,6.060339450836182,0.42741639273507254
newton_hema,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.7857142857142857,0.7857142857142857,0.21428571428571427,0.7916666666666667,0.8673469387755102,0.8780844155844156,1.1304957866668701,0.4274504525320871
newton_hema,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5102040816326531,0.6442307692307692,5.896175384521484,0.14243807111467635
newton_hema,XBART,1,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.7857142857142857,0.7857142857142857,0.21428571428571427,0.7916666666666667,0.8979591836734693,0.909155328798186,10.320378541946411,0.2820832388741629
newton_hema,Adaboost,2,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",0.7142857142857143,0.7142857142857143,0.2857142857142857,0.8181818181818181,0.7653061224489796,0.7793240489669061,6.164209604263306,1.5805959701538086
newton_hema,LightGBM,2,"{'n_estimators': 100, 'num_leaves': 50}",0.7857142857142857,0.7857142857142857,0.21428571428571427,0.85,0.8367346938775511,0.8572085652442796,1.1827423572540283,0.4274334226335798
newton_hema,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5714285714285714,0.6958874458874458,5.998695373535156,0.2135889870779855
newton_hema,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.7142857142857143,0.7142857142857143,0.2857142857142857,0.8181818181818181,0.8571428571428571,0.8651154401154402,9.6876962184906,0.13755049024309432
newton_hema,Adaboost,3,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.7857142857142857,0.7857142857142857,0.21428571428571427,0.7916666666666667,0.8775510204081632,0.879911358482787,6.261691093444824,0.4989930561610631
newton_hema,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.7142857142857143,0.7142857142857143,0.2857142857142857,0.8181818181818181,0.8367346938775511,0.8277908599337169,1.115365743637085,0.4298346383231027
newton_hema,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5102040816326531,0.6442307692307692,5.890294551849365,0.21372522626604354
newton_hema,XBART,3,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",1.0,1.0,0.0,1.0,1.0,0.9999999999999998,10.297775745391846,0.21379334586007254
newton_hema,Adaboost,4,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.9591836734693878,0.9625141723356009,6.487640857696533,2.8494937079293385
newton_hema,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.979591836734694,0.9808673469387755,1.1658828258514404,0.3561462674822126
newton_hema,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.625,5.961441516876221,0.21370819636753627
newton_hema,XBART,4,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7857142857142857,0.7857142857142857,0.21428571428571427,0.7916666666666667,0.8979591836734694,0.9045866831581116,9.869194984436035,0.14252322060721262
newton_hema,Adaboost,5,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.8163265306122449,0.8297271181199751,6.611915588378906,2.918652125767299
newton_hema,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 100}",0.8571428571428571,0.8571428571428572,0.14285714285714285,0.8888888888888888,0.9183673469387754,0.9229398577612863,1.140979290008545,0.42739936283656527
newton_hema,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5714285714285714,0.5714285714285714,0.42857142857142855,0.7692307692307692,0.5714285714285714,0.7774725274725275,6.029285192489624,0.14243807111467635
newton_hema,XBART,5,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.7857142857142857,0.7857142857142857,0.21428571428571427,0.7916666666666667,0.8163265306122449,0.8297271181199751,10.478970050811768,0.1424891608101981
newton_hema,Adaboost,6,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.7142857142857143,0.7142857142857142,0.2857142857142857,0.7333333333333334,0.8163265306122449,0.8297271181199751,6.578118562698364,2.9919998986380443
newton_hema,LightGBM,6,"{'n_estimators': 50, 'num_leaves': 100}",0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.9183673469387755,0.9225997217068644,1.1916658878326416,0.3922837121146066
newton_hema,Provably Robust Boosting,6,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,5.914874792098999,0.21370819636753627
newton_hema,XBART,6,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.9183673469387755,0.9229398577612863,9.816493034362793,0.14242104121616908
newton_hema,Adaboost,7,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.7857142857142858,0.807874665017522,6.406826972961426,0.4274504525320871
newton_hema,LightGBM,7,"{'n_estimators': 20, 'num_leaves': 5}",0.7857142857142857,0.7857142857142857,0.21428571428571427,0.7916666666666667,0.846938775510204,0.8656836219336219,1.1933188438415527,0.49856730869838173
newton_hema,Provably Robust Boosting,7,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.35714285714285715,0.35714285714285715,0.6428571428571428,0.20833333333333334,0.35714285714285715,0.443452380952381,5.929359436035156,0.21370819636753627
newton_hema,XBART,7,"{'alpha': 0.2812792213317815, 'beta': 0.8045546791767061, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.7857142857142857,0.7857142857142857,0.21428571428571427,0.7916666666666667,0.7755102040816326,0.7940218511647081,10.1168954372406,0.21374225616455078
newton_hema,Adaboost,8,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.7755102040816326,0.7342788164216735,6.023820400238037,0.4267181668962751
newton_hema,LightGBM,8,"{'n_estimators': 50, 'num_leaves': 100}",0.5714285714285714,0.5714285714285714,0.4285714285714286,0.606060606060606,0.8163265306122449,0.8150664811379096,1.135958194732666,0.3561803272792271
newton_hema,Provably Robust Boosting,8,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,5.928191184997559,0.14242104121616908
newton_hema,XBART,8,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.8163265306122448,0.8156617192331477,9.624889850616455,0.1424891608101981
