Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
no2,Adaboost,0,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.72,0.72,0.28,0.7858627858627859,0.74,0.7582150717519196,7.200976371765137,0.13970375061035156
no2,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.68,0.6799999999999999,0.32,0.7622377622377623,0.716,0.6970548002641344,1.6965103149414062,0.0994110107421875
no2,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.52,0.52,0.48,0.5291375291375291,0.5408,0.6175792188655111,25.823932886123657,0.059838294982910156
no2,XBART,0,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.64,0.64,0.36000000000000004,0.6666666666666666,0.6816,0.6464921986889132,29.888614416122437,0.09974002838134766
no2,Adaboost,1,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.54,0.54,0.45999999999999996,0.5400641025641025,0.6048,0.6082627801754973,7.182368755340576,0.13967514038085938
no2,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 5}",0.56,0.56,0.44,0.5603864734299517,0.6464,0.6659207972381023,2.0732221603393555,0.12024402618408203
no2,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4,0.4,0.6000000000000001,0.3993558776167472,0.47359999999999997,0.5199712550809223,25.606420516967773,0.059833526611328125
no2,XBART,1,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.58,0.5800000000000001,0.42,0.5811688311688312,0.648,0.6493509834900362,30.870598316192627,0.1595783233642578
no2,Adaboost,2,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.56,0.56,0.44,0.5615763546798029,0.6152000000000001,0.6272140562500603,7.043116569519043,0.11967658996582031
no2,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.62,0.6200000000000001,0.38,0.6217532467532467,0.6792,0.6541582617371089,1.6719961166381836,0.1201629638671875
no2,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6,0.6000000000000001,0.4,0.6026272577996716,0.5944,0.5399575097476195,25.81391477584839,0.059838294982910156
no2,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.56,0.56,0.44000000000000006,0.5636672325976231,0.6567999999999999,0.6778141105429087,29.233639001846313,0.059838294982910156
no2,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.54,0.54,0.46,0.5405844155844155,0.5408,0.5509615921261077,6.833731174468994,0.11968135833740234
no2,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 5}",0.6,0.6000000000000001,0.4,0.6006441223832528,0.6015999999999999,0.5634661433438315,1.6206674575805664,0.11968612670898438
no2,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.62,0.6200000000000001,0.38,0.6217532467532467,0.6200000000000001,0.6543794326241135,25.461167097091675,0.059833526611328125
no2,XBART,3,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.46,0.45999999999999996,0.54,0.4565972222222222,0.5648,0.5800189241559975,29.13493847846985,0.05984783172607422
no2,Adaboost,4,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.66,0.6599999999999999,0.34,0.6623376623376623,0.6880000000000001,0.6877457088314902,6.9643824100494385,0.11967658996582031
no2,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.64,0.64,0.36,0.6436781609195402,0.6736000000000001,0.6596792081572834,1.8709790706634521,0.09974956512451172
no2,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.56,0.56,0.44,0.5874125874125874,0.5608,0.4938908088908089,25.312424898147583,0.05984783172607422
no2,XBART,4,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.6,0.6000000000000001,0.4,0.6026272577996716,0.6279999999999999,0.5868158724653765,28.37910771369934,0.039882659912109375
no2,Adaboost,5,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.58,0.5800000000000001,0.42,0.5811688311688312,0.6496000000000001,0.6553952774376696,6.708066701889038,0.1396322250366211
no2,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.76,0.76,0.24000000000000002,0.7616747181964574,0.7536,0.7580139837087574,1.5458669662475586,0.11967658996582031
no2,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.56,0.56,0.44,0.56,0.5952,0.68075026309897,24.585490703582764,0.05982398986816406
no2,XBART,5,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.62,0.62,0.38,0.625,0.7072,0.7248498868225202,28.807987689971924,0.05984306335449219
