Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
ozone,Adaboost,0,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.9724409448818898,0.5,0.5,0.9724409448818898,0.9907460960092539,0.892107062903701,39.66250514984131,0.0615166866873193
ozone,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.9763779527559056,0.5714285714285714,0.42857142857142855,0.9881422924901186,0.9693464430306535,0.7383879852487594,13.168729305267334,0.18450782054991235
ozone,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.9724409448818898,0.5,0.5,0.9724409448818898,0.8565644881434356,0.6778533040966911,1499.5562961101532,0.06150636147326372
ozone,XBART,0,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.968503937007874,0.56737998843262,0.43262001156737995,0.6547144754316069,0.940427993059572,0.6773520722152515,625.3628170490265,0.0
ozone,Adaboost,1,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.9724409448818898,0.5,0.5,0.9724409448818898,0.9381145170618855,0.7653688348519473,39.58439898490906,0.06154953964113251
ozone,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.9724409448818898,0.5694042799305957,0.4305957200694043,0.7380952380952381,0.8021978021978021,0.6545955978268239,13.965413331985474,0.18450782054991235
ozone,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.9724409448818898,0.5,0.5,0.9724409448818898,0.5159051474840948,0.5737859682395199,1490.9753696918488,0.0
ozone,XBART,1,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.9803149606299213,0.6428571428571428,0.35714285714285715,0.9900793650793651,0.9410063620589936,0.7091283820627592,657.980119228363,0.0
ozone,Adaboost,2,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.9724409448818898,0.5,0.5,0.9724409448818898,0.8571428571428572,0.5826141396913451,42.89611506462097,0.3074820586076871
ozone,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.968503937007874,0.4979757085020243,0.5020242914979757,0.48616600790513836,0.8646616541353384,0.586124512275754,13.465535163879395,0.1845087592057356
ozone,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.9724409448818898,0.5,0.5,0.9724409448818898,0.802486986697513,0.6670287671974111,1488.6621658802032,0.06151293206402636
ozone,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.9566929133858267,0.49190283400809715,0.5080971659919028,0.486,0.8802776171197224,0.576338214014563,651.9189629554749,0.06149134298009197
ozone,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.968503937007874,0.5,0.5,0.968503937007874,0.8089430894308942,0.6116493329818157,39.60001826286316,0.06151105475237989
