Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
pima,Adaboost,0,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.7532467532467533,0.7333333333333334,0.26666666666666666,0.7295918367346939,0.8466666666666667,0.8348649687224791,9.18532657623291,0.6086021274715274
pima,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 5}",0.7922077922077922,0.7803703703703704,0.21962962962962962,0.7719109195402298,0.8888888888888888,0.8828276953912624,2.686832904815674,0.2028880181250634
pima,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 100, 'min_samples_split': 100}",0.7662337662337663,0.6922222222222222,0.3077777777777778,0.7790322580645161,0.7725925925925925,0.7953152245376742,62.11032962799072,0.20286324736359831
pima,XBART,0,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.7792207792207793,0.7362962962962962,0.26370370370370366,0.7636363636363637,0.8629629629629629,0.8590718596696674,49.925740480422974,0.0
pima,Adaboost,1,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.7792207792207793,0.7277777777777779,0.2722222222222222,0.7697368421052632,0.8970370370370371,0.8328998233510732,9.247779846191406,0.2028694400539646
pima,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 100}",0.7662337662337663,0.7007407407407408,0.2992592592592592,0.7656862745098039,0.8474074074074074,0.7814422746547451,2.686866521835327,0.2028725363991477
pima,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.7402597402597403,0.6637037037037037,0.33629629629629626,0.7376344086021505,0.7518518518518518,0.7117950779767748,67.593421459198,0.20284776563768261
pima,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.7402597402597403,0.6722222222222223,0.3277777777777778,0.7279411764705883,0.8288888888888888,0.7748739958506288,50.19130063056946,0.2028725363991477
pima,Adaboost,2,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7662337662337663,0.7348148148148148,0.2651851851851852,0.7438461538461538,0.802962962962963,0.7785855097253978,9.107183456420898,0.608636187268542
pima,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 5}",0.7402597402597403,0.6977777777777778,0.3022222222222222,0.7149758454106281,0.8125925925925925,0.7805156198285627,2.6868667602539062,0.2028694400539646
pima,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7402597402597403,0.6722222222222223,0.3277777777777778,0.7279411764705883,0.6937037037037037,0.6802233752547071,65.11985158920288,0.2030459317294034
pima,XBART,2,"{'alpha': 0.2812792213317815, 'beta': 0.8045546791767061, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.7402597402597403,0.6892592592592592,0.31074074074074076,0.7172619047619048,0.7985185185185184,0.7830333757310546,50.47248387336731,0.2029127888865285
pima,Adaboost,3,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.8441558441558441,0.8033333333333332,0.19666666666666666,0.8482142857142857,0.8492592592592593,0.8538183090698512,8.622925281524658,0.2028880181250634
pima,LightGBM,3,"{'n_estimators': 100, 'num_leaves': 5}",0.8311688311688312,0.7848148148148149,0.21518518518518517,0.837280701754386,0.9081481481481481,0.9033607023288334,2.686863422393799,0.0
pima,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8051948051948052,0.7307407407407407,0.26925925925925925,0.8531746031746033,0.86,0.879251103010267,64.75034165382385,0.20288182543469713
pima,XBART,3,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.8441558441558441,0.8118518518518518,0.18814814814814815,0.8389694041867954,0.9340740740740741,0.9251684982339258,51.59721875190735,0.20288492177988027
pima,Adaboost,4,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.7922077922077922,0.7462962962962962,0.2537037037037037,0.7827380952380952,0.8714814814814815,0.8336614217776335,8.732311487197876,0.20291898157689478
pima,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.8571428571428571,0.8218518518518518,0.17814814814814814,0.8590909090909091,0.8744444444444445,0.8701619431788605,2.655588150024414,0.20287563274433087
pima,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7922077922077922,0.7207407407407407,0.27925925925925926,0.8204301075268817,0.8037037037037037,0.7983404840538484,65.29707479476929,0.20288182543469713
pima,XBART,4,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.8051948051948052,0.7477777777777778,0.25222222222222224,0.8149717514124294,0.8474074074074074,0.8402324262406267,50.36310315132141,0.0
pima,Adaboost,5,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.7532467532467533,0.7077777777777778,0.2922222222222222,0.7318181818181818,0.8011111111111111,0.7766799412961457,8.701069593429565,0.0
pima,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 5}",0.7402597402597403,0.6892592592592592,0.31074074074074076,0.7172619047619048,0.8222222222222222,0.789688821150309,2.6712427139282227,0.0
pima,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7272727272727273,0.6366666666666666,0.3633333333333333,0.7365384615384616,0.7555555555555555,0.7253721412844895,64.67221879959106,0.20291588523171167
pima,XBART,5,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.7402597402597403,0.6807407407407408,0.31925925925925924,0.721415607985481,0.802962962962963,0.7468067373750491,52.08144688606262,0.20288182543469713
pima,Adaboost,6,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7402597402597403,0.6807407407407408,0.31925925925925924,0.721415607985481,0.8422222222222222,0.813447843180596,9.138494729995728,0.8114437004188438
pima,LightGBM,6,"{'n_estimators': 50, 'num_leaves': 5}",0.7792207792207793,0.7192592592592593,0.28074074074074074,0.7787193973634652,0.8274074074074074,0.7896487685392475,2.655588150024414,0.0
pima,Provably Robust Boosting,6,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6883116883116883,0.5811111111111111,0.41888888888888887,0.678921568627451,0.7374074074074074,0.7508491294218548,64.46914887428284,0.20285086198286578
pima,XBART,6,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.7272727272727273,0.6451851851851852,0.3548148148148148,0.7222222222222222,0.7911111111111111,0.7673777151925258,50.33185338973999,0.0
pima,Adaboost,7,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7272727272727273,0.6877777777777778,0.3122222222222222,0.6992924528301887,0.7933333333333332,0.7509202084747181,8.623002290725708,0.0
pima,LightGBM,7,"{'n_estimators': 20, 'num_leaves': 5}",0.6883116883116883,0.6407407407407407,0.3592592592592593,0.6529790660225443,0.8081481481481481,0.7991781111994422,2.671213388442993,0.2028725363991477
pima,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.7402597402597403,0.6807407407407408,0.31925925925925924,0.721415607985481,0.7814814814814814,0.7504250619989804,68.27479100227356,0.2028446692924995
pima,XBART,7,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.7272727272727273,0.7048148148148148,0.29518518518518516,0.7015306122448979,0.8177777777777777,0.799193371297593,51.56594157218933,0.20332460279588574
pima,Adaboost,8,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.75,0.726923076923077,0.2730769230769231,0.7229780801209373,0.8061538461538462,0.7951482815422446,8.60730767250061,0.0
pima,LightGBM,8,"{'n_estimators': 50, 'num_leaves': 5}",0.7631578947368421,0.7553846153846153,0.24461538461538462,0.7405797101449275,0.861923076923077,0.8599709764702201,2.6712443828582764,0.2055544602243524
pima,Provably Robust Boosting,8,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7105263157894737,0.6692307692307693,0.3307692307692308,0.6762820512820513,0.7123076923076922,0.7420913238195223,62.65707564353943,0.2055544602243524
pima,XBART,8,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7105263157894737,0.696923076923077,0.3030769230769231,0.6855072463768116,0.8146153846153846,0.8003102432820561,49.76949214935303,0.20556073439748665
pima,Adaboost,9,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.7236842105263158,0.6699999999999999,0.33,0.6913419913419914,0.7292307692307692,0.6992358098038935,8.826063632965088,0.41111519462183904
pima,LightGBM,9,"{'n_estimators': 100, 'num_leaves': 5}",0.6842105263157895,0.6215384615384615,0.3784615384615384,0.6410714285714285,0.7276923076923077,0.6837870235711865,2.702453136444092,0.20555759731091952
pima,Provably Robust Boosting,9,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7236842105263158,0.6238461538461538,0.37615384615384617,0.7251748251748251,0.7292307692307691,0.699167249433965,65.28146529197693,0.20557328274375514
pima,XBART,9,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.7105263157894737,0.6507692307692308,0.34923076923076923,0.675,0.7276923076923077,0.712171985431922,52.98751401901245,0.0
