Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
pittsburg-bridges-MATERIAL,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.7272727272727273,0.4583333333333333,0.1074074074074074,0.4444444444444444,0.7666666666666666,0.5305555555555556,7.451398611068726,4.260366613214666
pittsburg-bridges-MATERIAL,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.8181818181818182,0.5,0.07037037037037037,0.5,0.8555555555555555,0.5888888888888889,2.171327590942383,1.4199777082963423
pittsburg-bridges-MATERIAL,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8181818181818182,0.625,0.07407407407407407,0.75,0.8851851851851853,0.4861111111111111,25.79077982902527,2.8403455560857602
pittsburg-bridges-MATERIAL,XBART,0,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.7272727272727273,0.625,0.09999999999999999,0.625,0.9222222222222222,0.611111111111111,18.33939290046692,0.0
pittsburg-bridges-MATERIAL,Adaboost,1,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.8181818181818182,0.6666666666666666,0.14444444444444446,0.6944444444444444,0.837037037037037,0.6648148148148149,7.092104196548462,1.4201727780428801
pittsburg-bridges-MATERIAL,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.8181818181818182,0.5,0.2222222222222222,0.9,0.9537037037037038,0.9200562169312169,2.155708074569702,1.4200427315451882
pittsburg-bridges-MATERIAL,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7272727272727273,0.3333333333333333,0.3333333333333333,0.7272727272727273,0.5,0.6666666666666666,20.791990041732788,0.0
pittsburg-bridges-MATERIAL,XBART,1,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.8181818181818182,0.5,0.2222222222222222,0.9,0.8861111111111111,0.7034143518518517,17.933231830596924,0.0
pittsburg-bridges-MATERIAL,Adaboost,2,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.5454545454545454,0.25,0.17777777777777778,0.3333333333333333,0.5444444444444444,0.3958333333333333,7.013958930969238,1.420129429210316
pittsburg-bridges-MATERIAL,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.8181818181818182,0.625,0.07037037037037037,0.5555555555555555,0.9666666666666667,0.75,2.1713626384735107,0.0
