Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
pittsburg-bridges-REL-L,Adaboost,0,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.8181818181818182,0.8611111111111112,0.11428571428571428,0.8611111111111112,0.830952380952381,0.8128086419753086,7.076453924179077,0.0
pittsburg-bridges-REL-L,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.9090909090909091,0.9444444444444445,0.047619047619047616,0.9333333333333332,0.953968253968254,0.9420634920634922,2.0932254791259766,1.420129429210316
pittsburg-bridges-REL-L,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8181818181818182,0.6111111111111112,0.11428571428571428,0.8166666666666667,0.8765873015873016,0.6583333333333333,28.055872678756714,2.838915044611151
pittsburg-bridges-REL-L,XBART,0,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.45454545454545453,0.611111111111111,0.19999999999999998,0.7142857142857143,0.7388888888888889,0.6144570707070707,18.49560546875,0.0
pittsburg-bridges-REL-L,Adaboost,1,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6363636363636364,0.4444444444444445,0.2333333333333333,0.5416666666666666,0.6503968253968254,0.48735119047619047,7.014002799987793,0.0
pittsburg-bridges-REL-L,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.6363636363636364,0.4444444444444445,0.2333333333333333,0.5416666666666666,0.6174603174603174,0.5545634920634921,2.108844757080078,1.420086080377752
pittsburg-bridges-REL-L,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6363636363636364,0.4444444444444445,0.2333333333333333,0.5416666666666666,0.5392857142857143,0.5005291005291005,26.478121280670166,2.840280532836914
pittsburg-bridges-REL-L,XBART,1,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.6363636363636364,0.7222222222222222,0.16666666666666666,0.6833333333333332,0.796031746031746,0.5913194444444444,17.527116775512695,0.0
pittsburg-bridges-REL-L,Adaboost,2,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.8181818181818182,0.6111111111111112,0.10000000000000002,0.6111111111111112,0.8095238095238096,0.606712962962963,7.076426982879639,1.4200644059614702
pittsburg-bridges-REL-L,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.8181818181818182,0.6111111111111112,0.10000000000000002,0.6111111111111112,0.9111111111111111,0.7234848484848485,2.2182252407073975,1.420086080377752
