Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
pittsburg-bridges-TYPE,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.5454545454545454,0.3833333333333333,0.1074074074074074,0.5416666666666666,0.8185185185185185,0.6118121693121693,7.513843059539795,4.260366613214666
pittsburg-bridges-TYPE,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 50}",0.45454545454545453,0.26666666666666666,0.11296296296296295,0.2833333333333333,0.7777777777777778,0.34329365079365076,3.2335784435272217,0.0
pittsburg-bridges-TYPE,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6363636363636364,0.4666666666666666,0.07962962962962963,0.6166666666666667,0.775925925925926,0.5163425925925926,54.8464195728302,5.6804743680087
pittsburg-bridges-TYPE,XBART,0,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.6363636363636364,0.4666666666666666,0.09074074074074073,0.5833333333333333,0.7703703703703703,0.5263492063492063,18.604981184005737,0.0
pittsburg-bridges-TYPE,Adaboost,1,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.5454545454545454,0.3333333333333333,0.11375661375661376,0.6666666666666666,0.6153439153439154,0.5467592592592593,7.2795281410217285,2.840215509588068
pittsburg-bridges-TYPE,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.5454545454545454,0.3333333333333333,0.10317460317460318,0.6388888888888888,0.7273809523809525,0.45907738095238093,3.046154260635376,1.420107754794034
pittsburg-bridges-TYPE,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.36363636363636365,0.16666666666666666,0.14179894179894179,0.19047619047619047,0.5902116402116402,0.221114417989418,52.3573796749115,7.100582122802734
pittsburg-bridges-TYPE,XBART,1,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.09090909090909091,0.041666666666666664,0.16084656084656082,0.1,0.5654761904761905,0.29894179894179895,18.776845932006836,0.0
pittsburg-bridges-TYPE,Adaboost,2,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.2727272727272727,0.20833333333333334,0.1693121693121693,0.26666666666666666,0.7261904761904762,0.5319444444444444,7.232659339904785,1.4201727780428801
pittsburg-bridges-TYPE,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.6363636363636364,0.4166666666666667,0.0775132275132275,0.4916666666666667,0.8677248677248678,0.4576388888888889,3.2179582118988037,0.0
pittsburg-bridges-TYPE,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5454545454545454,0.4583333333333333,0.09947089947089947,0.6083333333333334,0.7683862433862433,0.378125,55.112064838409424,5.680214275013317
pittsburg-bridges-TYPE,XBART,2,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.0,0.0,0.16455026455026456,0.0,0.48320105820105824,0.1693813131313131,18.886196851730347,0.0
pittsburg-bridges-TYPE,Adaboost,3,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",0.18181818181818182,0.08333333333333333,0.1804232804232804,0.08333333333333333,0.5927248677248679,0.24861111111111114,7.217041969299316,2.8399337421764024
pittsburg-bridges-TYPE,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.45454545454545453,0.375,0.10899470899470898,0.375,0.8021164021164021,0.5089285714285714,3.1086084842681885,1.4202594757080078
pittsburg-bridges-TYPE,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7272727272727273,0.625,0.05555555555555555,0.85,0.7835978835978835,0.5895833333333333,54.36215806007385,5.680582740090109
pittsburg-bridges-TYPE,XBART,3,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.18181818181818182,0.08333333333333333,0.16375661375661374,0.06666666666666667,0.6174603174603175,0.24567099567099568,18.933063745498657,0.0
pittsburg-bridges-TYPE,Adaboost,4,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.45454545454545453,0.5,0.11111111111111112,0.6507936507936508,0.7167989417989418,0.5587632275132276,7.420120000839233,4.259889776056463
pittsburg-bridges-TYPE,LightGBM,4,"{'n_estimators': 20, 'num_leaves': 5}",0.5454545454545454,0.3333333333333333,0.1119047619047619,0.5,0.7862433862433861,0.4460648148148148,3.0304954051971436,1.4199993827126243
pittsburg-bridges-TYPE,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5454545454545454,0.4166666666666667,0.0976190476190476,0.49999999999999994,0.7220238095238095,0.4341269841269841,53.456122398376465,5.679672414606268
pittsburg-bridges-TYPE,XBART,4,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.18181818181818182,0.125,0.12936507936507938,0.25,0.4815476190476191,0.2597086940836941,18.604979515075684,0.0
pittsburg-bridges-TYPE,Adaboost,5,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.1,0.041666666666666664,0.1898148148148148,0.06666666666666667,0.7789351851851851,0.5243055555555556,7.451369047164917,4.686760902404785
pittsburg-bridges-TYPE,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.5,0.2916666666666667,0.12268518518518519,0.38888888888888884,0.6967592592592592,0.3362103174603175,3.155468463897705,1.5620946884155273
pittsburg-bridges-TYPE,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4,0.25,0.14120370370370372,0.26666666666666666,0.457175925925926,0.25459656084656085,54.065409421920776,7.810544967651367
pittsburg-bridges-TYPE,XBART,5,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.0,0.0,0.13194444444444445,0.0,0.3773148148148149,0.20728339947089944,19.307971000671387,0.0
