Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
plant-margin,Adaboost,0,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.225,0.215,0.007834169254040284,0.353968253968254,0.9575579173632672,0.3401460865039265,37.42865490913391,0.8788555860519409
plant-margin,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.75,0.76,0.0025268688798662526,0.802127659574468,0.9935498766021814,0.8573368887567829,264.4531216621399,0.6544157862663269
plant-margin,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.375,0.395,0.006306424647719131,0.42299145299145297,0.9243105644455057,0.5171052007132971,43787.233001708984,6.931973993778229
plant-margin,XBART,0,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.00625,0.01,0.010038213518032003,0.015151515151515152,0.49479340816813955,0.022845742916113156,461.44387435913086,2.2455573081970215
plant-margin,Adaboost,1,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.025,0.025,0.00981450521455298,0.1346938775510204,0.5721732943237005,0.486208699101782,37.912920236587524,0.8789032697677612
plant-margin,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.8,0.805,0.0020209378234217023,0.8350877192982455,0.9932441684579254,0.8697529870614936,263.5258717536926,0.683438777923584
plant-margin,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4,0.42,0.0060552503781546065,0.4704395604395604,0.9306842608072605,0.5031369660415453,43680.636820316315,6.931941211223602
plant-margin,XBART,1,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.0,0.0,0.01009951436987501,0.0,0.5007196879229361,0.017352396151041047,460.62556433677673,2.53865122795105
plant-margin,Adaboost,2,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.36875,0.39,0.00637966722394714,0.47952380952380946,0.9634354350768253,0.4827576804924865,38.00666117668152,0.9763523936271667
plant-margin,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.81875,0.82,0.0018314624631796833,0.8611111111111112,0.9914300214951038,0.8778829971352371,263.43214082717896,0.6834328174591064
