Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
plant-texture,Adaboost,0,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.33125,0.315,0.006754637369636176,0.4283199195171026,0.9537826407133189,0.4277895599025607,31.69043803215027,0.6836503744125366
plant-texture,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.81875,0.825,0.0018290741183026832,0.8454861111111112,0.9956725181116154,0.8888292388167387,156.858966588974,0.19532740116119385
plant-texture,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.48125,0.49,0.005236844200302524,0.5344907407407408,0.9307184937504976,0.5941997412858767,21110.298094511032,6.543616950511932
plant-texture,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.0125,0.01,0.009988854390573999,0.007575757575757576,0.5247078258100469,0.024719567711340273,332.75181245803833,1.5627264976501465
plant-texture,Adaboost,1,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.35625,0.37,0.00650226892763315,0.46611111111111114,0.9519486903908924,0.46754507402619444,31.923279285430908,0.6836831569671631
plant-texture,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.76875,0.775,0.0023354032322267333,0.81,0.9947864421622483,0.8651947967388763,155.649578332901,0.19532889127731323
plant-texture,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.475,0.49,0.005302523684420031,0.5723947550034507,0.944448093304673,0.5848044956519748,21075.17993593216,6.543576717376709
plant-texture,XBART,1,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.00625,0.01,0.01,0.00625,0.5050288591672638,0.02453643681577144,350.0417318344116,1.855623722076416
plant-texture,Adaboost,2,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.275,0.285,0.007321869277923733,0.36226851851851855,0.9436887986625269,0.387927668061925,32.079559564590454,0.6838291883468628
plant-texture,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.775,0.785,0.002272510150465727,0.8297872340425532,0.9838549876602181,0.8229451349662861,156.08734250068665,0.1953214406967163
plant-texture,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4375,0.46,0.005680280232465569,0.5199561403508771,0.9318012100947378,0.5653226481037033,21217.67375946045,6.4455777406692505
plant-texture,XBART,2,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.00625,0.01,0.01,0.00625,0.5118438022450442,0.025317400575721263,353.41423177719116,1.7580583691596985
plant-texture,Adaboost,3,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.35,0.36,0.006567550354271157,0.4647619047619047,0.9537391529336837,0.4807520316537236,32.31511640548706,0.7815003395080566
plant-texture,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 100}",0.83125,0.845,0.0017044821272191703,0.8715277777777777,0.9958259692699626,0.9027289678140288,173.9681043624878,0.48832446336746216
plant-texture,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4625,0.49,0.005426717618024043,0.5399396378269617,0.965171960831144,0.6538404749144838,21180.170947551727,6.543402373790741
