Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
post-operative,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.5555555555555556,0.5357142857142857,0.4642857142857143,0.525,0.5,0.5039257369614512,6.6124491691589355,5.20626703898112
post-operative,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.2857142857142857,0.44438775510204076,0.7810301780700684,0.0
post-operative,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.5,0.75,5.9134156703948975,0.0
post-operative,XBART,0,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.2142857142857143,0.37993905895691604,15.271446943283081,0.0
post-operative,Adaboost,1,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.6666666666666666,0.42857142857142855,0.5714285714285714,0.375,0.5,0.5122165532879818,6.482848644256592,3.471798366970486
post-operative,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.1428571428571429,0.4029761904761905,0.7810168266296387,0.0
post-operative,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.5,0.75,5.826797962188721,0.0
post-operative,XBART,1,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.5,0.5237386621315192,14.864312887191772,0.0
post-operative,Adaboost,2,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.2142857142857143,0.42373866213151923,6.498484373092651,5.207114749484592
post-operative,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.42857142857142855,0.5714285714285714,0.375,0.17857142857142858,0.37041524943310655,0.7810242176055908,0.0
post-operative,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.5,0.75,5.6536805629730225,0.0
post-operative,XBART,2,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.4285714285714286,0.49278628117913836,15.112022876739502,0.0
post-operative,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.2857142857142857,0.46065759637188214,6.264155864715576,1.735581292046441
post-operative,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 100}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.14285714285714285,0.36446286848072557,0.7966539859771729,0.0
post-operative,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.5,0.75,5.5311033725738525,0.0
post-operative,XBART,3,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.0,0.34139739229024946,15.201143264770508,0.0
post-operative,Adaboost,4,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.27777777777777773,0.37192460317460313,6.232950925827026,0.0
post-operative,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.4444444444444445,0.42867063492063495,0.8122756481170654,0.0
post-operative,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,5.748730897903442,0.0
post-operative,XBART,4,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.22222222222222224,0.36001984126984127,15.052042007446289,1.7357667287190754
post-operative,Adaboost,5,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.5555555555555556,0.4166666666666667,0.5833333333333334,0.3125,0.3888888888888889,0.4617063492063492,6.288936614990234,0.0
post-operative,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5555555555555556,0.6381944444444445,0.7966525554656982,0.0
post-operative,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,5.927746057510376,0.0
post-operative,XBART,5,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.4444444444444444,0.43705357142857143,15.197324275970459,0.0
post-operative,Adaboost,6,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.5555555555555556,0.4166666666666667,0.5833333333333334,0.3125,0.33333333333333337,0.4707837301587302,6.123610973358154,1.7357667287190754
post-operative,LightGBM,6,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5555555555555556,0.5559027777777779,0.7966434955596924,0.0
post-operative,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,5.85803747177124,0.0
post-operative,XBART,6,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.16666666666666669,0.3395833333333333,15.420746564865112,0.0
post-operative,Adaboost,7,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5436507936507936,6.264156818389893,0.0
post-operative,LightGBM,7,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.3888888888888889,0.4888392857142857,0.765444278717041,0.0
post-operative,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,5.701824903488159,0.0
post-operative,XBART,7,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.4444444444444444,0.5125,14.774544954299927,0.0
post-operative,Adaboost,8,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.6388888888888888,0.6770833333333333,6.264153957366943,0.0
post-operative,LightGBM,8,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6989087301587301,0.7810323238372803,0.0
post-operative,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,5.877871513366699,0.0
