Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
prnn_synth,Adaboost,0,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.72,0.717948717948718,0.28205128205128205,0.7207792207792207,0.826923076923077,0.8401227516210252,7.014214277267456,1.8746757507324219
prnn_synth,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.88,0.8782051282051282,0.12179487179487179,0.8831168831168831,0.8942307692307692,0.8974950105146654,0.9684829711914062,0.6248569488525391
prnn_synth,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.52,0.5,0.5,0.52,0.5,0.75,9.753509759902954,0.0
prnn_synth,XBART,0,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.84,0.8365384615384616,0.16346153846153846,0.8500000000000001,0.9038461538461539,0.9132516566410797,10.867330551147461,0.6239795684814453
prnn_synth,Adaboost,1,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.84,0.8461538461538461,0.15384615384615385,0.875,0.9807692307692307,0.9824290293040293,7.2717344760894775,0.6250095367431641
prnn_synth,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.92,0.9230769230769231,0.07692307692307693,0.9285714285714286,0.9743589743589743,0.9761241429510661,1.3798539638519287,0.6247997283935547
prnn_synth,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.52,0.5,0.5,0.52,0.5,0.75,11.532881498336792,0.0
prnn_synth,XBART,1,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.84,0.8461538461538461,0.15384615384615385,0.875,0.9871794871794872,0.9878839109608339,9.879657506942749,0.0
prnn_synth,Adaboost,2,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.88,0.8782051282051282,0.12179487179487179,0.8831168831168831,0.9615384615384616,0.9628143854741705,6.911726474761963,1.8744182586669922
prnn_synth,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.88,0.8814102564102564,0.11858974358974358,0.8814102564102564,0.9230769230769231,0.9053801522551523,1.0902373790740967,0.6248569488525391
prnn_synth,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.52,0.5,0.5,0.52,0.5,0.75,9.553115606307983,0.0
prnn_synth,XBART,2,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.92,0.9198717948717949,0.08012820512820512,0.9198717948717949,0.9294871794871795,0.9155144751507627,10.09139370918274,0.6248188018798828
prnn_synth,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.8,0.7948717948717949,0.20512820512820512,0.8194444444444444,0.967948717948718,0.9691912432297047,6.451572418212891,0.0
prnn_synth,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.88,0.8782051282051282,0.12179487179487179,0.8831168831168831,0.9487179487179488,0.9518540487290488,0.9685211181640625,0.0
prnn_synth,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.52,0.5,0.5,0.52,0.5,0.75,9.576521158218384,0.0
prnn_synth,XBART,3,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.84,0.8365384615384616,0.16346153846153846,0.8500000000000001,0.967948717948718,0.9693987767092971,9.725667476654053,0.0
prnn_synth,Adaboost,4,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.76,0.7628205128205128,0.23717948717948717,0.7662337662337663,0.8782051282051282,0.8865846600642089,6.845796585083008,1.2498950958251953
prnn_synth,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 100}",0.72,0.7211538461538461,0.27884615384615385,0.7211538461538461,0.8269230769230769,0.8332782722691405,1.0153429508209229,0.6248760223388672
prnn_synth,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.52,0.5,0.5,0.52,0.5,0.75,9.520493030548096,0.0
prnn_synth,XBART,4,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.72,0.7211538461538461,0.27884615384615385,0.7211538461538461,0.8653846153846154,0.8608467611716799,9.950564861297607,0.0
prnn_synth,Adaboost,5,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.88,0.8814102564102564,0.11858974358974358,0.8814102564102564,0.9807692307692307,0.981795421458883,6.498477220535278,0.0
prnn_synth,LightGBM,5,"{'n_estimators': 100, 'num_leaves': 50}",0.84,0.842948717948718,0.15705128205128205,0.8474025974025974,0.9743589743589745,0.9759949719084333,0.9841020107269287,0.0
prnn_synth,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.48,0.5,0.5,0.48,0.5,0.75,9.560295104980469,0.0
prnn_synth,XBART,5,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.88,0.8814102564102564,0.11858974358974358,0.8814102564102564,0.9487179487179487,0.9479678150983819,9.92582392692566,0.0
prnn_synth,Adaboost,6,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.84,0.8365384615384616,0.16346153846153846,0.8500000000000001,0.8717948717948718,0.8825887609541455,6.810945987701416,1.8745613098144531
prnn_synth,LightGBM,6,"{'n_estimators': 20, 'num_leaves': 5}",0.76,0.7596153846153846,0.2403846153846154,0.7596153846153846,0.8301282051282051,0.842491668504112,0.9528584480285645,0.0
prnn_synth,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.48,0.5,0.5,0.48,0.5,0.75,9.466567993164062,0.6248950958251953
prnn_synth,XBART,6,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.88,0.875,0.125,0.90625,0.9423076923076923,0.947911839056494,9.92788290977478,0.0
prnn_synth,Adaboost,7,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.92,0.9230769230769231,0.07692307692307693,0.9285714285714286,0.9487179487179487,0.9492951492951494,6.717165470123291,1.8748283386230469
prnn_synth,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 5}",0.92,0.9230769230769231,0.07692307692307693,0.9285714285714286,0.9871794871794871,0.987883910960834,0.9841008186340332,0.6248569488525391
prnn_synth,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.48,0.5,0.5,0.48,0.5,0.75,9.482279300689697,0.0
prnn_synth,XBART,7,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.88,0.8814102564102564,0.11858974358974358,0.8814102564102564,0.9038461538461539,0.8805038309114397,9.78125810623169,0.0
prnn_synth,Adaboost,8,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.84,0.8397435897435898,0.16025641025641024,0.8397435897435898,0.967948717948718,0.9700063024582255,6.857766628265381,1.8745899200439453
prnn_synth,LightGBM,8,"{'n_estimators': 50, 'num_leaves': 5}",0.88,0.8782051282051282,0.12179487179487179,0.8831168831168831,0.9807692307692308,0.9817954214588831,0.9528598785400391,0.0
prnn_synth,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.48,0.5,0.5,0.48,0.5,0.75,9.638412952423096,0.0
prnn_synth,XBART,8,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.84,0.8397435897435898,0.16025641025641024,0.8397435897435898,0.9743589743589745,0.9761241429510661,10.007221937179565,0.0
prnn_synth,Adaboost,9,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.92,0.9166666666666667,0.08333333333333333,0.9333333333333333,0.9871794871794872,0.9880289048558278,6.545321226119995,0.6251144409179688
prnn_synth,LightGBM,9,"{'n_estimators': 100, 'num_leaves': 5}",0.88,0.8814102564102564,0.11858974358974358,0.8814102564102564,0.967948717948718,0.970322385947386,0.96848464012146,0.624847412109375
prnn_synth,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.48,0.5,0.5,0.48,0.5,0.75,9.466532468795776,0.0
prnn_synth,XBART,9,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.84,0.8333333333333333,0.16666666666666666,0.8823529411764706,0.9871794871794872,0.9877199189699188,9.901781797409058,0.0
