Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
rabe_131,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,0.26558494567871094,0.0
rabe_131,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,0.6091933250427246,0.0
rabe_131,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.4,0.5,0.5,0.4,0.5,0.75,3.530468225479126,0.0
rabe_131,XBART,0,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",1.0,1.0,0.0,1.0,1.0,1.0,6.3080151081085205,0.0
rabe_131,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,0.24994874000549316,0.0
rabe_131,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,0.5779507160186768,0.0
rabe_131,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6,0.5,0.5,0.6,0.5,0.75,3.436744213104248,0.0
rabe_131,XBART,1,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",1.0,1.0,0.0,1.0,1.0,1.0,6.270291090011597,0.0
rabe_131,Adaboost,2,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",1.0,1.0,0.0,1.0,1.0,1.0,0.24994421005249023,3.1252384185791016
rabe_131,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.6666666666666667,0.6333333333333333,0.5935571193695068,0.0
