Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
rmftsa_sleepdata,Adaboost,0,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6310679611650486,0.6299019607843137,0.3700980392156863,0.6380208333333333,0.7070135746606333,0.7162108782097937,7.154569625854492,0.0
rmftsa_sleepdata,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.6213592233009708,0.6199095022624435,0.38009049773755654,0.6318407960199004,0.7352941176470588,0.7427440186263399,1.4215052127838135,0.15165504899997156
rmftsa_sleepdata,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5048543689320388,0.5,0.5,0.5048543689320388,0.5,0.75,34.917128801345825,0.0
rmftsa_sleepdata,XBART,0,"{'alpha': 0.2406848382947717, 'beta': 0.7810848842341179, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 50}",0.5631067961165048,0.5629713423831071,0.2909125188536953,0.4399655469422911,0.6449849170437405,0.6071697096528712,18.190940618515015,0.0
rmftsa_sleepdata,Adaboost,1,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7378640776699029,0.7369909502262444,0.26300904977375567,0.7453161592505855,0.7933634992458523,0.8009014224287265,7.420081377029419,0.0
rmftsa_sleepdata,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.7378640776699029,0.7369909502262444,0.26300904977375567,0.7453161592505855,0.8184389140271493,0.8222909736062352,1.6714823246002197,0.1516596784869444
rmftsa_sleepdata,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5048543689320388,0.5,0.5,0.5048543689320388,0.5,0.75,33.69224834442139,0.0
rmftsa_sleepdata,XBART,1,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.6116504854368932,0.6091628959276019,0.3908371040723982,0.6484615384615384,0.72473604826546,0.7365287971719316,21.438042879104614,0.30334250440875304
rmftsa_sleepdata,Adaboost,2,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.6699029126213593,0.6691176470588236,0.33088235294117646,0.6738372093023256,0.7526395173453997,0.7545433524220531,7.12655782699585,0.0
rmftsa_sleepdata,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 5}",0.7281553398058253,0.7279411764705883,0.2720588235294118,0.7284580498866213,0.799396681749623,0.7910705887835477,1.4215011596679688,0.15166199323043084
rmftsa_sleepdata,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5048543689320388,0.5,0.5,0.5048543689320388,0.5,0.75,33.91817831993103,0.0
rmftsa_sleepdata,XBART,2,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.5048543689320388,0.5,0.5,0.5048543689320388,0.5,0.75,24.09299659729004,0.3033471338957259
rmftsa_sleepdata,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6893203883495146,0.6887254901960784,0.3112745098039216,0.6917624521072797,0.739630467571644,0.6789907972352025,7.312352895736694,0.0
rmftsa_sleepdata,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.6893203883495146,0.6885369532428356,0.3114630467571644,0.693798449612403,0.772812971342383,0.7730928284219719,1.4215097427368164,0.1516596784869444
rmftsa_sleepdata,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5048543689320388,0.5,0.5,0.5048543689320388,0.5,0.75,34.7016499042511,0.0
rmftsa_sleepdata,XBART,3,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.36893203883495146,0.36538461538461536,0.43137254901960786,0.23170731707317074,0.5703242835595776,0.5612128976055504,19.73074746131897,0.15167125220437652
rmftsa_sleepdata,Adaboost,4,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7843137254901961,0.7815384615384615,0.21846153846153846,0.8080808080808081,0.838076923076923,0.8319653379846281,7.0847790241241455,0.0
rmftsa_sleepdata,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 10}",0.8137254901960784,0.813076923076923,0.18692307692307691,0.8148936170212766,0.8811538461538463,0.8702540171485522,1.4371209144592285,0.0
rmftsa_sleepdata,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5098039215686274,0.5,0.5,0.5098039215686274,0.5,0.75,33.48476481437683,0.0
rmftsa_sleepdata,XBART,4,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.5098039215686274,0.5,0.5,0.5098039215686274,0.5,0.75,22.59636926651001,0.15316991245045383
rmftsa_sleepdata,Adaboost,5,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.803921568627451,0.803921568627451,0.19607843137254904,0.8371002132196161,0.8654363706266821,0.8681304277782441,7.15460991859436,0.0
rmftsa_sleepdata,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.803921568627451,0.803921568627451,0.19607843137254902,0.8160735705717712,0.9177239523260284,0.9222198942441652,1.4215049743652344,0.0
rmftsa_sleepdata,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,33.33803963661194,0.0
rmftsa_sleepdata,XBART,5,"{'alpha': 0.2812792213317815, 'beta': 0.8045546791767061, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.7647058823529411,0.7647058823529411,0.23529411764705882,0.8252243741143127,0.8867743175701653,0.8879534807728979,20.09758734703064,0.0
rmftsa_sleepdata,Adaboost,6,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.7058823529411765,0.7058823529411764,0.29411764705882354,0.7226611226611226,0.7639369473279507,0.7771727002918563,7.123328924179077,0.0
rmftsa_sleepdata,LightGBM,6,"{'n_estimators': 20, 'num_leaves': 5}",0.7156862745098039,0.7156862745098038,0.28431372549019607,0.7262096774193548,0.7964244521337946,0.8093086819909578,1.437129020690918,0.0
rmftsa_sleepdata,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,33.29922294616699,0.0
rmftsa_sleepdata,XBART,6,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.6764705882352942,0.6764705882352942,0.3235294117647059,0.7125,0.7727797001153404,0.7603959462487138,18.99349331855774,0.1531231637094535
rmftsa_sleepdata,Adaboost,7,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.6764705882352942,0.6764705882352942,0.32352941176470584,0.679858934169279,0.6966551326412919,0.638851805745957,7.154537916183472,0.0
rmftsa_sleepdata,LightGBM,7,"{'n_estimators': 20, 'num_leaves': 5}",0.696078431372549,0.696078431372549,0.303921568627451,0.709703947368421,0.7462514417531719,0.7570400815005596,1.426192045211792,0.15314653807995368
rmftsa_sleepdata,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,33.842743158340454,0.0
rmftsa_sleepdata,XBART,7,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.49019607843137253,0.49019607843137253,0.5098039215686274,0.24752475247524752,0.49019607843137253,0.4963113958454669,22.100677013397217,0.15315822526520373
rmftsa_sleepdata,Adaboost,8,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.6568627450980392,0.6568627450980392,0.3431372549019608,0.6583850931677019,0.7533640907343329,0.7546840347374699,7.107710838317871,0.0
rmftsa_sleepdata,LightGBM,8,"{'n_estimators': 20, 'num_leaves': 5}",0.6666666666666666,0.6666666666666667,0.3333333333333333,0.6708711076074103,0.7725874663590926,0.7744086190831384,1.4215059280395508,0.0
