Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
semeion,Adaboost,0,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.73125,0.7310049019607844,0.02986111111111111,0.7713103318250376,0.9332470370688866,0.7248666101448631,23.15247654914856,0.48825740814208984
semeion,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 100}",0.93125,0.9308333333333334,0.007629310344827586,0.9325438596491228,0.997477490421456,0.9842028734158026,23.518341779708862,0.09766072034835815
semeion,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.78125,0.7807843137254903,0.024305622538381158,0.7823699176640353,0.9674393410919148,0.8351974809548081,7133.048173904419,0.5860015749931335
semeion,XBART,0,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.15625,0.15588235294117647,0.09368773946360152,0.2200117897400506,0.6934658565881944,0.23698491872903316,2118.5559628009796,0.195351243019104
semeion,Adaboost,1,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.80625,0.8074754901960783,0.021552661897489486,0.8174609171731934,0.955214446378081,0.7377726335363417,22.70521855354309,0.48832595348358154
semeion,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 100}",0.95625,0.9557352941176471,0.004861245076762319,0.956797385620915,0.9979034595496626,0.9898016457900439,20.876904249191284,0.09765625
semeion,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8125,0.8112745098039216,0.020843581705650673,0.8126918901531905,0.9758714711871408,0.8598079650007637,7398.602126121521,0.6836503744125366
semeion,XBART,1,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.1375,0.13955882352941176,0.095804162312783,0.21791687406669985,0.6695455339644296,0.2188196789879237,2373.072814464569,0.488339364528656
semeion,Adaboost,2,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7875,0.7873039215686275,0.02361623529726978,0.7940255285650023,0.9547756697888545,0.7264272446667999,22.986793756484985,0.3906428813934326
semeion,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 100}",0.91875,0.9187009803921569,0.009032701015459636,0.9225282805429865,0.9928236952681363,0.9669810731943829,20.939682722091675,0.09765625
semeion,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.75625,0.7568382352941176,0.02710774857326581,0.7695127898417373,0.9586861322698036,0.8588625225990183,7232.633296966553,0.6836593151092529
semeion,XBART,2,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.1,0.1,0.09995689655172416,0.07033510224999587,0.6853352310897632,0.25949736935816625,2189.2031474113464,0.195331871509552
semeion,Adaboost,3,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.710691823899371,0.7095833333333333,0.03214840714840715,0.7237563056138908,0.9293411680911682,0.6922128183301125,22.627828359603882,0.39313424308345
semeion,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 5}",0.89937106918239,0.8979166666666666,0.011183954933954935,0.9056261531725927,0.9957646982646983,0.9691910179744795,19.26832914352417,0.0
semeion,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.8050314465408805,0.80375,0.02164918414918415,0.8080245983806356,0.9508831908831908,0.8576691774562122,7309.40198636055,0.6879605587173557
semeion,XBART,3,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.1761006289308176,0.175,0.09160839160839161,0.1298685613903005,0.6800246050246049,0.22648045896934713,2208.7736682891846,0.09828393564284223
semeion,Adaboost,4,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7735849056603774,0.7733333333333333,0.02514568764568765,0.7858317362032533,0.941670227920228,0.7078449222774557,22.81461501121521,0.49139118794375247
semeion,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 100}",0.9433962264150944,0.9433333333333334,0.006288850038850038,0.9443872549019607,0.9982825045325046,0.9878770372411354,21.158210039138794,0.0
semeion,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.8113207547169812,0.8116666666666668,0.020945027195027197,0.8188006193153251,0.9606322843822845,0.8316367813229786,7381.3330092430115,0.687957559741518
semeion,XBART,4,"{'alpha': 0.3647297633711638, 'beta': 1.2483930206278528, 'burnin': 5, 'max_depth_num': 3, 'num_sweeps': 80, 'num_trees': 100}",0.0,0.0,0.006293706293706294,0.0,0.37810703185703187,0.0991178531219358,2334.0438776016235,0.19656337282192782
semeion,Adaboost,5,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7610062893081762,0.76125,0.026534576534576537,0.783400814871403,0.9552816627816627,0.7213706979193178,22.752235412597656,0.49146616233969637
semeion,LightGBM,5,"{'n_estimators': 200, 'num_leaves': 5}",0.9433962264150944,0.94375,0.006293706293706294,0.9452205882352942,0.9975087412587411,0.9843845871982142,20.486355304718018,0.0
semeion,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8050314465408805,0.8045833333333334,0.021663752913752915,0.8030663054695563,0.9700780238280238,0.8618104054522341,7361.636184453964,0.6879545607656803
semeion,XBART,5,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.23270440251572327,0.2325,0.08179390054390054,0.2132818842377666,0.697697163947164,0.24879663302652372,2214.7146048545837,0.1965648723098467
semeion,Adaboost,6,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7735849056603774,0.7733333333333333,0.025145687645687642,0.7894978963245218,0.9386013986013987,0.6858289085404576,22.752398014068604,0.49138968845583353
semeion,LightGBM,6,"{'n_estimators': 200, 'num_leaves': 100}",0.9056603773584906,0.9058333333333334,0.010484654234654235,0.9090864037922861,0.9968813131313132,0.9781578643569553,20.95529866218567,0.09827793769116672
semeion,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.8301886792452831,0.8300000000000001,0.01886655011655012,0.8444278253566179,0.969165047915048,0.8747881421672871,7373.319657325745,0.6879605587173557
semeion,XBART,6,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.006289308176100629,0.00625,0.027972027972027975,0.0044444444444444444,0.45046328671328667,0.1017312113423476,2172.2828364372253,0.09819696534354733
semeion,Adaboost,7,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.6540880503144654,0.6533333333333333,0.03837412587412588,0.6899675943251794,0.9498539886039886,0.7498549086733426,22.89289355278015,0.4913806915283203
semeion,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 100}",0.9559748427672956,0.9558333333333333,0.0048951048951048955,0.9577205882352942,0.9975061512561512,0.9831704671919418,21.142693758010864,0.09827793769116672
semeion,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.779874213836478,0.7775000000000001,0.02446581196581197,0.7877380952380952,0.956133126133126,0.8405157435298587,7238.517617940903,0.5896766230745135
semeion,XBART,7,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.1949685534591195,0.19416666666666665,0.0860042735042735,0.282228978225659,0.6704208754208754,0.23603520624348015,2223.7285544872284,0.19656187333400893
semeion,Adaboost,8,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.8050314465408805,0.8041666666666668,0.021654040404040405,0.8253427128427129,0.9431954156954155,0.7411561076045114,22.877230882644653,0.39311774871634236
semeion,LightGBM,8,"{'n_estimators': 200, 'num_leaves': 100}",0.9874213836477987,0.9875,0.0013986013986013986,0.9882352941176471,0.9999125874125874,0.9992851307189543,20.92387819290161,0.0
semeion,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.7547169811320755,0.7529166666666667,0.027253302253302258,0.7605588168281667,0.9648659673659674,0.8316872622933369,7401.1687104702,0.6879530612777615
semeion,XBART,8,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.16352201257861634,0.16291666666666665,0.09300213675213675,0.2069124813045786,0.6839387464387464,0.22261812562375635,2168.784026145935,0.09825994383614017
semeion,Adaboost,9,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7987421383647799,0.79875,0.022348484848484847,0.807144293614882,0.9415138565138566,0.6785232556825607,22.799095630645752,0.4914001848712658
