Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
sleuth_case2002,Adaboost,0,"{'learning_rate': 0.6787661614294043, 'n_estimators': 20}",0.6666666666666666,0.6607142857142857,0.3392857142857143,0.6666666666666666,0.7857142857142857,0.8144074675324675,6.514094591140747,0.0
sleuth_case2002,LightGBM,0,"{'n_estimators': 20, 'num_leaves': 5}",0.6666666666666666,0.6607142857142857,0.3392857142857143,0.6666666666666666,0.7857142857142857,0.8167950229334158,0.8591744899749756,1.041412353515625
sleuth_case2002,Provably Robust Boosting,0,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.5333333333333333,0.5357142857142857,0.4642857142857143,0.5357142857142857,0.5892857142857144,0.6270833333333332,8.951073169708252,1.041412353515625
sleuth_case2002,XBART,0,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.7333333333333333,0.7321428571428572,0.26785714285714285,0.7321428571428572,0.7321428571428571,0.739257394391323,17.55281376838684,0.0
sleuth_case2002,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.4,0.39285714285714285,0.6071428571428572,0.38888888888888884,0.625,0.6933697998430142,6.842150449752808,3.1244119008382163
sleuth_case2002,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.4,0.39285714285714285,0.6071428571428572,0.38888888888888884,0.4107142857142857,0.4769343132066346,0.8435177803039551,0.0
sleuth_case2002,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4,0.41964285714285715,0.5803571428571428,0.375,0.4910714285714286,0.5673611111111112,8.15433955192566,0.0
sleuth_case2002,XBART,1,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.6666666666666666,0.6696428571428572,0.33035714285714285,0.6696428571428572,0.5714285714285714,0.602391730293516,17.605292320251465,0.0
sleuth_case2002,Adaboost,2,"{'learning_rate': 1.254335218612733, 'n_estimators': 20}",0.8,0.7857142857142857,0.21428571428571427,0.8636363636363636,0.8928571428571429,0.9008807784477427,6.295390844345093,0.0
sleuth_case2002,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.6,0.5892857142857143,0.4107142857142857,0.6,0.75,0.7841717558235415,0.8591361045837402,0.0
sleuth_case2002,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.4666666666666667,0.4732142857142857,0.5267857142857143,0.4722222222222222,0.4285714285714286,0.5338827838827839,7.607593297958374,1.0415236155192056
sleuth_case2002,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.7333333333333333,0.7232142857142857,0.2767857142857143,0.75,0.8392857142857143,0.8455452533577532,17.339719772338867,0.0
sleuth_case2002,Adaboost,3,"{'learning_rate': 0.39643541684062933, 'n_estimators': 20}",0.7333333333333333,0.75,0.25,0.8181818181818181,0.8571428571428571,0.8605537567591139,6.295399188995361,0.0
sleuth_case2002,LightGBM,3,"{'n_estimators': 20, 'num_leaves': 5}",0.8,0.8035714285714286,0.19642857142857142,0.8035714285714286,0.7678571428571429,0.7567209576138147,0.8278892040252686,0.0
sleuth_case2002,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6666666666666666,0.6875,0.3125,0.7916666666666667,0.7410714285714286,0.7907738095238095,7.982506275177002,0.0
sleuth_case2002,XBART,3,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.6666666666666666,0.6785714285714286,0.3214285714285714,0.7,0.8214285714285714,0.824762167396096,17.49593758583069,0.0
