Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
soybean,Adaboost,0,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.6231884057971014,0.6699346405228759,0.02478698138267936,0.7558621933621934,0.9343776654685346,0.6894697659058477,7.998162031173706,0.6792303444682688
soybean,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.927536231884058,0.8986928104575164,0.004697102721685689,0.9245989304812835,0.9982473254641823,0.9605260117515019,20.788259029388428,0.22637671318607053
soybean,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8115942028985508,0.7091503267973857,0.012342276175682673,0.8819749694749693,0.9788616151269794,0.8674074003911466,875.8763718605042,1.1319768601569575
soybean,XBART,0,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.08695652173913043,0.0784313725490196,0.058404316089237074,0.07857142857142857,0.5827336654460228,0.15931275652684798,251.58163809776306,0.22641817728678384
soybean,Adaboost,1,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.6811594202898551,0.673202614379085,0.021356523378582203,0.8414965986394557,0.9709202854505752,0.8203676748936416,8.654263973236084,0.679175059000651
soybean,LightGBM,1,"{'n_estimators': 100, 'num_leaves': 5}",0.927536231884058,0.9215686274509803,0.004799531752999707,0.9177807486631016,0.9961743569733034,0.9461378837532242,20.30769991874695,0.22641126660333163
soybean,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7971014492753623,0.7084967320261438,0.013356928592332454,0.8582264957264958,0.984356709101551,0.8382980123848415,948.2812044620514,1.1319975922073142
soybean,XBART,1,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.028985507246376812,0.058823529411764705,0.062000306724297065,0.10909090909090909,0.5518520135765332,0.13014792923899923,253.23750257492065,0.22642508797023606
soybean,Adaboost,2,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.4927536231884058,0.49117647058823527,0.032606340469597705,0.7069444444444444,0.9290367934710559,0.7394118593278963,9.310352087020874,0.2264700074126755
soybean,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 5}",0.927536231884058,0.9362745098039216,0.004799531752999707,0.9553921568627451,0.990449337025281,0.9631318189109725,16.527336835861206,0.22638362386952274
soybean,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7681159420289855,0.6696078431372549,0.01518102361495689,0.7964285714285715,0.9705607911298211,0.8017138679326891,936.081200838089,1.1319630387900532
soybean,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.14492753623188406,0.07058823529411765,0.05563774734922672,0.06339285714285714,0.6028450154097329,0.14709274405288789,266.500052690506,0.22641126660333163
soybean,Adaboost,3,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.7352941176470589,0.7140522875816994,0.01754344200443403,0.7961538461538461,0.9802580500292054,0.8659953674204695,9.622789144515991,0.9189353269689223
soybean,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 5}",0.9411764705882353,0.9281045751633987,0.003988035892323031,0.9758169934640523,0.9993353273512795,0.9959612464514426,16.93347954750061,0.22971279480878046
soybean,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7205882352941176,0.6019607843137256,0.01819536879980549,0.7881598793363499,0.9863699396039874,0.8445818194251137,1166.6489531993866,1.6080561806173885
soybean,XBART,3,"{'alpha': 0.2812792213317815, 'beta': 0.8045546791767061, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.029411764705882353,0.04411764705882353,0.05949197860962566,0.041428571428571426,0.5593392104530565,0.18558155037202856,367.7733299732208,0.45949921888463635
soybean,Adaboost,4,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.6470588235294118,0.6437908496732027,0.023556773452345355,0.8223443223443223,0.9746958536150766,0.8505869142734104,12.887637853622437,0.918882734635297
soybean,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 5}",0.9117647058823529,0.9545751633986929,0.005982626832147236,0.9625816993464051,0.9977578757978937,0.9874356027052106,27.368551015853882,0.22973383174223058
soybean,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7647058823529411,0.6593137254901961,0.015220665068535252,0.848076923076923,0.9787768239712246,0.8303236043720472,1211.9713490009308,1.378332867341883
soybean,XBART,4,"{'alpha': 0.2812792213317815, 'beta': 0.8045546791767061, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.014705882352941176,0.029411764705882353,0.059799677446736275,0.0058823529411764705,0.5563029579530356,0.1125171087453543,367.41390800476074,0.4594711696400362
soybean,Adaboost,5,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.6764705882352942,0.7026143790849674,0.021451558923518046,0.8308815192743764,0.9851209840306666,0.9345093745216294,12.950091361999512,1.1486235786886776
soybean,LightGBM,5,"{'n_estimators': 100, 'num_leaves': 5}",0.9411764705882353,0.9287581699346404,0.0039273343761817995,0.9699346405228757,0.9977035282171597,0.9743137454411965,26.728110790252686,0.22972331327550552
soybean,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7794117647058824,0.7143790849673203,0.014449272350138717,0.8530187074829932,0.9875191472669244,0.8729115851423138,1224.1588044166565,1.378350398119758
soybean,XBART,5,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.04411764705882353,0.04771241830065359,0.05940507302047681,0.06416666666666666,0.6457206426608761,0.17234995988014465,356.66122341156006,0.2297548686756807
soybean,Adaboost,6,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.6617647058823529,0.6895424836601307,0.02269885869088262,0.7609523809523809,0.9801970351571547,0.8660601771028682,12.903225421905518,0.918900265413172
soybean,LightGBM,6,"{'n_estimators': 200, 'num_leaves': 5}",0.9264705882352942,0.9444444444444445,0.004879301489470981,0.9449346405228759,0.9980034643544116,0.9792751275594412,27.634148120880127,0.22973733789780562
soybean,Provably Robust Boosting,6,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.8235294117647058,0.738562091503268,0.011426915349522527,0.8722527472527472,0.9799920351126107,0.8552878221995869,1263.3183462619781,1.3783574104309082
soybean,XBART,6,"{'alpha': 0.5916819650400321, 'beta': 1.3587923402725657, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 60, 'num_trees': 50}",0.0,0.0,0.06129995655170132,0.0,0.5153559573596338,0.12241005115649498,370.9497241973877,0.45947467579561124
soybean,Adaboost,7,"{'learning_rate': 0.22359802667203107, 'n_estimators': 200}",0.6911764705882353,0.6797385620915033,0.020718552523138766,0.8685974389755903,0.9798231567922495,0.8648963057510377,12.934468984603882,0.9189037715687471
soybean,LightGBM,7,"{'n_estimators': 100, 'num_leaves': 50}",0.9264705882352942,0.9444444444444445,0.004879301489470981,0.9559460147695442,0.9990029910269191,0.9940172028407323,28.50894331932068,0.22974435020895564
soybean,Provably Robust Boosting,7,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.75,0.6437908496732027,0.016278364789082636,0.7464016375781082,0.9844645604997361,0.8488057679449068,1211.8304152488708,1.3783819535199333
soybean,XBART,7,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.08823529411764706,0.0522875816993464,0.05662862671835753,0.048677884615384616,0.5406130874429105,0.12043811305084191,362.94045066833496,0.22974785636453068
soybean,Adaboost,8,"{'learning_rate': 0.13911053916202465, 'n_estimators': 200}",0.7058823529411765,0.665359477124183,0.019526365341721,0.8452380952380952,0.9810515068018688,0.9090040456177386,12.981332778930664,1.1486270848442526
soybean,LightGBM,8,"{'n_estimators': 100, 'num_leaves': 10}",0.9117647058823529,0.9379084967320261,0.0060164334582459515,0.9641456582633054,0.9947933975850226,0.9774889254765416,27.477936029434204,0.22973733789780562
soybean,Provably Robust Boosting,8,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.75,0.684967320261438,0.01627946644953813,0.8360544217687075,0.978350381138622,0.841863681433356,1211.876247882843,1.378343385808608
soybean,XBART,8,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.10294117647058823,0.06797385620915034,0.05553996643819847,0.19444444444444448,0.5942348462175834,0.16378067028830903,366.16420102119446,0.22973383174223058
soybean,Adaboost,9,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.7205882352941176,0.807843137254902,0.0177856581769842,0.8839869281045752,0.9785049666938752,0.870053011416471,13.012574434280396,1.1486376033109778
soybean,LightGBM,9,"{'n_estimators': 100, 'num_leaves': 5}",0.9264705882352942,0.945751633986928,0.004879301489470981,0.9583333333333331,0.9997784424504266,0.9985384894698621,26.853081941604614,0.22972681943108053
soybean,Provably Robust Boosting,9,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.7794117647058824,0.6751633986928105,0.01429805862133878,0.8302287581699347,0.9899783456395409,0.9054185245102201,1215.3759019374847,1.3783609165864832
soybean,XBART,9,"{'alpha': 0.3049937112872785, 'beta': 0.15971545280479507, 'burnin': 5, 'max_depth_num': 4, 'num_sweeps': 60, 'num_trees': 50}",0.029411764705882353,0.04901960784313725,0.05945517904328971,0.055263157894736833,0.5845174807302165,0.1092426785067876,363.6590130329132,0.22973032558665554
