Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
spectf,Adaboost,0,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.8148148148148148,0.6545454545454545,0.34545454545454546,0.6847826086956521,0.8181818181818181,0.6645803774101278,8.466764211654663,0.5786507217972366
spectf,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 50}",0.8888888888888888,0.7772727272727273,0.22272727272727275,0.8315217391304348,0.8090909090909091,0.8282925544308682,1.4058756828308105,0.0
spectf,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8148148148148148,0.5,0.5,0.8148148148148148,0.8136363636363637,0.7699476561879812,52.02906560897827,0.5772202103226273
spectf,XBART,0,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.8148148148148148,0.6545454545454545,0.34545454545454546,0.6847826086956521,0.8454545454545455,0.7965945959905518,166.02359747886658,0.5785800792552807
spectf,Adaboost,1,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.8888888888888888,0.7772727272727273,0.22272727272727275,0.8315217391304348,0.8545454545454545,0.8238848658326993,8.529252767562866,0.5785800792552807
spectf,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 5}",0.8888888888888888,0.7,0.3,0.94,0.9,0.8732456491029504,1.3746769428253174,0.0
spectf,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8148148148148148,0.5,0.5,0.8148148148148148,0.9136363636363636,0.8536689551212642,55.596346855163574,0.0
spectf,XBART,1,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.8888888888888888,0.7,0.3,0.94,0.7636363636363637,0.7832696487328212,162.3213803768158,0.5786860430682147
spectf,Adaboost,2,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8518518518518519,0.7261904761904762,0.27380952380952384,0.8097826086956521,0.8095238095238095,0.8106562533402392,8.747942209243774,1.7356784255416304
spectf,LightGBM,2,"{'n_estimators': 20, 'num_leaves': 5}",0.8888888888888888,0.8095238095238095,0.19047619047619047,0.8545454545454545,0.880952380952381,0.8447660257310302,1.343400478363037,0.0
spectf,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.7777777777777778,0.5,0.5,0.7777777777777778,0.8253968253968254,0.7799058342512566,53.75302863121033,0.0
spectf,XBART,2,"{'alpha': 1.7857042108950205, 'beta': 0.9972083578077036, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 50}",0.8518518518518519,0.7857142857142857,0.21428571428571427,0.7857142857142857,0.8015873015873016,0.6976218480578806,167.98615384101868,0.0
spectf,Adaboost,3,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8148148148148148,0.7023809523809523,0.2976190476190476,0.7318181818181818,0.746031746031746,0.757548126877805,8.60735297203064,1.7354841585512513
