Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
squash-stored,Adaboost,0,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",1.0,1.0,0.0,1.0,1.0,1.0,6.592208623886108,2.6045640309651694
squash-stored,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,0.6716835498809814,0.0
squash-stored,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,3.4835965633392334,0.0
squash-stored,XBART,0,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",1.0,1.0,0.0,1.0,1.0,1.0,25.25966763496399,0.0
squash-stored,Adaboost,1,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,0.888888888888889,0.9027777777777777,6.404792070388794,2.602537473042806
squash-stored,LightGBM,1,"{'n_estimators': 50, 'num_leaves': 100}",0.8333333333333334,0.8333333333333333,0.16666666666666666,0.875,1.0,1.0,0.6404385566711426,2.603610356648763
squash-stored,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.75,3.4835939407348633,0.0
squash-stored,XBART,1,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.8333333333333334,0.8333333333333333,0.16666666666666666,0.875,0.888888888888889,0.9027777777777777,24.24431824684143,0.0
squash-stored,Adaboost,2,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.6,0.6666666666666666,0.3333333333333333,0.75,1.0,1.0,6.435992240905762,0.0
squash-stored,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.6666666666666666,0.6333333333333333,0.6560626029968262,3.1241893768310547
squash-stored,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.4,0.5,0.5,0.4,0.5,0.75,3.3742454051971436,0.0
squash-stored,XBART,2,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.6,0.5833333333333333,0.41666666666666663,0.5833333333333333,0.6666666666666666,0.6333333333333333,24.94724440574646,0.0
squash-stored,Adaboost,3,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.8333333333333334,0.8472222222222221,6.826560974121094,6.245851516723633
squash-stored,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.6666666666666667,0.6333333333333333,0.6560611724853516,0.0
squash-stored,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6,0.5,0.5,0.6,0.5,0.75,3.4054901599884033,0.0
squash-stored,XBART,3,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.8333333333333334,0.8472222222222221,26.02517080307007,0.0
squash-stored,Adaboost,4,"{'learning_rate': 1.4907884894416696, 'n_estimators': 100}",1.0,1.0,0.0,1.0,1.0,1.0,6.5921947956085205,6.247138977050781
squash-stored,LightGBM,4,"{'n_estimators': 50, 'num_leaves': 100}",0.6,0.5833333333333333,0.41666666666666663,0.5833333333333333,0.8333333333333334,0.8472222222222221,0.6716814041137695,3.124380111694336
squash-stored,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6,0.5,0.5,0.6,0.5,0.75,3.4523510932922363,3.124523162841797
squash-stored,XBART,4,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.6,0.5833333333333333,0.41666666666666663,0.5833333333333333,0.8333333333333334,0.8472222222222221,27.003645658493042,0.0
squash-stored,Adaboost,5,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.6666666666666667,0.6333333333333333,6.389123439788818,3.1242847442626953
squash-stored,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,1.0,1.0,0.6716759204864502,0.0
squash-stored,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6,0.5,0.5,0.6,0.5,0.75,3.374244451522827,0.0
squash-stored,XBART,5,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,1.0,1.0,24.82235836982727,0.0
squash-stored,Adaboost,6,"{'learning_rate': 0.4454674376934912, 'n_estimators': 20}",0.8,0.75,0.25,0.875,1.0,1.0,6.420333385467529,0.0
squash-stored,LightGBM,6,"{'n_estimators': 50, 'num_leaves': 100}",0.8,0.75,0.25,0.875,1.0,1.0,0.656097412109375,0.0
squash-stored,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6,0.5,0.5,0.6,0.5,0.75,3.4366936683654785,3.1242847442626953
squash-stored,XBART,6,"{'alpha': 0.5483713475230159, 'beta': 0.5865298132465155, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 200}",0.8,0.75,0.25,0.875,0.8333333333333334,0.8472222222222221,25.150357961654663,0.0
squash-stored,Adaboost,7,"{'learning_rate': 0.6550748322169144, 'n_estimators': 50}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,1.0,1.0,6.482856750488281,0.0
squash-stored,LightGBM,7,"{'n_estimators': 50, 'num_leaves': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,1.0,1.0,0.6561007499694824,0.0
squash-stored,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6,0.5,0.5,0.6,0.5,0.75,3.421072006225586,0.0
squash-stored,XBART,7,"{'alpha': 0.6576275319642724, 'beta': 0.12675166315866046, 'burnin': 1, 'max_depth_num': 5, 'num_sweeps': 80, 'num_trees': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.8333333333333334,0.8472222222222221,26.29075050354004,0.0
squash-stored,Adaboost,8,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.8,0.75,0.25,0.875,1.0,1.0,7.013976097106934,6.248664855957031
squash-stored,LightGBM,8,"{'n_estimators': 50, 'num_leaves': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.6666666666666667,0.6333333333333333,0.6872973442077637,0.0
squash-stored,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6,0.5,0.5,0.6,0.5,0.75,3.421072244644165,0.0
squash-stored,XBART,8,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.6666666666666667,0.6333333333333333,24.150590658187866,0.0
squash-stored,Adaboost,9,"{'learning_rate': 1.6816410175208014, 'n_estimators': 20}",0.8,0.75,0.25,0.875,0.8333333333333334,0.8472222222222221,6.311056852340698,3.1267166137695312
squash-stored,LightGBM,9,"{'n_estimators': 50, 'num_leaves': 100}",0.8,0.8333333333333333,0.16666666666666666,0.8333333333333333,0.6666666666666667,0.5916666666666667,0.6716699600219727,0.0
squash-stored,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6,0.5,0.5,0.6,0.5,0.75,3.4211766719818115,0.0
squash-stored,XBART,9,"{'alpha': 0.28995234005420545, 'beta': 0.9725728947351475, 'burnin': 2, 'max_depth_num': 3, 'num_sweeps': 60, 'num_trees': 20}",0.6,0.6666666666666666,0.3333333333333333,0.75,0.6666666666666667,0.6333333333333333,24.119341135025024,0.0
