Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
statlog-image,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.7662337662337663,0.7662337662337663,0.03896103896103896,0.8508798929407829,0.9681009226463771,0.8819923119057798,19.40165638923645,0.27049877942898576
statlog-image,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 100}",0.9826839826839827,0.9826839826839827,0.0028860028860028864,0.9834333733493398,0.9997157724430451,0.9983836171527157,37.92581009864807,0.06762727514489905
statlog-image,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.8874458874458875,0.8874458874458874,0.01875901875901876,0.8838851639363148,0.9723206086842451,0.9068430561363231,3988.972805738449,0.13525145394461496
statlog-image,XBART,0,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.9523809523809523,0.9523809523809524,0.007936507936507936,0.956217223731598,0.9940093576457213,0.975351538338363,183.57645797729492,0.06766959186240191
statlog-image,Adaboost,1,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",0.8138528138528138,0.8138528138528139,0.031024531024531028,0.8145820935578348,0.9628973719882811,0.8305965052357765,18.651880502700806,0.13524732548437077
statlog-image,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 100}",0.9913419913419913,0.9913419913419913,0.0014430014430014432,0.9914693149987268,0.9999344090253182,0.9996000521865193,37.74112153053284,0.06762933937502114
statlog-image,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8354978354978355,0.8354978354978356,0.02741702741702742,0.8289622759672975,0.9676855131400586,0.8764621493855369,4111.795505523682,0.1352462933693097
statlog-image,XBART,1,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.9090909090909091,0.9090909090909092,0.015151515151515152,0.9193432304758311,0.990664217936945,0.9619144073246491,180.86149263381958,0.06757670150690781
statlog-image,Adaboost,2,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8268398268398268,0.8268398268398268,0.028860028860028863,0.8453434617534876,0.9092439546985002,0.7077259932427769,18.83929944038391,0.20287563274433087
statlog-image,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 100}",0.9783549783549783,0.9783549783549784,0.003607503607503608,0.9787289915966387,0.9992129083038174,0.9954056366776508,37.52245783805847,0.135252486059676
statlog-image,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8658008658008658,0.8658008658008658,0.022366522366522368,0.858376822662537,0.9696313787222878,0.8884524089087453,4087.174289703369,0.2028725363991477
statlog-image,XBART,2,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.9307359307359307,0.9307359307359307,0.011544011544011546,0.9333307279354573,0.9938125847216757,0.9709553944662047,175.53702902793884,0.06757257304666363
statlog-image,Adaboost,3,"{'learning_rate': 0.9206955354200199, 'n_estimators': 50}",0.7705627705627706,0.7705627705627706,0.03823953823953824,0.8183285849952516,0.9348462984826621,0.6952908346961774,16.371163606643677,0.06763140360514323
statlog-image,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 100}",0.9783549783549783,0.9783549783549784,0.003607503607503608,0.9784743442831678,0.9995189995189995,0.9971632585079641,40.287397623062134,0.06763140360514323
statlog-image,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8571428571428571,0.8571428571428571,0.02380952380952381,0.8652540177388885,0.976540294722113,0.9085661369561293,4059.1783792972565,0.2028766648593919
statlog-image,XBART,3,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.7922077922077922,0.7922077922077922,0.03463203463203463,0.7866511184275501,0.9366609821155275,0.7842169591043928,184.05062222480774,0.06763140360514323
statlog-image,Adaboost,4,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8354978354978355,0.8354978354978355,0.027417027417027416,0.825785869903517,0.9176395994577813,0.7284249022835324,18.979923009872437,0.20287563274433087
statlog-image,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 100}",0.987012987012987,0.987012987012987,0.0021645021645021645,0.9870050292844411,0.9997813634177272,0.9987642433715379,37.63180732727051,0.06763449995032636
statlog-image,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.8268398268398268,0.826839826839827,0.02886002886002886,0.8249834082959989,0.972757881848791,0.8978085463137545,4097.913197278976,0.20287150428408668
statlog-image,XBART,4,"{'alpha': 0.6550748322169144, 'beta': 0.7960875022580142, 'burnin': 2, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 100}",0.922077922077922,0.9220779220779222,0.01298701298701299,0.9301153194010336,0.9970046788228606,0.984637729611492,182.22302055358887,0.0676396605256316
statlog-image,Adaboost,5,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",0.6796536796536796,0.6796536796536797,0.05339105339105339,0.7962953474072556,0.9621321439503258,0.8267110527275349,18.245680809020996,0.13524938971449288
statlog-image,LightGBM,5,"{'n_estimators': 200, 'num_leaves': 100}",0.9913419913419913,0.9913419913419913,0.0014430014430014432,0.9918367346938776,1.0,1.0,37.80364179611206,0.1352504218295539
statlog-image,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.8528138528138528,0.8528138528138529,0.024531024531024532,0.8565656565656566,0.9638156456338275,0.8942614115272924,4072.3757536411285,0.20287460062926982
statlog-image,XBART,5,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.9393939393939394,0.9393939393939394,0.010101010101010102,0.9472336606482948,0.9950588132406315,0.9794676337721911,179.4053966999054,0.06762005033947172
