Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
steel-plates,Adaboost,0,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.48717948717948717,0.5157469465519001,0.09317513062940905,0.45980184943247243,0.872925641500827,0.5405689159409686,20.229592084884644,0.32043701563126004
steel-plates,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 5}",0.8,0.8118596831445128,0.03906271219321879,0.8510986653843797,0.9684794357798064,0.8856258428224516,33.52339553833008,0.080109865237505
steel-plates,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6512820512820513,0.45393347622449787,0.06991515384962173,0.7030894821785778,0.9044171266559863,0.7260276191868258,4108.24840426445,0.16021606249686998
steel-plates,XBART,0,"{'alpha': 0.5579483854494223, 'beta': 1.3982006857683706, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 20, 'num_trees': 20}",0.02564102564102564,0.14285714285714285,0.14285714285714285,0.02564102564102564,0.5,0.5714285714285714,256.3462584018707,0.0
steel-plates,Adaboost,1,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.5773195876288659,0.48857933952480026,0.07798601319890594,0.5202945491969135,0.8887381408313243,0.613067377382259,19.948450803756714,0.3220948976339753
steel-plates,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.6855670103092784,0.6761125484697476,0.06347063316294192,0.7879715522572666,0.9261718069740861,0.7822677282863707,33.226553201675415,0.0
steel-plates,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5876288659793815,0.4185108652803075,0.08100017427026161,0.5661180431768666,0.8804657013365779,0.5879351490234096,4119.614053964615,0.24156226325280886
steel-plates,XBART,1,"{'alpha': 1.851561046543922, 'beta': 0.2681357538986471, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 40, 'num_trees': 200}",0.1958762886597938,0.1391941391941392,0.1436597110754414,0.09844559585492228,0.4963781908292373,0.24571737518368053,268.7183184623718,0.16106895564757673
steel-plates,Adaboost,2,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.34536082474226804,0.3518597163319978,0.110146983063973,0.5079432624113476,0.6495357509804289,0.3421243288850585,19.432943105697632,0.1610234840629027
steel-plates,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 5}",0.7525773195876289,0.7226260049007215,0.04874406222172013,0.7969110136760971,0.9401891685705126,0.81687975662309,33.367146730422974,0.08052157372543493
steel-plates,Provably Robust Boosting,2,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6030927835051546,0.42670841857801795,0.07952405299986852,0.6824509803921568,0.8559712188752883,0.5941679613167539,4103.081187963486,0.161039460565626
steel-plates,XBART,2,"{'alpha': 0.36775602745204905, 'beta': 1.6241742634326755, 'burnin': 0, 'max_depth_num': 6, 'num_sweeps': 80, 'num_trees': 200}",0.03608247422680412,0.14285714285714285,0.14285714285714285,0.03608247422680412,0.5,0.5714285714285714,273.49276757240295,0.3220973555574712
steel-plates,Adaboost,3,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.5721649484536082,0.5829085126708851,0.08083879239055647,0.5513360227812055,0.8820544039155516,0.5645645081105978,20.58896017074585,0.32208137905474793
steel-plates,LightGBM,3,"{'n_estimators': 50, 'num_leaves': 5}",0.7680412371134021,0.7898815638407155,0.04513116994567799,0.8170312473129374,0.959123535125553,0.8571226774773569,33.492117404937744,0.0
steel-plates,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 200}",0.6288659793814433,0.44085943187475,0.07599667867239258,0.7592020592020592,0.9051556567772137,0.6611430530896688,4147.504702568054,0.2415659501380527
