Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
synthetic-control,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8666666666666667,0.8666666666666667,0.02666666666666667,0.8790468790468791,0.9823333333333334,0.8890867958079646,18.292595386505127,0.7810791333516439
synthetic-control,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.9833333333333333,0.9833333333333334,0.0033333333333333335,0.9848484848484849,1.0,1.0,15.01207160949707,0.26037295659383136
synthetic-control,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.9666666666666667,0.9666666666666667,0.006666666666666667,0.9722222222222223,0.9953333333333334,0.9820166675429833,1688.4801003932953,0.5207101504007976
synthetic-control,XBART,0,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.18333333333333332,0.18333333333333335,0.16333333333333333,0.5847457627118644,0.5166666666666666,0.591454802259887,329.5601930618286,0.2603809038798014
synthetic-control,Adaboost,1,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8,0.8000000000000002,0.04,0.8444444444444444,0.9843333333333333,0.927872474067327,18.089466094970703,0.7810672124226888
synthetic-control,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,15.043348789215088,0.0
synthetic-control,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.9166666666666666,0.9166666666666666,0.016666666666666666,0.9282051282051281,0.9853333333333333,0.9320963676846029,1726.9642443656921,0.5207300186157227
synthetic-control,XBART,1,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5833333333333334,330.4325280189514,0.5208929379781088
synthetic-control,Adaboost,2,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.75,0.75,0.049999999999999996,0.8043884220354808,0.972,0.9031539914234422,17.995779514312744,1.0414401690165203
synthetic-control,LightGBM,2,"{'n_estimators': 200, 'num_leaves': 100}",1.0,1.0,0.0,1.0,1.0,1.0,17.230291604995728,0.0
synthetic-control,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.8,0.7999999999999999,0.04,0.8277777777777776,0.9773333333333333,0.8965068265068264,1748.7014439105988,0.5206902821858724
synthetic-control,XBART,2,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5833333333333334,327.1051766872406,0.26064713795979816
synthetic-control,Adaboost,3,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8333333333333334,0.8333333333333334,0.03333333333333333,0.8650793650793651,0.9806666666666666,0.910636954956808,18.183236360549927,0.7810632387797039
synthetic-control,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 5}",1.0,1.0,0.0,1.0,1.0,1.0,15.058926820755005,0.0
synthetic-control,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 20}",0.85,0.85,0.030000000000000002,0.8601010101010101,0.9836666666666666,0.8664146420028772,1677.829181432724,0.5206942558288574
synthetic-control,XBART,3,"{'alpha': 1.2621410049277337, 'beta': 0.11342597991746307, 'burnin': 0, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 200}",0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5833333333333334,320.34100675582886,0.2605477968851725
synthetic-control,Adaboost,4,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.8166666666666667,0.8166666666666665,0.03666666666666667,0.8421717171717172,0.9826666666666665,0.9219067969067969,17.839577436447144,0.7809440294901531
synthetic-control,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 100}",0.9666666666666667,0.9666666666666668,0.006666666666666667,0.9722222222222223,0.9996666666666667,0.9984090909090909,16.527332067489624,0.0
