Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
tae,Adaboost,0,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8125,0.8166666666666667,0.18333333333333335,0.8015873015873016,0.7916666666666667,0.7947222222222221,6.295476913452148,1.9529610872268677
tae,LightGBM,0,"{'n_estimators': 50, 'num_leaves': 100}",0.625,0.6333333333333333,0.3666666666666667,0.625,0.6083333333333333,0.576811383061383,0.9840977191925049,0.9763538837432861
tae,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.625,0.5,0.5,0.625,0.5,0.75,6.685969591140747,0.0
tae,XBART,0,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.625,0.6333333333333333,0.3666666666666667,0.625,0.725,0.7141555435305436,16.13680863380432,0.0
tae,Adaboost,1,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.6666666666666666,0.5833333333333334,0.4166666666666667,0.8214285714285714,0.7777777777777777,0.745079534662868,5.7642717361450195,1.0414441426595051
tae,LightGBM,1,"{'n_estimators': 20, 'num_leaves': 5}",0.6666666666666666,0.5833333333333334,0.4166666666666667,0.8214285714285714,0.6666666666666665,0.7012633970967304,1.046630620956421,0.0
tae,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6,0.5,0.5,0.6,0.5,0.75,5.43622612953186,0.0
tae,XBART,1,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.7333333333333333,0.6666666666666666,0.3333333333333333,0.8461538461538461,0.6111111111111112,0.6619195619195618,16.199372053146362,1.0413805643717449
tae,Adaboost,2,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",0.8,0.8,0.2,0.7777777777777777,0.92,0.9141233766233766,6.3734636306762695,1.0414441426595051
tae,LightGBM,2,"{'n_estimators': 50, 'num_leaves': 100}",0.6666666666666666,0.6000000000000001,0.4,0.6136363636363636,0.8600000000000001,0.817810939060939,0.8904173374176025,0.0
tae,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,6.685967206954956,0.0
tae,XBART,2,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.8666666666666667,0.8500000000000001,0.15000000000000002,0.8500000000000001,0.9600000000000001,0.9589971139971141,16.902252197265625,1.041539510091146
tae,Adaboost,3,"{'learning_rate': 1.262520499972521, 'n_estimators': 20}",0.7333333333333333,0.6,0.4,0.8571428571428572,0.63,0.6610435397935398,6.3266754150390625,0.0
tae,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 5}",0.8,0.75,0.25,0.7840909090909092,0.62,0.6014962814962814,0.8903803825378418,0.0
tae,Provably Robust Boosting,3,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,6.670312166213989,0.0
tae,XBART,3,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.7333333333333333,0.6,0.4,0.8571428571428572,0.7200000000000002,0.7105276667776668,16.496143102645874,1.0407447814941406
tae,Adaboost,4,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.6,0.55,0.44999999999999996,0.55,0.72,0.6411255411255411,6.311021566390991,1.0414918263753254
tae,LightGBM,4,"{'n_estimators': 200, 'num_leaves': 5}",0.5333333333333333,0.5,0.5,0.5,0.54,0.5502601565101565,0.8903713226318359,0.0
tae,Provably Robust Boosting,4,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,6.649067401885986,0.0
tae,XBART,4,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.6,0.5,0.5,0.5,0.48,0.5311502386502387,16.30868649482727,0.0
tae,Adaboost,5,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.8,0.75,0.25,0.7840909090909092,0.8200000000000001,0.8433369408369409,6.514092922210693,3.1241099039713545
tae,LightGBM,5,"{'n_estimators': 20, 'num_leaves': 5}",0.7333333333333333,0.6,0.4,0.8571428571428572,0.44,0.5187008824508824,0.8278958797454834,1.0414441426595051
tae,Provably Robust Boosting,5,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,6.670349836349487,0.0
tae,XBART,5,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.7333333333333333,0.6,0.4,0.8571428571428572,0.8400000000000001,0.8134386446886448,16.683589935302734,0.0
tae,Adaboost,6,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.9333333333333333,0.9,0.1,0.9545454545454546,0.98,0.9768939393939393,6.5141966342926025,2.0825862884521484
tae,LightGBM,6,"{'n_estimators': 20, 'num_leaves': 5}",0.7333333333333333,0.65,0.35,0.7083333333333333,0.8600000000000001,0.8579212454212454,0.8435087203979492,0.0
tae,Provably Robust Boosting,6,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,6.6704230308532715,1.0420004526774087
tae,XBART,6,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.6666666666666666,0.55,0.45,0.5961538461538461,0.72,0.6661381673881674,16.996007204055786,1.0416666666666667
tae,Adaboost,7,"{'learning_rate': 0.6780602616231216, 'n_estimators': 100}",0.6666666666666666,0.6000000000000001,0.4,0.6136363636363636,0.68,0.6998311410811411,6.31102728843689,2.0826975504557295
tae,LightGBM,7,"{'n_estimators': 20, 'num_leaves': 5}",0.8,0.75,0.25,0.7840909090909092,0.69,0.7399246586746586,0.8435120582580566,0.0
tae,Provably Robust Boosting,7,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,6.639106035232544,1.0418097178141277
tae,XBART,7,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.6666666666666666,0.6000000000000001,0.4,0.6136363636363636,0.7,0.6284077034077034,16.558620929718018,0.0
tae,Adaboost,8,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.6666666666666666,0.7,0.30000000000000004,0.6785714285714286,0.6400000000000001,0.6431437312687314,6.51409912109375,3.1244754791259766
tae,LightGBM,8,"{'n_estimators': 200, 'num_leaves': 5}",0.6,0.55,0.44999999999999996,0.55,0.41,0.46837787212787213,0.890371561050415,0.0
tae,Provably Robust Boosting,8,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,6.623580694198608,0.0
tae,XBART,8,"{'alpha': 1.5199082092610237, 'beta': 1.1254150515392516, 'burnin': 5, 'max_depth_num': 6, 'num_sweeps': 60, 'num_trees': 20}",0.5333333333333333,0.5,0.5,0.5,0.4600000000000001,0.5726395826395827,16.527371168136597,0.0
tae,Adaboost,9,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.6666666666666666,0.55,0.45,0.5961538461538461,0.8600000000000001,0.8161442723942723,6.3109869956970215,1.0414282480875652
tae,LightGBM,9,"{'n_estimators': 20, 'num_leaves': 5}",0.7333333333333333,0.6,0.4,0.8571428571428572,0.74,0.7288884726384726,0.8435509204864502,0.0
tae,Provably Robust Boosting,9,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.75,6.607861518859863,0.0
tae,XBART,9,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.6,0.5,0.5,0.5,0.74,0.7288884726384726,16.73046088218689,0.0
