Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
teaching,Adaboost,0,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.5625,0.5555555555555555,0.2212121212121212,0.5793650793650793,0.7494949494949495,0.6590835707502375,6.189890146255493,0.3740042448043823
teaching,LightGBM,0,"{'n_estimators': 100, 'num_leaves': 50}",0.625,0.6222222222222222,0.18484848484848485,0.6333333333333334,0.7464646464646464,0.6881638269138269,1.9008221626281738,0.3437250852584839
teaching,Provably Robust Boosting,0,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.75,0.7444444444444445,0.12424242424242422,0.75,0.8575757575757575,0.6763624338624338,25.175926446914673,0.3739297389984131
teaching,XBART,0,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.5625,0.5777777777777777,0.21515151515151512,0.5793650793650794,0.705050505050505,0.5272845981179314,16.629292726516724,0.18699467182159424
teaching,Adaboost,1,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.4666666666666667,0.4777777777777778,0.268013468013468,0.4761904761904762,0.708361391694725,0.5763960961877629,6.444408655166626,2.926127115885417
teaching,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.5333333333333333,0.5499999999999999,0.23838383838383836,0.5333333333333333,0.7195735129068463,0.5579588467088467,2.035588502883911,0.400543212890625
teaching,Provably Robust Boosting,1,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5333333333333333,0.5777777777777777,0.23468013468013468,0.5222222222222223,0.6807968574635241,0.5650659371492704,20.76755928993225,0.5319118499755859
teaching,XBART,1,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.4666666666666667,0.4444444444444444,0.26666666666666666,0.6923076923076923,0.44836139169472505,0.37021265771265766,16.458817720413208,0.19941329956054688
teaching,Adaboost,2,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.4666666666666667,0.4666666666666666,0.26666666666666666,0.5555555555555555,0.66,0.5349449624449624,6.222774982452393,1.4627456665039062
teaching,LightGBM,2,"{'n_estimators': 100, 'num_leaves': 50}",0.5333333333333333,0.5333333333333333,0.2333333333333333,0.5648148148148148,0.82,0.7565259740259739,2.001286268234253,0.39817492167154944
teaching,Provably Robust Boosting,2,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6722222222222222,0.7200000000000001,0.5316775816775817,20.06605052947998,0.5983829498291016
teaching,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5133333333333333,0.41831141081141077,16.964553117752075,0.13297398885091147
teaching,Adaboost,3,"{'learning_rate': 1.400042750373098, 'n_estimators': 50}",0.4666666666666667,0.4666666666666666,0.26666666666666666,0.4777777777777778,0.6133333333333334,0.3885927960927961,6.095531702041626,0.7990837097167969
teaching,LightGBM,3,"{'n_estimators': 200, 'num_leaves': 5}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25396825396825395,0.5599999999999999,0.4142052392052393,1.8802509307861328,0.33245086669921875
teaching,Provably Robust Boosting,3,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3452380952380952,0.6000000000000001,0.49764929514929507,20.769831895828247,0.46537717183430993
teaching,XBART,3,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5133333333333333,0.41759860509860514,16.91721820831299,0.1995245615641276
teaching,Adaboost,4,"{'learning_rate': 1.9347008628416629, 'n_estimators': 200}",0.6,0.6,0.20000000000000004,0.6,0.84,0.7918843193843194,6.704740047454834,3.0022621154785156
teaching,LightGBM,4,"{'n_estimators': 100, 'num_leaves': 50}",0.4666666666666667,0.46666666666666673,0.26666666666666666,0.4682539682539682,0.7466666666666667,0.6045950345950346,1.892136573791504,0.40100415547688806
teaching,Provably Robust Boosting,4,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.5333333333333333,0.5333333333333333,0.2333333333333333,0.6527777777777778,0.7866666666666666,0.6816185666185666,21.591233730316162,0.39895375569661456
teaching,XBART,4,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.5333333333333333,0.5333333333333333,0.2333333333333333,0.8055555555555557,0.6266666666666666,0.5653862803862804,17.42489266395569,0.19591649373372397
teaching,Adaboost,5,"{'learning_rate': 0.4793801861008835, 'n_estimators': 100}",0.26666666666666666,0.26666666666666666,0.3666666666666667,0.20833333333333334,0.6466666666666666,0.5693930143930143,6.675151824951172,1.6678969065348308
teaching,LightGBM,5,"{'n_estimators': 50, 'num_leaves': 100}",0.26666666666666666,0.26666666666666666,0.3666666666666667,0.2976190476190476,0.5333333333333333,0.39337754837754835,1.9708995819091797,0.33424695332845056
teaching,Provably Robust Boosting,5,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4,0.39999999999999997,0.3,0.38888888888888884,0.6,0.4003683353683354,23.34154963493347,0.664520263671875
teaching,XBART,5,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.4,0.39999999999999997,0.3,0.4423076923076923,0.8266666666666668,0.7643097643097643,17.408387422561646,0.13298988342285156
teaching,Adaboost,6,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.7333333333333333,0.7333333333333334,0.13333333333333333,0.7333333333333334,0.8466666666666667,0.7123199023199023,6.32117223739624,1.4627456665039062
teaching,LightGBM,6,"{'n_estimators': 200, 'num_leaves': 5}",0.6666666666666666,0.6666666666666666,0.16666666666666666,0.7238095238095238,0.9266666666666666,0.8882539682539683,1.994072437286377,0.40116310119628906
teaching,Provably Robust Boosting,6,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7333333333333333,0.7333333333333334,0.13333333333333333,0.7777777777777777,0.7866666666666667,0.7104737854737854,20.180333137512207,0.797875722249349
teaching,XBART,6,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7266666666666666,0.6738098013098014,16.693516969680786,0.13294219970703125
teaching,Adaboost,7,"{'learning_rate': 0.8116262258099887, 'n_estimators': 200}",0.4666666666666667,0.4666666666666666,0.26666666666666666,0.4666666666666666,0.6933333333333334,0.6122481222481223,6.619312763214111,3.1391461690266924
teaching,LightGBM,7,"{'n_estimators': 200, 'num_leaves': 5}",0.4,0.4000000000000001,0.30000000000000004,0.41111111111111115,0.5599999999999999,0.473004218004218,1.9717576503753662,0.39887428283691406
teaching,Provably Robust Boosting,7,"{'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.4,0.4000000000000001,0.3,0.3611111111111111,0.5866666666666668,0.45570892070892066,20.63606905937195,0.5983829498291016
teaching,XBART,7,"{'alpha': 1.9028825207813331, 'beta': 1.9347008628416629, 'burnin': 10, 'max_depth_num': 4, 'num_sweeps': 20, 'num_trees': 200}",0.4,0.4000000000000001,0.3,0.5,0.6,0.5020992895992896,17.589279651641846,0.1995086669921875
teaching,Adaboost,8,"{'learning_rate': 0.9665329700123682, 'n_estimators': 200}",0.7333333333333333,0.7333333333333334,0.13333333333333333,0.7555555555555555,0.7333333333333333,0.5590028490028489,6.812440633773804,3.054380416870117
teaching,LightGBM,8,"{'n_estimators': 50, 'num_leaves': 100}",0.4666666666666667,0.4666666666666666,0.26666666666666666,0.4349206349206349,0.56,0.5297202797202797,2.025301456451416,0.39887428283691406
teaching,Provably Robust Boosting,8,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.6666666666666666,0.6666666666666666,0.16666666666666666,0.7222222222222222,0.6933333333333334,0.6825030525030525,20.89649510383606,0.46542485555013025
teaching,XBART,8,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.40384615384615385,0.49333333333333335,0.40836515336515333,17.23764657974243,0.1995245615641276
teaching,Adaboost,9,"{'learning_rate': 0.6550748322169144, 'n_estimators': 50}",0.6,0.6,0.19999999999999998,0.6018518518518519,0.8000000000000002,0.646924001924002,6.328184366226196,0.9311040242513021
teaching,LightGBM,9,"{'n_estimators': 50, 'num_leaves': 100}",0.5333333333333333,0.5333333333333333,0.2333333333333333,0.5499999999999999,0.7466666666666667,0.5889405964405965,1.9721639156341553,0.3323554992675781
teaching,Provably Robust Boosting,9,"{'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3194444444444444,0.5,0.3661790061790062,19.94013237953186,0.46542485555013025
teaching,XBART,9,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.26666666666666666,0.26666666666666666,0.3666666666666667,0.2920634920634921,0.46666666666666673,0.3244500869500869,16.95924162864685,0.1994927724202474
