Dataset Name,Algorithm Name,Cross Validation[1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
teachingAssistant,Adaboost,0,"{'learning_rate': 1.2255876808378807, 'n_estimators': 20}",0.5625,0.5555555555555555,0.2212121212121212,0.5793650793650793,0.7494949494949495,0.6590835707502375,6.332952260971069,0.4103630781173706
teachingAssistant,LightGBM,0,"{'n_estimators': 200, 'num_leaves': 5}",0.625,0.6222222222222222,0.18484848484848485,0.6333333333333334,0.7171717171717171,0.6312412587412587,1.8915114402770996,0.3739893436431885
teachingAssistant,Provably Robust Boosting,0,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.375,0.3333333333333333,0.3333333333333333,0.375,0.5,0.6666666666666666,18.858463764190674,0.24932622909545898
teachingAssistant,XBART,0,"{'alpha': 1.9428287191077893, 'beta': 1.6816410175208014, 'burnin': 1, 'max_depth_num': 3, 'num_sweeps': 20, 'num_trees': 200}",0.5625,0.5777777777777777,0.21515151515151512,0.5793650793650794,0.705050505050505,0.5272845981179314,16.63627552986145,0.18703937530517578
teachingAssistant,Adaboost,1,"{'learning_rate': 0.21035886311957896, 'n_estimators': 200}",0.4666666666666667,0.4777777777777778,0.268013468013468,0.4761904761904762,0.6836700336700336,0.5613561207311207,6.6050848960876465,3.226486841837565
teachingAssistant,LightGBM,1,"{'n_estimators': 200, 'num_leaves': 5}",0.5333333333333333,0.5499999999999999,0.23838383838383836,0.5333333333333333,0.7195735129068463,0.5579588467088467,2.0874826908111572,0.33248265584309894
teachingAssistant,Provably Robust Boosting,1,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.4,0.3333333333333333,0.3333333333333333,0.4,0.5,0.6666666666666666,17.98736548423767,0.1994609832763672
teachingAssistant,XBART,1,"{'alpha': 1.9681386830328975, 'beta': 0.9868494971711618, 'burnin': 15, 'max_depth_num': 5, 'num_sweeps': 40, 'num_trees': 50}",0.4666666666666667,0.4444444444444444,0.26666666666666666,0.6923076923076923,0.44836139169472505,0.37021265771265766,16.859931707382202,0.20003318786621094
teachingAssistant,Adaboost,2,"{'learning_rate': 1.2421185223120967, 'n_estimators': 100}",0.5333333333333333,0.5333333333333333,0.2333333333333333,0.625,0.6733333333333333,0.5433444333444334,7.1310813426971436,1.4627774556477864
teachingAssistant,LightGBM,2,"{'n_estimators': 100, 'num_leaves': 50}",0.5333333333333333,0.5333333333333333,0.2333333333333333,0.5648148148148148,0.82,0.7565259740259739,1.953777551651001,0.33241907755533856
teachingAssistant,Provably Robust Boosting,2,"{'max_depth': 4, 'min_samples_leaf': 500, 'min_samples_split': 50}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,17.400606393814087,0.19947687784830728
teachingAssistant,XBART,2,"{'alpha': 0.8116262258099887, 'beta': 1.9063571821788408, 'burnin': 10, 'max_depth_num': 5, 'num_sweeps': 20, 'num_trees': 100}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5133333333333333,0.41831141081141077,17.133012771606445,0.13297398885091147
